created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Thu May 30 20:28:58 +0000 2019,bg,g_jig,,@TPPAKTOP Избирателната активност се стабилизира последните години. На последните парламентарни избори БСП спечели втория си най-добър резултат като брой гласове от 25 г. На последните европейски - втория си най-добър резултат изобщо на такива избори.,https://twitter.com/i/web/status/1134195014286938114,,TPPAKTOP,0,0
Thu May 30 10:59:33 +0000 2019,bg,BSP_Bulgaria,,"Корнелия Нинова: Единствената партия сме, която повиши подкрепата си спрямо предишните европейски избори https://t.co/9CtIV0OLAK",https://bsp.bg/news/view/16427-korneliya_ninova__edinstvenata_partiya_sme_koyato_povishi_podkrepata_si_spryamo_predishnite_evropeyski_izbori_.html,,,0,0
Thu May 30 10:56:30 +0000 2019,bg,ISI_BG,Bulgaria,Европейски избори 2019:Обобщен доклад за възникнали нарушения https://t.co/tJ2rHMLsFA,http://isi-bg.org/?cid=6&NewsId=770&fbclid=IwAR1sywY4sy3305Ya9RqekU4Hkx7t4R2dY55iUtkH3RbJ0fTQ2x_FqtS3avw,,,0,0
Thu May 30 08:10:18 +0000 2019,bg,Kaloqn,Bulgaria,"""Рекордно ниската"" избирателна активност на изборите е 32,6% в сравнение с 35,8% на изборите за Европейски парламент през 2014 г. Истината е, че европейските избори в България традиционно не предизвикват голям интерес.... https://t.co/0bFcavrVii",https://twitter.com/i/web/status/1134009122733666305,,,0,0
Thu May 30 06:39:04 +0000 2019,bg,Novinite365,България,"Нинова: Живеех със спестени пари, днес се връщаме в парламента: Ние сме единствената партия, която увеличава избирателите си спрямо предишните европейски избори. Ние сме единствената партия, която увеличава броя на евродепутатите си. Печелим в 63 общини,… https://t.co/RR7o3MO4ht",https://twitter.com/i/web/status/1133986161741819904,,,0,0
Wed May 29 19:32:11 +0000 2019,bg,LoraTabakova,London,Избори за Европейски парламент 2019 https://t.co/GBzw1YccwP,https://search.bivol.bg/ep2019/?q=@candidate%20%202%20%D0%94%D0%B5%D0%BB%D1%8F%D0%BD%20%D0%A1%D0%BB%D0%B0%D0%B2%D1%87%D0%B5%D0%B2%20%D0%9F%D0%B5%D0%B5%D0%B2%D1%81%D0%BA%D0%B8,,,0,0
Wed May 29 09:36:36 +0000 2019,bg,EDCSliven,"Sliven, Bulgaria","Вчера Дома на Европа в София имаше дискусия по повод отминалите Европейски избори на тема: ""Европейски избори 2019: Какво следва? Вижте запис на събитието: https://t.co/FxzVAYRb0g https://t.co/C5OS7a9xPy",https://twitter.com/i/web/status/1133668451468365825,,,0,0
Tue May 28 16:09:40 +0000 2019,bg,e___lla,,България е с най-големия спад на избирателна активност в ЕС спрямо предишните европейски избори. Ми мерси.,,,,0,0
Tue May 28 14:36:25 +0000 2019,bg,Informiran_net,Bulgaria,"Кърджали остава бастион на ДПС, сочат данните от последните избори за Европейски парламент... https://t.co/krQDgPMTeK",http://bit.ly/2MeVpLV,,,0,0
Tue May 28 13:47:56 +0000 2019,bg,zahari_bgr,"Stara Zagora, Bulgaria",Това е глава от книгата “Приключенията на Джонатан Гълибъл в света на свободната пазарна икономика” от Кен Скуланд. Публикуваме я по повод току-що приключилите избори за Европейски парламент https://t.co/gK967KYcmM,https://twitter.com/i/web/status/1133369316206940161,,,0,0
Tue May 28 08:30:26 +0000 2019,bg,nicodile,"London, England","Второ, между представянето на европейски избори и другите три вида избори, особено при малки партии, няма силна корелация. Различните видове електорат реагират различно на различните видове избори. За градските либерали евроизборите и парламентарните са по-важни от президентските",https://twitter.com/i/web/status/1133289412152963073,,,0,2
