created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Fri May 31 15:41:28 +0000 2019,cs,S_C_Malek,Hlavní město Praha,"@Nemcova_Mirka Vazena pani poslankyne, premier rozhodne nebude odstupovat, ceske republice se vede jako nikdy pred tim, skoro nulova nezamestnanost, v porovnani s jinymi zememi v evropske unii jsme v zivotni urovni na uplne spici. Muzete uz konecne skousnout, ze jste ty volby nevyhrali😉",https://twitter.com/i/web/status/1134485049418670082,,Nemcova_Mirka,1,6
Fri May 31 15:00:05 +0000 2019,cs,neviditelnypes,Czech Republic,"Evropské volby jen lehce naznačily, že v jednotlivých členských zemích se tu více, tu méně projevuje nespokojenost. https://t.co/wFwNTqTJPD",http://bit.ly/2HK2VtL,,,0,0
Fri May 31 11:06:34 +0000 2019,cs,echoprimecz,Hlavní město Praha,"Evropské volby byly svého druhu generálkou polské opozice před důležitějšími, parlamentními na podzim. A ačkoliv se pět stran sjednotilo do středolevého bloku, vládnoucí Právo a spravedlnost porazit nedokázaly. https://t.co/RMQewpS17G",https://twitter.com/i/web/status/1134415871881949184,,,0,0
Fri May 31 06:00:02 +0000 2019,cs,atomsedlacek,PR.aha! ,"Hra o trůny je o Evropě, která neexistuje. Je o Evropě přesně v té verzi, jak bychom ji nechtěli mít. https://t.co/rlZ0yRpVSK",https://buff.ly/2WGFjid,,,2,12
Thu May 30 14:43:08 +0000 2019,cs,BoodinN,,"Nu a právě proto, ty idiote z Klausů k těm volbám do EU chodíme právě my, co jinak vidíme jaké češství tvého charakteru by nám zůstalo. Právě kvůli tobě,... https://t.co/CadcYUAs7v",https://twitter.com/i/web/status/1134107983200346113,,,0,0
Thu May 30 13:19:26 +0000 2019,cs,karelvazler,,"Bravo.....Klaus to vidí jasně......Hrůzou je evropské zelenání, komentuje exprezident Klaus volby do EP https://t.co/yg1e3mHadZ",https://www.lidovky.cz/domov/hruzou-je-evropske-zelenani-komentuje-klaus-evropske-volby.A190529_224914_ln_domov_ele,,,0,1
Thu May 30 12:54:30 +0000 2019,cs,MelkusovaIvana,,"Hrůzou je evropské zelenání, komentuje exprezident Klaus volby do EP https://t.co/SonfIhMG2O",https://www.lidovky.cz/domov/hruzou-je-evropske-zelenani-komentuje-klaus-evropske-volby.A190529_224914_ln_domov_ele,,,4,17
Thu May 30 12:10:20 +0000 2019,cs,hetzerhetzer,,"Má pravdu, předseda!
https://t.co/fsSmt4O4f0",https://www.lidovky.cz/domov/hruzou-je-evropske-zelenani-komentuje-klaus-evropske-volby.A190529_224914_ln_domov_ele,,,0,1
Thu May 30 11:08:01 +0000 2019,cs,PravdaVitezi123,,"Vždy pozitivní, český Nigel https://t.co/yPnFJ3YKMW druhou stranu to, že se v británii hroutí minimálně výroba aut už do své glosy nepřidává...

#KikinaKritizuje

https://t.co/u7tINAXWqT","http://Farange.Na, https://twitter.com/i/web/status/1134053845083013121",,,0,0
Thu May 30 10:49:19 +0000 2019,cs,tcizner,"Drahenice, Česká republika","Hrůzou je evropské zelenání, komentuje exprezident Klaus volby do EP | Domov | https://t.co/h1GnQxK3Kt https://t.co/ZeLBusgVCW","http://Lidovky.cz, https://www.lidovky.cz/domov/hruzou-je-evropske-zelenani-komentuje-klaus-evropske-volby.A190529_224914_ln_domov_ele",,,0,0
