created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Fri May 31 14:30:42 +0000 2019,da,BoDevilles,,"@JuneLarsson @BoeingAviator @BNMeling Som vant frem i EU-valget. Sterkt overdrevet i media hvor godt de gjorde det. De unge er ikke en homogen gruppe, heldigvis.",https://twitter.com/i/web/status/1134467242467479552,,"JuneLarsson, BoeingAviator, BNMeling",0,2
Thu May 30 22:30:54 +0000 2019,da,janweichardt,Tårnby,"Nu har jeg hørt flere gange fra @PLautrupLarsen at vi kunne forvente at @venstre med deres mange penge ville sætte gang i deres kampagne her efter EU-valget.
Er der nogen der har set en sådan kampagne - for jeg har ikke fået øje på den? #dkpol #dkmedier #fv19",https://twitter.com/i/web/status/1134225701383671814,,"PLautrupLarsen, Venstre",0,2
Thu May 30 17:22:37 +0000 2019,da,vadsten,Danmark,"@Allan80467512 @nsnielsen @framidten @data02 @Enhedslisten @SFpolitik @radikale Hvis din skuffelse over Ø og EU-valget handler om Liste N, synes jeg du skal vide, at Ø og N indgik aftale i 2016, som betyder at de deler de økonomiske midler, som valget udløser, i forhold til de stemmetal hver især har fået. Desuden får N mindst én ansat i @nvillumsen 's stab.",https://twitter.com/i/web/status/1134148118482739200,,"Allan80467512, nsnielsen, framidten, data02, Enhedslisten, SFpolitik, radikale",0,0
Thu May 30 14:12:31 +0000 2019,da,BirgitWoer2,,Den Korte Avis | Anders Vistisen: Du har et vigtigt valg at træffe til EU-valget på søndag: https://t.co/nvUtug607D,https://denkorteavis.dk/2019/anders-vistisen-du-har-et-vigtigt-valg-at-traeffe-til-eu-valget-paa-soendag/?utm_medium=newsletter_ubivox&utm_source=20190526_Politiet%20efterlyser%20to%20indvandrere%20for%20brutalt%20overfald%2026.%20maj%202019&utm_campaign=Politiet%20efterlyser%20to%20indvandrere%20for%20brutalt%20overfald%2026.%20maj%202019,,,0,0
Wed May 29 18:21:28 +0000 2019,da,politiskukorrek,Holland,Kenneth Kristensen Berth om EU-valget: Det har været helt skizofrent https://t.co/V1eLlIP5In,http://bit.ly/2JI5bEh,,,0,0
Wed May 29 17:17:18 +0000 2019,da,frdbdk,Fredericia,Kun få dage siden EU-valget - men vælgerne vil fortsat gerne debattere politik https://t.co/TNc8ASFLYk,http://bit.ly/2WtGLUJ,,,0,1
Wed May 29 12:15:18 +0000 2019,da,TClausen_,,"Forklaringsproblem. 
Karsten Hønge sagde flere gange op til EU-valget, at det var SFs ledelse, som skulle træffe beslutningen om hans evt indtræden i EU-Parlamentet. Pia Olsen Dyhr og Jakob Mark siger, at det aldrig har været en ledelsesbeslutning. Hvem mon taler sandt? #dkpol https://t.co/Cc5sN3P1VE",https://twitter.com/i/web/status/1133708393502388224,,,0,8
Wed May 29 12:06:25 +0000 2019,da,roskildeuni,Roskilde - Denmark,"Forskere: DF var det mest aktive parti på Facebook under EU-valget, men ramte ved siden af med indholdet https://t.co/r4pQIGqc4m #dkpol #eupol #EUelections2019 #mitruc #dkvid #dkmedier",https://twitter.com/i/web/status/1133706157091098625,,,2,2
Wed May 29 09:55:00 +0000 2019,da,Altingetdk,Christiansborg,Hvor fik partierne flest stemmer? Se det politiske danmarkskort efter EU-valget #dkpol #eudk https://t.co/tMtv9j3Nss,https://www.altinget.dk/artikel/kort-se-partiernes-hoejborge-ved-eu-valget,"dkpol, eudk",,1,0
Tue May 28 22:21:41 +0000 2019,da,CJ1AJ,Denmark,"@juhl_svendsen @millegumle @DanskDf1995 @Pia_Kjaersgaard Han har aldrig prøvet alvorlig politisk modgang før. Det skal han nok bruge lidt tid på at forholde sig til. Og, måske giver EU-valget uro i partiet?  Det er ikke piece of cake længere.",https://twitter.com/i/web/status/1133498606537908224,,"juhl_svendsen, millegumle, DanskDf1995, Pia_Kjaersgaard",0,1
