created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Fri May 31 15:08:27 +0000 2019,de,koesterfabian,Köln,"Mehr um 22:30 Uhr in der @heuteshow... 
#heuteshow #cdu #rezo #youtube #europawahl #satiregram #satire https://t.co/kyzMkw0aUi",,"heuteshow, cdu, rezo, youtube, europawahl, satiregram, satire",heuteshow,23,257
Fri May 31 15:08:09 +0000 2019,de,Poety,Germany,"Sehr gute und ausführliche Analyse der tweets während #Europawahl #EUElection2019 @PulseofEurope @DeutschlandVolt @MehrDem_BY @mehr_demokratie Nachricht via @BR24: Die Europawahl auf Twitter: Vieles drehte sich um Greta

https://t.co/M8wkF1QsJ3",https://twitter.com/i/web/status/1134476666988826624,"Europawahl, EUElection2019","PulseofEurope, DeutschlandVolt",0,0
Fri May 31 15:07:32 +0000 2019,de,wutz42513149,,"@zerbrxsler @MDittr3010 @tagesschau @eltonofficial und soviel zu deinen Remainern
https://t.co/MXBLH6SUdy",https://www.merkur.de/politik/grossbritannien-brexit-partei-gewinnt-europawahl-2019-ergebnis-demontage-fuer-may-zr-12302281.html,,"zerbrxsler, MDittr3010, tagesschau, eltonofficial",0,0
Fri May 31 15:02:28 +0000 2019,de,JusosDresden,Dresden,"Der Blick nach 🇪🇺 von @lisacaspari zeigt, dass es noch #Hoffnung gibt. Wir müssen aufhören uns zu verbiegen &amp; den Menschen wieder zeigen wofür wir stehen. #Klimaschutz, #Digitalisierung, #sozialeGerechtigkeit sind mit der Union nicht machbar: #NoGroko
https://t.co/zor4DioPIh 4/4",https://twitter.com/i/web/status/1134475234478821377,Hoffnung,lisacaspari,1,4
Fri May 31 15:01:40 +0000 2019,de,SWRAktuellBW,Stuttgart,Mehr dazu in unserem Artikel: https://t.co/HKaqtl4s2L,"https://www.swr.de/swraktuell/baden-wuerttemberg/tuebingen/Lernen-aus-der-Europawahl-Fridays-for-Future-in-Tuebingen-will-Ergebnisse,friday-demonstrantinnen-in-tuebingen-wollen-ergebnisse-sehen-100.html",,,1,2
Fri May 31 15:00:08 +0000 2019,de,csmithochoa,Nordrhein-Westfalen,"Extrem guter journalistischer Beitrag zum Aufstieg des Populismus.  

https://t.co/wgIdeE39Ci",https://www.deutschlandfunk.de/vor-der-europawahl-was-europas-populisten-erfolgreich-macht.724.de.html?dram:article_id=449698,,,0,0
Fri May 31 14:52:58 +0000 2019,de,gudrunbrinkmann,,"Da sitzt man auf dem Klo und ließt diese Scheisse. Ironie
 AfD zu Klimawandel: „Wir haben Zweifel“

https://t.co/M1zb05cRhs

Über @updayDE gesendet",https://twitter.com/i/web/status/1134472843545272320,,,1,1
Fri May 31 14:45:59 +0000 2019,de,gudrunbrinkmann,,"Da sitz man auf fem Klo und muss diese Scheisse lesen. Ironie 
AfD zu Klimawandel: „Wir haben Zweifel“

https://t.co/M1zb05cRhs

Über @updayDE gesendet",https://twitter.com/i/web/status/1134471087696285696,,,0,2
Fri May 31 14:44:57 +0000 2019,de,UweVogt7,https://www.ubl-lds.de/default.aspx,"So ist es !!!
Ernstfall Ost https://t.co/pshWdpB3VS via @zeitonline",https://www.zeit.de/politik/deutschland/2019-05/wahlergebnis-ostdeutschland-europawahl-afd-rechtsextremismus?wt_zmc=sm.ext.zonaudev.twitter.ref.zeitde.share.link.x,,zeitonline,0,0
Fri May 31 14:44:08 +0000 2019,de,neopresse,"Bonn, Deutschland",Brinkhaus mahnt Union und SPD nach Europawahl zur Ruhe https://t.co/I9vBeKH1gc,https://is.gd/VHCqWo,,,0,0
Fri May 31 14:43:51 +0000 2019,de,Klartext_NE,Rhein-Kreis Neuss,Rhein-Kreis Neuss: Europawahl: Amtliches Endergebnis im Kreiswahlausschuss festgestellt https://t.co/2102vf4POo https://t.co/g30Pn7ixB4,https://www.klartext-ne.de/2019/05/31/rhein-kreis-neuss-europawahl-amtliches-endergebnis-im-kreiswahlausschuss-festgestellt/,,,0,0
Fri May 31 14:43:39 +0000 2019,de,KT_Roki,"Rommerskirchen, Deutschland","Rhein-Kreis Neuss: Europawahl: Amtliches Endergebnis im Kreiswahlausschuss festgestellt,#RheinKreisNeuss, #Kreiswahlausschuss, #Europawahl, #amtlich, #Ergebnisse,https://t.co/pzsMKpVGGf",https://twitter.com/i/web/status/1134470499789103104,RheinKreisNeuss,,0,0
Fri May 31 14:43:38 +0000 2019,de,KT_Neuss,"Neuss, Deutschland","Rhein-Kreis Neuss: Europawahl: Amtliches Endergebnis im Kreiswahlausschuss festgestellt,#RheinKreisNeuss, #Kreiswahlausschuss, #Europawahl, #amtlich, #Ergebnisse,https://t.co/xNzxNo49vA",https://twitter.com/i/web/status/1134470497461264384,RheinKreisNeuss,,0,0
Fri May 31 14:43:37 +0000 2019,de,KT_Meerbusch,"Meerbusch, Deutschland","Rhein-Kreis Neuss: Europawahl: Amtliches Endergebnis im Kreiswahlausschuss festgestellt,#RheinKreisNeuss, #Kreiswahlausschuss, #Europawahl, #amtlich, #Ergebnisse,https://t.co/8evw2EufGu",https://twitter.com/i/web/status/1134470494181371904,RheinKreisNeuss,,0,0
Fri May 31 14:43:37 +0000 2019,de,KT_Korschenbr,"Korschenbroich, Deutschland","Rhein-Kreis Neuss: Europawahl: Amtliches Endergebnis im Kreiswahlausschuss festgestellt,#RheinKreisNeuss, #Kreiswahlausschuss, #Europawahl, #amtlich, #Ergebnisse,https://t.co/9tB1lvamHy",https://twitter.com/i/web/status/1134470490762993670,RheinKreisNeuss,,0,0
Fri May 31 14:43:36 +0000 2019,de,KT_Kaarst,"Kaarst, Deutschland","Rhein-Kreis Neuss: Europawahl: Amtliches Endergebnis im Kreiswahlausschuss festgestellt,#RheinKreisNeuss, #Kreiswahlausschuss, #Europawahl, #amtlich, #Ergebnisse,https://t.co/oUFa6vnHUu",https://twitter.com/i/web/status/1134470488472850432,RheinKreisNeuss,,0,0
Fri May 31 14:43:35 +0000 2019,de,KT_Juechen,"Jüchen, Deutschland","Rhein-Kreis Neuss: Europawahl: Amtliches Endergebnis im Kreiswahlausschuss festgestellt,#RheinKreisNeuss, #Kreiswahlausschuss, #Europawahl, #amtlich, #Ergebnisse,https://t.co/P6j6dspa9q",https://twitter.com/i/web/status/1134470485209767936,RheinKreisNeuss,,0,0
Fri May 31 14:43:35 +0000 2019,de,KT_Grevenbroich,"Grevenbroich, Deutschland","Rhein-Kreis Neuss: Europawahl: Amtliches Endergebnis im Kreiswahlausschuss festgestellt,#RheinKreisNeuss, #Kreiswahlausschuss, #Europawahl, #amtlich, #Ergebnisse,https://t.co/AHY6uClV8y",https://twitter.com/i/web/status/1134470482634428416,RheinKreisNeuss,,0,0
Fri May 31 14:43:34 +0000 2019,de,KT_Dormagen,"Dormagen, Deutschland","Rhein-Kreis Neuss: Europawahl: Amtliches Endergebnis im Kreiswahlausschuss festgestellt,#RheinKreisNeuss, #Kreiswahlausschuss, #Europawahl, #amtlich, #Ergebnisse,https://t.co/4tKfFFDz2Y",https://twitter.com/i/web/status/1134470479308365825,RheinKreisNeuss,,0,0
Fri May 31 14:41:05 +0000 2019,de,Rauscher_Peter,"Augsburg, Deutschland","💪💚""Laut dem Deutschen Gewerkschaftsbund (DGB) konnte die Partei bei der Europawahl unter den... https://t.co/jVhQHmAR0t",https://www.nzz.ch/international/gruene-welle-auch-arbeiter-sorgen-sich-heute-ums-klima-ld.1485509?fbclid=IwAR0AaIOd0uusC7DV3ctESqNjMPuQNRTKgelvv5wUSGVQ-OkEkLvvkBGLvA8,,,0,0
Fri May 31 14:40:07 +0000 2019,de,kreon_nrw,"Düsseldorf, NRW",@Fulleren @PiratenDdorf Mai ist auch ohne Europawahl unser Stressmonat. #PartyistArbeit ;),,PartyistArbeit,"Fulleren, PiratenDdorf",1,4
Fri May 31 14:38:54 +0000 2019,de,Crinel28,,"Portugal vor der Europawahl: Krise, welche Krise? https://t.co/oUlnoTPHq1",http://www.taz.de/!5595024/,,,0,0
Fri May 31 14:38:37 +0000 2019,de,BR24,"München, Bayern","Die große BR24-Analyse @luca zu den Datenströmen auf Twitter rund um die #Europawahl: Wann wurde am meisten gepostet? Welche Rolle spielten das #Ibiza- und das #Rezo-Video? Und wie wichtig waren #GretaThunberg und #FridaysforFuture den Twitter-Usern? 
https://t.co/XAJbwxLrUQ",https://twitter.com/i/web/status/1134469236095672320,Europawahl,luca,38,47
Fri May 31 14:38:15 +0000 2019,de,sprachen_,Frankfurt,Die Europawahl auf Twitter: Vieles drehte sich um Greta - BR24 https://t.co/IHuNHFsUYI,http://bit.ly/2W54vu2,,,0,0
Fri May 31 14:35:57 +0000 2019,de,galoki,München,"#Europawahl - die Datenanalyse auf Twitter: Vieles drehte sich um #GretaThunberg , #RezoVideo und #Ibizagate ⁦@bedfordstrohm⁩ Danke an ⁦@luca⁩ 🔝 https://t.co/2qmPeAw7TQ",https://twitter.com/i/web/status/1134468563836837890,"Europawahl, GretaThunberg, RezoVideo, Ibizagate",,2,8
Fri May 31 14:34:58 +0000 2019,de,EuropeUnion,"Brussels, Belgium","⭐ Folgen der Europawahl: Finanzdebakel für NPD - https://t.co/ZL4gETT6jG ⭐ 
https://t.co/ttswlp5Pd8","http://tagesschau.de, https://europeunion.press/?p=223088",,,0,0
Fri May 31 14:33:46 +0000 2019,de,WolfgangFuhrma5,,Kommentar: Machtkampf um Europa: Jetzt bekommt Merkel die Quittung von Macron https://t.co/MxasBnDh3e,https://www.focus.de/10771972,,,0,0
Fri May 31 14:30:59 +0000 2019,de,mantovan9,ffm,„Schwarz-grüne Katze in rot-grünem Sack“ - Diether Dehm spricht Klartext – EXKLUSIV: https://t.co/SLz1CW7A8V via @de_sputnik,https://de.sputniknews.com/politik/20190530325093576-europawahl-kritik-diether-dehm/,,de_sputnik,0,0
Fri May 31 14:30:26 +0000 2019,de,mantovan9,ffm,Die Linke - Nur noch eine bemühte Kopie des grünen Originals https://t.co/kMUJmykv2c,https://www.cicero.de/innenpolitik/die-linke-europawahl-sahra-wagenknecht-katja-kipping-soziale-gerechtigkeit,,,0,0
Fri May 31 14:28:16 +0000 2019,de,sprachen_,Frankfurt,Die Europawahl auf Twitter: Vieles drehte sich um Greta - BR24 https://t.co/gl6ey5Mjry,http://bit.ly/2Z2MOgW,,,0,0
Fri May 31 14:27:03 +0000 2019,de,SaShaK05424837,"Kamen, Deutschland",Verdacht auf Wahlbetrug: Wurden AfD-Stimmen aus der Urne genommen? https://t.co/it7iagGH2e,https://www.merkur.de/bayern/europawahl-2019-verdacht-auf-wahlbetrug-afd-stimmen-aus-urne-genommen-12324423.html,,,0,0
Fri May 31 14:25:14 +0000 2019,de,DrKassandraPari,FORTITER inRE SUAVITER  inMODO,Maybrit Illner beschäftigte sich in ihrer Sondersendung mit den Folgen der Europawahl. Sie lieferte damit ungewollt einen interessanten Einblick in unsere gesellschaftlichen und sozialen Verhältnisse.,https://twitter.com/i/web/status/1134465867197140992,,,0,1
Fri May 31 14:24:48 +0000 2019,de,GEZ_Eintreiber,Transnistrien,".@ndaktuell und @Jungle_World
wollen mit #Bayernpartei vor der Europawahl nicht sprechen. @jungewelt ist bekanntermaßen auf @DKP festgelegt. Was ist das denn für ein engstirniger linker Journalismus? So abhängig von Linkspartei?",https://twitter.com/i/web/status/1134465755288875010,Bayernpartei,"ndaktuell, Jungle_World, jungewelt",1,4
Fri May 31 14:23:27 +0000 2019,de,Matman2103,"Wetzlar, Deutschland",Verhältnismäßigkeit! Verhältnismäßigkeit! Einen Wahlerfolg für eine Verhältnismäßigkeit! #RezoVideo #Europawahl  https://t.co/TqmBXankr2,https://www.spiegel.de/politik/deutschland/youtuber-gegen-cdu-die-groteske-ueberschaetzung-des-influencers-a-1270054.html,"RezoVideo, Europawahl",,0,0
Fri May 31 14:22:41 +0000 2019,de,UgMads,"Hof, Deutschland",Doppelte Stimmabgabe: Bei Europawahl war millionenfacher Wahlbetrug möglich https://t.co/AqFErm2IAg via @SPIEGELONLINE,https://spon.de/aefd8,,SPIEGELONLINE,0,0
Fri May 31 14:22:41 +0000 2019,de,UgMads,"Hof, Deutschland",Doppelte Stimmabgabe: Bei Europawahl war millionenfacher Wahlbetrug möglich https://t.co/AqFErm2IAg via @SPIEGELONLINE,https://spon.de/aefd8,,SPIEGELONLINE,0,0
Fri May 31 14:22:18 +0000 2019,de,ani_katz,"Aachen, Deutschland","„Eine mutige Gesellschaft lässt sich keine Angst machen“, plakatierten die Grünen zur Europawahl. Doch davon ausgenommen ist die Lieblingsangst der Grünen, die Atomangst. Eine Fallstudie aus der niedersächsischen Provinz und ein Vorschlag zur Angsttherapie.https://t.co/qtYaJyKmmQ",https://twitter.com/i/web/status/1134465128697610240,,,0,0
Fri May 31 14:21:53 +0000 2019,de,FeeMitV2EH,Hamburgo,"@ftwealthborough @alcesmoose @SteinbachErika Überwiegend bei älteren Menschen. Deswegen fordert ja die Junge Alternative von der Alten Naiven, den menschengemachten Klimawandel nicht mehr zu leugnen, um auch für jüngere Wähler attraktiv zu werden. https://t.co/U6E9zpyDCs",https://twitter.com/i/web/status/1134465024192331776,,"ftwealthborough, alcesmoose, SteinbachErika",0,0
Fri May 31 14:21:53 +0000 2019,de,FeeMitV2EH,Hamburgo,"@ftwealthborough @alcesmoose @SteinbachErika Überwiegend bei älteren Menschen. Deswegen fordert ja die Junge Alternative von der Alten Naiven, den menschengemachten Klimawandel nicht mehr zu leugnen, um auch für jüngere Wähler attraktiv zu werden. https://t.co/U6E9zpyDCs",https://twitter.com/i/web/status/1134465024192331776,,"ftwealthborough, alcesmoose, SteinbachErika",0,0
Fri May 31 14:20:22 +0000 2019,de,bernd_paulus,Deutschland,Auf Twitter war @GretaThunberg zur #Europwahl2019 im Mittelpunkt. @luca hat für uns bei @br24 die Tweets analysiert. @Wurzelbier hat alles aufgeschrieben. Sehr informativ das ganze! https://t.co/YLIuxU1onQ,https://twitter.com/i/web/status/1134464641508286464,Europwahl2019,"GretaThunberg, luca, BR24",9,12
Fri May 31 14:20:03 +0000 2019,de,focuspolitik,München,"Kommentar - Wer Weber im Kampf um die EU-Spitze ausbooten will, vergrätzt die Wähler https://t.co/y6crl5pAM0",https://www.focus.de/politik/ausland/europawahl/kommentar-wer-weber-im-kampf-um-die-eu-spitze-auszubooten-versucht-betreibt-waehlertaeuschung_id_10778419.html?rnd=119e37cb4e2ca7cb4264a469ec56981d,,,0,0
Fri May 31 14:20:02 +0000 2019,de,FOCUS_TopNews,Deutschland,"Kommentar - Wer Weber im Kampf um die EU-Spitze ausbooten will, vergrätzt die Wähler https://t.co/gaA3Y1YyeY",https://www.focus.de/politik/ausland/europawahl/kommentar-wer-weber-im-kampf-um-die-eu-spitze-auszubooten-versucht-betreibt-waehlertaeuschung_id_10778419.html?rnd=119e37cb4e2ca7cb4264a469ec56981d,,,0,0
Fri May 31 14:19:49 +0000 2019,de,riffreporter,"Berlin, Bremen, D/A/CH","@ringelreihe @chrschwaegerl @rike_tweet @Die_Gruenen Gute Schlagzeilen zu machen ist oft das Schwierigste, aber was zählt, ist natürlich die Substanz. https://t.co/BzJlsn9Ony",https://twitter.com/i/web/status/1134464502542589952,,"ringelreihe, chrschwaegerl, rike_tweet, Die_Gruenen",0,1
Fri May 31 14:17:26 +0000 2019,de,DBiskira,,"@wiese_r @mq86mq @echo_pbreyer @DiePARTEI definitiv stärker aus der Europawahl hervorgekommen.

Fangen sie an sich politisch mit Sonneborn/Semsrott usw. auseinander zu setzen, sehr gern auch kritisch. 

Aber bitte nicht auf diesem Niveau, das sind nur Komiker die alles nur Lächerlich machen und allen schaden. Das ist",https://twitter.com/i/web/status/1134463902136320001,,"wiese_r, mq86mq, echo_pbreyer, DiePARTEI",0,0
Fri May 31 14:15:30 +0000 2019,de,Fulleren,,"@kreon_nrw @PiratenDdorf #Japantag, #Europawahl, #CSD #Demo ihr seit ja echt dauernd am Party machen .....",,"Japantag, Europawahl, CSD, Demo","kreon_nrw, PiratenDdorf",0,3
Fri May 31 14:15:06 +0000 2019,de,GosuObs,,"@FlorianGathmann @akk @CDU @_FriedrichMerz Die Ergebnisse der Europawahl zeigen doch, dass genau so jemand wie Merz im Moment am wenigsten gewollt ist ;-)",https://twitter.com/i/web/status/1134463316292755457,,"FlorianGathmann, akk, CDU, _FriedrichMerz",0,0
