created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Mon May 27 15:48:56 +0000 2019,de,GKFXEurope,Frankfurt am Main,"An der Börse fand die Europawahl wenig Beachtung. Der #DAX beendete die heutigeHandelssession 0,50% höher bei 12.071 Punkten.",,DAX,,0,0
Mon May 27 15:48:55 +0000 2019,de,dirkneumann0013,,"@nicolediekmann @watch_union @akk Das ist doch schön. @akk versucht wirklich mit allen Mitteln junge (und zukunftsorientierte ältere) Wähler zu vergraulen. 
Die Europawahl hat ihr offensichtlich noch nicht gereicht. Weiter so, dann ist die @cdu bald unter 20%.",https://twitter.com/i/web/status/1133037375762915328,,"nicolediekmann, watch_union, akk, akk",0,2
Mon May 27 15:48:51 +0000 2019,de,BILD,Berlin,GroKo-Entscheidung jetzt! - „Für die SPD geht es um die blanke Existenz“ https://t.co/0MlN4xg5wi,https://www.bild.de/politik/inland/politik-inland/europawahl-2019-spd-wirtschaftsforum-fuer-die-spd-geht-es-um-die-blanke-existenz-62222182.bild.html,,,0,0
Mon May 27 15:48:49 +0000 2019,de,Astrobaer,Bremerhaven,"@TastyTemptatio2 Vielen lieben Dank für die #Aufmunterung 😘
Dein Bild gibt einem Kraft nach dem #Auszählungsmarathon der #europawahl",,"Aufmunterung, Auszählungsmarathon, europawahl",TastyTemptatio2,0,1
Mon May 27 15:48:31 +0000 2019,de,WurstScience,,"@Tagesspiegel @rezomusik @akk Kann man auch übersetzen mit: „ auf Kritik waren wir nicht eingestellt“ Schönes Armutszeugnis stellt sie da aus. 
Und jetzt möchte sie die freie Meinungsäußerung in der Öffentlichkeit zensieren? Bewegt die cdu sich jetzt auf einmal Richtung Faschismus? #niewiedercdu #Europawahl",https://twitter.com/i/web/status/1133037274285903872,,"Tagesspiegel, rezomusik, akk",0,0
Mon May 27 15:48:31 +0000 2019,de,Krachten,"Berlin, Deutschland","Die @CDU fleht nach dem nächsten Shitstorm! @akk will Meinungsäußerung von Influencern regulieren OMG Ich fürchte, dass die CDU so noch schneller in der Versenkung verschwindet, als eh schon 😂 https://t.co/zsBHKjHd7B",https://twitter.com/i/web/status/1133037273640046593,,"CDU, akk",25,137
Mon May 27 15:48:10 +0000 2019,de,SilvioSiefke,,"Mal so eine kleine Frage ⁦@SPIEGELONLINE⁩ ⁦@EmmanuelMacron⁩ wollte verhindern das rechtes Gesindel gewinnt? Wie wollte er das machen? Auf Demonstranten einprügeln, verarschen und große Reden schwingen waren da wohl nicht erfolgreich 😂 https://t.co/0LCum0uplt",https://twitter.com/i/web/status/1133037184884322306,,"SPIEGELONLINE, EmmanuelMacron",0,0
Mon May 27 15:48:08 +0000 2019,de,angelaultras,,.@akk lass uns nachher noch kurz simsen für das Gute-Nachrichten-aus-dem-Internetz-Gesetz #europawahl #akk  https://t.co/hrWEG6Ayhs,https://tmblr.co/ZbasVl2iTUJJ0,"europawahl, akk",akk,0,0
Mon May 27 15:48:04 +0000 2019,de,DGNB_eV,,#Europawahl mit Signal: Klimaschutz-Botschaft an die Etablierten: #DGNB Präsident Alexander Rudolphi mit einem Kommentar im DGNB Blog. https://t.co/9BSEQleO1D,https://twitter.com/i/web/status/1133037161333383168,"Europawahl, DGNB",,4,7
Mon May 27 15:48:00 +0000 2019,de,sjbblog,Korschenbroich,Aktien Frankfurt Schluss: Dax endet nach Europawahl moderat im Plus https://t.co/sXiIQaMVwr,https://www.fonds-antizyklik-sjb.de/aktien-frankfurt-schluss-dax-endet-nach-europawahl-moderat-im-plus/2019/05/27/,,,0,0
