created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Fri May 31 15:24:40 +0000 2019,el,AlphaMi2310,Thessaloniki(Γερμανιας),"Με καβα την διαφορα των 9.5 μοναδων απο τις ευρωεκλογες η ΝΔ βρηκε ευκαιρια να κατεβασει στις εθνικες εκλογες οτι σκαρτο εχει και δεν εχει.
Αυτη ειναι η μεγαλυτερη αποτυχια του Τσιπρα.
#εκλογες2019",https://twitter.com/i/web/status/1134480823246381056,,,0,1
Fri May 31 15:22:03 +0000 2019,el,J4ckGr,North of The Wall,"@EiriniLampraki Αυτή τη βρωμιά νομιμοποίησε ο ελληνικός λαός στις ευρωεκλογές. Πάρα πολύ ωραία. Νομίζουν ότι θα την πληρώσουν ""οι αντίπαλοι"". Πλάκα θα έχει η απορία στις φατσούλες τους όταν θα τα τρώνε όλα στη μάπα.",https://twitter.com/i/web/status/1134480165491355649,,EiriniLampraki,0,4
Fri May 31 15:17:07 +0000 2019,el,stelimili,"北京, 中华人民共和国","@HighwayStarTO @maria_papmari @effielaskar @serkot65 Αφού έχει ψηφιστεί ήδη με πάνω από 180 να αλλάξει το Σύνταγμα όσον αφορά την εκλογή προέδρου κ να μην χρειάζεται διάλυση της Βουλής. Κάνουν τις οριστικές αλλαγές και άρα θα βγαίνει πρόεδρος με 151.
Ευρωεκλογές θα έχουμε σε 5 χρόνια, κιαπό δημοσκοπήσεις δεν έχει πέσει ποτέ κανείς.",https://twitter.com/i/web/status/1134478921267679232,,"HighwayStarTO, maria_papmari, effielaskar, serkot65",0,2
Fri May 31 15:16:35 +0000 2019,el,Stelarklas,Θεσσαλονίκη,"""Κατέστρεψαν με Betadine όλα τα ψηφοδέλτια της Χ.Α. στη Καλλιθέα""
#ευρωεκλογές #εκλογες2019 #Μπογδάνος https://t.co/vzIiDjzlUh",,"ευρωεκλογές, εκλογες2019, Μπογδάνος",,19,27
Fri May 31 15:14:50 +0000 2019,el,HellenicTex,,"@george_cris Αυτός που... 
ΣΑΣ ΕΡΙΞΕ 9,5 ΜΟΝΑΔΕΣ στις Ευρωεκλογές!!!

Και που σαι ακόμα... #ερχεται κι άλλο!!!",,ερχεται,george_cris,0,5
Fri May 31 15:14:17 +0000 2019,el,kampmairi,Μάς πήρε ο διάολος,"Ευρωεκλογές 2019: Η Ακροδεξιά, οι Πράσινοι, και μια Ευρώπη σε αποσύνθεση https://t.co/hWlvKyE6gh",https://infonewstime.wordpress.com/2019/05/31/%ce%b5%cf%85%cf%81%cf%89%ce%b5%ce%ba%ce%bb%ce%bf%ce%b3%ce%ad%cf%82-2019-%ce%b7-%ce%b1%ce%ba%cf%81%ce%bf%ce%b4%ce%b5%ce%be%ce%b9%ce%ac-%ce%bf%ce%b9-%cf%80%cf%81%ce%ac%cf%83%ce%b9%ce%bd%ce%bf%ce%b9/,,,0,0
Fri May 31 15:12:10 +0000 2019,el,kairipe,,"Θα το καταλάβουν τον Ιούλιο και θα σας στείλουν στον πάτο της θάλασσας.........

Φλαμπουράρης: Οι πολίτες δεν κατάλαβαν τι ψήφισαν στις ευρωεκλογές https://t.co/bLy0w4fjB9",https://twitter.com/i/web/status/1134477677639983104,,,0,1
Fri May 31 15:10:42 +0000 2019,el,EFSYNTAKTON,,"Η περίοδος πριν από τις ευρωεκλογές, όπως και αυτή που διανύουμε προς τις εθνικές κάλπες, αποτελεί ένα σεμινάριο πάνω στην παραπληροφόρηση, τη συγκάλυψη της αλήθειας, αλλά και την κατασκευή μιας εικονικής πραγματικότητας. 
[Του Τάσου Τσακίρογλου]
https://t.co/LcH1Zjd9Fm",https://twitter.com/i/web/status/1134477308159508481,,,1,3
Fri May 31 15:08:05 +0000 2019,el,kwloxaneiogr,,Μετά τις Ευρωεκλογές ΕΘΕΣΑΝ ζήτημα «Μακεδονικής Μειονότητας» – Ετοιμάζονται για τα επόμενα βήματα (BINTEO) https://t.co/S1FEMnklM8 https://t.co/c4stWQsVl8,https://twitter.com/i/web/status/1134476650077286400,,,0,0
Fri May 31 15:06:05 +0000 2019,el,SaileSistigrev,Greece,"@billhicks6 @Odysseas_ Οι Έλληνες της Ελβετίας ψήφισαν στις ευρωεκλογές εφόσον είχαν εγγραφεί στους σχετικούς καταλόγους της πρεσβείας στη Βέρνη. Ψήφισαν όμως σε ελληνικες αρχές γειτονικών χωρών οπου είχαν στηθεί κάλπες. Δηλαδή, Γερμανία, Γαλλία, Ιταλία, Αυστρία.",https://twitter.com/i/web/status/1134476147226566658,,"billhicks6, Odysseas_",0,0
Fri May 31 15:02:45 +0000 2019,el,SaileSistigrev,Greece,"@ArRam84 @ChristinaMouzak @Odysseas_ Οι Έλληνες της Ελβετίας ψήφισαν στις ευρωεκλογές εφόσον είχαν εγγραφεί στους σχετικούς καταλόγους της πρεσβείας στη Βέρνη. Ψήφισαν όμως σε ελληνικες αρχές γειτονικών χωρών οπου είχαν στηθεί κάλπες. Δηλαδή, Γερμανία, Γαλλία, Ιταλία, Αυστρία.",https://twitter.com/i/web/status/1134475307644280833,,"ArRam84, ChristinaMouzak, Odysseas_",0,1
Fri May 31 15:00:02 +0000 2019,el,effielaskar,Αθηνα,@OrangeDR79 @KostasVaxevanis ουρτ βρε εχουμε εθνικες σ ενα μηνα και θα μιλησεις για χουντες. κερδισε η Νδ τις ευρωεκλογες με 9 μοναδες  και μιλατε για χουντα εσεις,https://twitter.com/i/web/status/1134474625516212224,,"OrangeDR79, KostasVaxevanis",0,0
Fri May 31 14:55:33 +0000 2019,el,MakisMatakis,Ελλάς,"@N0nServ1am Με 24% σε ευρωεκλογές και με μια παγωμαρα στο άκουσμα των εκλογών, δεν θα το έλεγα και συντριβή Έντι μου",,,N0nServ1am,0,0
Fri May 31 14:54:12 +0000 2019,el,AlkisKallia,,"«Μετά από 6 μήνες κινητοποιήσεων, τα ψηφοδέλτια των κιτρινογελεκάδων στις ευρωεκλογές έπιασαν κάτω από 1%» !!!
https://t.co/To3kJWUBRJ",http://www.anixneuseis.gr/%CE%BC%CE%B5%CF%84%CE%AC-%CE%B1%CF%80%CF%8C-6-%CE%BC%CE%AE%CE%BD%CE%B5%CF%82-%CE%BA%CE%B9%CE%BD%CE%B7%CF%84%CE%BF%CF%80%CE%BF%CE%B9%CE%AE%CF%83%CE%B5%CF%89%CE%BD-%CF%84%CE%B1-%CF%88%CE%B7%CF%86/,,,0,0
