created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Tue May 28 14:00:56 +0000 2019,en,WestrnFreePress,"Arizona, National",European Union Elections 2019: The Results https://t.co/9MbChjP6Ok #EUElections2019 #EuropeanElections2019 #Brexit,http://bit.ly/2Wbxrp6,"EUElections2019, EuropeanElections2019, Brexit",,0,1
Tue May 28 14:00:34 +0000 2019,en,StartJimmy,"Hull, England",Sounds familiar god help us if May takes same stance what is it with these leaders won't go after they've killed there countries  https://t.co/bBDiYQrYZ5,https://twitter.com/i/web/status/1133372493106995200,,,0,1
Tue May 28 14:00:31 +0000 2019,en,Telegraph,"London, UK",Alastair Campbell expelled from Labour Party after backing Lib Dems at European elections https://t.co/Wc7C7aEb7p,http://ow.ly/l5vl50uqR5e,,,6,13
Tue May 28 14:00:10 +0000 2019,en,C2CXE,,"Bitcoin's rally to another high in 2019 could be due to the possibility of political chaos after the European parliament elections.
Crypto Bull Max Keiser: EU Elections Chaos is Pumping Bitcoin Price Rally https://t.co/onV3rSPN4Z",https://twitter.com/i/web/status/1133372393928441857,,,0,0
Tue May 28 14:00:06 +0000 2019,en,FinancialTimes,"London, UK",The former New Labour spin-doctor Alastair Campbell has been expelled from the party after admitting he voted for the Liberal Democrats in the European Parliament elections https://t.co/PveVOGuoY6,https://twitter.com/i/web/status/1133372375771361286,,,8,12
Tue May 28 14:00:04 +0000 2019,en,ImkenmacMaclean,Sault ste Marie,Populist Parties Surging In European Union Elections https://t.co/IVLTcsz8st,https://capforcanada.com/populist-parties-surge-in-european-union-elections/,,,0,0
Tue May 28 14:00:01 +0000 2019,en,simonneil19,,"Never normally use this word, but he is a CUNT !!!!

Alastair Campbell EXPELLED from Labour Party after voting Lib Dems in European elections https://t.co/q1AxtHKPFd",https://twitter.com/i/web/status/1133372354946588672,,,0,0
Tue May 28 13:59:53 +0000 2019,en,MarkLFC20,"Liverpool, England",Tony Blair should be in prison the f****** scumbag https://t.co/AhZ8Rb1Jmo,https://www.express.co.uk/news/uk/1132874/Brexit-news-UK-European-elections-latest-Tony-Blair-Labour-Party-EU-Brexit-Party/amp?__twitter_impression=true,,,1,1
Tue May 28 13:59:52 +0000 2019,en,CC_CRF,Ottawa/ Toronto Canada,Salvini stuns Europe with Italian majority in EU elections. Says a new Europe is born and nothing will change in Italy but everything will change in Europe. Are we on the cusp of a new renaissance? Is Canada in need of one? #cdnpoli #onpoli @fordnation https://t.co/VrjGZkdGv5,https://twitter.com/i/web/status/1133372319668277249,,,3,6
Tue May 28 13:59:49 +0000 2019,en,HollowsAnd,,"Lol. FUCK you Stevie, you pathetic little reptile, and fair fucks to you North West 👊

https://t.co/wyrsNygPRd",https://inews.co.uk/news/politics/tommy-robinson-european-elections-lost-5000-deposit/,,,0,0
Tue May 28 13:59:44 +0000 2019,en,JoGillJourno,Edinburgh - Brussels,Grey skies over #EUCO in Brussels as European leaders meet for the first time after the elections. Our bureau is out and about getting the lowdown on the battle for top jobs. @DarrenEuronews @EuroSandor @Efkouts @elena_cavallone @euronews https://t.co/X4V2wkT6dK,https://twitter.com/i/web/status/1133372286499794944,EUCO,,2,10
Tue May 28 13:59:43 +0000 2019,en,LeslieH24367191,"Birmingham, England","Change fUK all spend more then any other party on Facebook ads &amp; finish last.
By elections for credability ???

BBC News - European elections 2019: Change UK increases Facebook ad spend https://t.co/ITeyw3kYw7",https://twitter.com/i/web/status/1133372280623566848,,,8,21
Tue May 28 13:59:22 +0000 2019,en,NewlookBeryl,Manchester,"@nikkirobson1 Yeah.
Uve always been Desperate as a remoan loser haven’t u?
Trying to claim u won the European elections 🤣🤣

Get a life 😘",,,nikkirobson1,0,0
Tue May 28 13:59:19 +0000 2019,en,AnseSkywalker,,"🇪🇺 Did the Russian troll army sway the EU prior to the elections - or does the threat come from within? 🇪🇺

Together with Finnish journalist Anna Saraste and Russian journalist and winner of European Press Prize, Roman Dobrokhotov, we have been resear…https://t.co/Mfd87WJY37",https://twitter.com/i/web/status/1133372181742804993,,,1,2
Tue May 28 13:58:56 +0000 2019,en,Awoyelu,UK,I’m Labour member but vote for Liberal Democrat in the European elections last week. https://t.co/kdN06Hsrlv,https://twitter.com/SkyNews/status/1133333540446326786,,,0,0
Tue May 28 13:58:56 +0000 2019,en,jturner_1408,,European Union elections: results and reactions  https://t.co/MnkNJordM4,https://twitter.com/i/events/1133095009933242368,,,0,0
Tue May 28 13:58:36 +0000 2019,en,AudetteFulson,NYC,@RedTRaccoon The Atlantic has a great one with a terrible headline: https://t.co/Uum7jN4zGM,https://www.theatlantic.com/international/archive/2019/05/european-parliament-elections/590329/,,RedTRaccoon,1,4
Tue May 28 13:58:27 +0000 2019,en,rtenews,Ireland,Declaration: Ireland South | European Elections #ep19 https://t.co/sX0Agx78X0,https://twitter.com/i/broadcasts/1kvKpOpOWbPxE,ep19,,10,12
Tue May 28 13:58:21 +0000 2019,en,robmcd85,"Glasgow, Scotland","Democracy. 

Nigel Farage admits it’s impossible to depose him as leader of the Brexit Party because ‘it’s a start-up’. Party will be run like a company. 

https://t.co/HkGK2XV0oq",https://twitter.com/i/web/status/1133371936036335617,,,7,5
Tue May 28 13:58:18 +0000 2019,en,ParkErin10,,BBC News - European elections 2019: Power blocs lose grip on parliament https://t.co/LcUOqeSdG5,https://www.bbc.com/news/world-europe-48417744,,,0,0
Tue May 28 13:58:16 +0000 2019,en,TheStalwart,New York City,SYRIZA got destroyed in the European parliamentary elections. https://t.co/CQBOcdOFus,https://www.bloomberg.com/news/articles/2019-05-26/greece-s-tsipras-calls-snap-election-after-crushing-eu-defeat,,,6,6
Tue May 28 13:58:08 +0000 2019,en,nytopinion,"NYC, London, Paris, Hong Kong",From @DLeonhardt’s newsletter today: It’s a relief that far-right parties didn’t do better in this past weekend’s European Parliament elections. But the shrinking of Europe’s traditional political parties continues. https://t.co/yVIkccvLj6,https://twitter.com/i/web/status/1133371882571489281,,DLeonhardt,3,7
Tue May 28 13:57:58 +0000 2019,en,MurphsAnna,UK,"The take going around that the Remain vote won in the European elections is just wishful thinking.

The country appears as divided on Brexit as 3 years ago.",https://twitter.com/i/web/status/1133371841127550977,,,0,1
Tue May 28 13:57:50 +0000 2019,en,radumagdin,Bucharest-Brussels-London&rest,My take on the new center of #EU mainstream politics after European Parliament's elections #ALDE - The EPP-S&amp;D duopoly is at an end. It’s time for the liberals to forge the EU’s future ǀ View https://t.co/ZvClLIATaG,https://twitter.com/i/web/status/1133371806084214785,"EU, ALDE",,0,3
Tue May 28 13:57:45 +0000 2019,en,GelderJgelly, Uk,Tony Blair scoffs at chance of Brexit happening as he plots new ‘proper’ Remain campaign https://t.co/CsMOWauV3I,https://www.express.co.uk/news/uk/1132874/Brexit-news-UK-European-elections-latest-Tony-Blair-Labour-Party-EU-Brexit-Party,,,1,0
Tue May 28 13:57:33 +0000 2019,en,cafenetamerica,,FreeRepublic:  What Really Happened in European Elections (Greens did not explode; Socialists imploded.) https://t.co/q6LDPhidUR,http://dlvr.it/R5ZBXJ,,,1,0
Tue May 28 13:57:30 +0000 2019,en,Jeannieatcf,"South East, England",How do you ever get rid of these people?  Angela Merkel CRISIS: Chancellor refuses to leave power as successor ‘not up to job’ https://t.co/8MQ2WNgsr1,https://twitter.com/i/web/status/1133371722596528130,,,0,0
Tue May 28 13:57:24 +0000 2019,en,maryhoneyball,London,@Kaletsky This message - that #Brexit lost in the European Parliament elections - needs to be said loud and clear as much as possible. More people voted #Remain than #Brexit,https://twitter.com/i/web/status/1133371698647117824,Brexit,Kaletsky,0,2
Tue May 28 13:57:21 +0000 2019,en,raybae689,"Queens, NY","The far right may not have cleaned up, but its influence now dominates Europe | Cas Mudde https://t.co/5SpZfgndan https://t.co/SFytLPszlt",http://dlvr.it/R5ZBTl,,,0,0
Tue May 28 13:57:17 +0000 2019,en,i8wigan,"West Midlands, England",@64bitUK @Europa_Unitum @Jacob_Rees_Mogg You are correct and UK citizens shouldn't vote in European elections of they are living in other EU countries then,https://twitter.com/i/web/status/1133371668070641665,,"64bitUK, Europa_Unitum, Jacob_Rees_Mogg",0,0
Tue May 28 13:57:05 +0000 2019,en,R_LONDON_H,London,"@OwenJones84 Owen, more than a dozen times she has publicly endorsed Nigel Farage. And continues to do so, unchallenged, let alone expelled.
https://t.co/bDCd3lTjZF",https://twitter.com/i/web/status/1133371616627445760,,OwenJones84,0,0
Tue May 28 13:56:35 +0000 2019,en,lucchaoui,"Silicon Valley, CA ","New top story from Time: https://t.co/3Kq46Goo3f 

A giddy sense of triumph has taken hold among Europe’s strident right-wing nationalists since Sunday night, after they won the European Union’s parliamentary elections in the U.K., France and Italy—three powerhouse economies—po…","http://bit.ly/2MeN8aP, https://twitter.com/i/web/status/1133371493101068288",,,0,0
Tue May 28 13:56:35 +0000 2019,en,lucchaoui,"Silicon Valley, CA ","New top story from Time: https://t.co/DKGbPuFYAT 

Green Party politicians struggle to pinpoint the exact moment when it became clear they were making history in the European Union’s parliament elections. Hopes stirred when Irish exit polls showed the country had elected its fi…","http://bit.ly/2WApfOY, https://twitter.com/i/web/status/1133371491641384960",,,0,0
Tue May 28 13:56:28 +0000 2019,en,EUPodcasts,Europe,The UK in a Changing Europe John Curtice on BBC Radio 4: European election results https://t.co/38HQfDhlE4,https://soundcloud.com/uk-in-a-changing-europe/john-curtice-on-bbc-radio-4-results-of-the-european-elections,,,0,0
Tue May 28 13:56:26 +0000 2019,en,owainpj,"London, England","@SimonABanfield @AnnetteVitelli3 @iainmartin1 @adamboultonSKY Really do think you need to review your maths ... not least because if you don't you are going to be conned by unscrupulous people

Brexit Party      31.60%
Conservative      9.09%
UKIP                   3.30%

By my maths that is 43.99% !!!

Source BBC https://t.co/pY0bb07vE3 https://t.co/z03z0Asq0p",https://twitter.com/i/web/status/1133371454928633856,,"SimonABanfield, AnnetteVitelli3, iainmartin1, adamboultonSKY",0,0
Tue May 28 13:56:23 +0000 2019,en,crush_lucy,,"@LBC @MaajidNawaz When real BREXIT(NO withdrawal agreement)  happens on 31/1019 , the European Elections will matter not.

Out of EU, there'll be no UK MEPs in employment.

BREXIT will happen before Electoral Commission concludes any investigation.

EU citizens CAN'T vote in our General Election",https://twitter.com/i/web/status/1133371440198295552,,"LBC, MaajidNawaz",0,0
Tue May 28 13:56:10 +0000 2019,en,TheGMan7,New York City ,Macron Seeks to Build Pro-European Alliance After Elections https://t.co/QGiNrMuqmB,https://goo.gl/fb/Q4EomX,,,0,0
Tue May 28 13:55:54 +0000 2019,en,ScubadooX,"Calgary, Alberta, Canada","""Recent elections in India, Australia and the Philippines have shown public support for tough leaders, and Mr. Salvini and other European populists are trying to push some of the same... https://t.co/thAdrYrFzL",https://twitter.com/i/web/status/1133371322489290752,,,0,0
Tue May 28 13:55:52 +0000 2019,en,mojos55,Lancashire,Alastair Campbell EXPELLED from Labour Party after voting Lib Dems in European elections https://t.co/dVvM4qZgPW,https://www.express.co.uk/news/politics/1132972/alastair-campbell-expelled-labour-party-european-elections-lib-dems-vote,,,0,0
Tue May 28 13:55:48 +0000 2019,en,PhilMorandi,United Kingdom,"The far right may not have cleaned up, but its influence now dominates Europe #FarRight  https://t.co/8nes4xJbi3",https://www.theguardian.com/commentisfree/2019/may/28/far-right-european-elections-eu-politics?CMP=Share_iOSApp_Other,FarRight,,0,0
