created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Mon May 27 12:27:57 +0000 2019,en,alxndrlov,N7,Each warbler on the Woodberry Wetlands represents a hot take on the European elections flying around today https://t.co/zCpBpkI6hH,,,,0,0
Mon May 27 12:27:55 +0000 2019,en,redball2,K J Hyett | Sydney | Australia,European elections 2019: centrist parties everywhere get a wake up call as voters flee them • climate fears increasingly important | DW News | May 27 2019 https://t.co/AyHfXx1i9w https://t.co/LUzp4HEDvs,https://twitter.com/i/web/status/1132986792787922944,,,0,0
Mon May 27 12:27:53 +0000 2019,en,grauniad_news,,European elections 2:190 eurgs for Brexit party and Lib Dems as main UK parties stumble – live https://t.co/oUnRwV6iQE,https://www.theguardian.com/politics/live/2019/may/26/european-elections-2019-results-eu-election-parliament-brexit-party-farage-tories-may-live?CMP=twt_gu&utm_medium=&utm_source=Twitter#Echobox=1558960066,,,0,0
Mon May 27 12:27:50 +0000 2019,en,sinnfeinireland,Ireland,Sinn Fein elected representatives celebrating after @M_AndersonSF topping the poll in the European Parliament elections #EE2019 https://t.co/WCf1HlKISa,https://twitter.com/i/web/status/1132986771883610112,,M_AndersonSF,45,148
Mon May 27 12:27:48 +0000 2019,en,guardian,London,European elections 2019: surge for Brexit party and Lib Dems as main UK parties stumble – live https://t.co/1hUdMi6GRT,https://www.theguardian.com/politics/live/2019/may/26/european-elections-2019-results-eu-election-parliament-brexit-party-farage-tories-may-live?CMP=twt_gu&utm_medium=&utm_source=Twitter#Echobox=1558960066,,,4,12
Mon May 27 12:27:41 +0000 2019,en,AntonioEMartin2,Bélgica,BBC News - European Elections: What they tell us about support for Brexit https://t.co/bP3cLivlG0,https://www.bbc.com/news/uk-politics-48402593,,,0,0
Mon May 27 12:27:32 +0000 2019,en,JohnClarkSNP,"Renfrewshire, Scotland","SNP landslide as voters abandon Labour. Today’s Renfrewshire @thegazettepaper  
@theSNP SNP secure 6th election win in a row in Renfrewshire.

https://t.co/Yzx4jhRe6l",https://twitter.com/i/web/status/1132986695786356737,,"thegazettepaper, theSNP",0,1
Mon May 27 12:27:27 +0000 2019,en,phil_waechter,"Paris, France",European elections: changes but no revolution https://t.co/iYf7Rf2U28 https://t.co/6y0NLqI4j0,https://philippewaechter.en.ostrum.com/2019/05/27/european-elections-changes-but-no-revolution/,,,0,0
Mon May 27 12:27:21 +0000 2019,en,europarlAV,"Brussels, Strasbourg","Check out percentages, seat distribution &amp; graphics of the first EU projection based on national exit polls of the #EUelections2019: https://t.co/Nm5b703j5j https://t.co/CxZi3j3d2H",https://twitter.com/i/web/status/1132986646960496641,,,0,2
Mon May 27 12:27:20 +0000 2019,en,GoodisonBlueBoy,,"Jeremy Corbyn has lost ...
- a general election
- two sets of local elections
- a European election
- a confidence vote from his   own party
- over 100 MPs from his front bench
- 8 MPs to ChangeUK
And NOW he’s prepared to listen to conference in September - UK due to leave Oct? https://t.co/VJVgnjkFP2",https://twitter.com/i/web/status/1132986644867493891,,,1,1
