created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
2019-06-02 23:53:10,es,elnocturno,"Gijón, Asturias, izquierda","Reforzando lo que comenté en ""¿Qué fue eso?"" sobre la debacle de la ultraderecha en las europeas: hasta el gobierno italiano le da la espalda a Bannon. Cuando el fascismo tropieza...

https://t.co/QTLfcIniUB",https://www.lavanguardia.com/politica/20190602/462615721325/elecciones-europeas-espana-populismo-bannon-ue.html,,,1,7
2019-06-02 23:23:08,es,JosManu60566577,"Córdoba, España",@RacloSmith @MorganBolt3 @mandarinaemma @Santiporqueros @cid_lauri He sido militante de VOX desde Diciembre de 2017. Me fuí cuando rehusaron defender a Fernando Paz. He colaborado en mesas informativas y fui apoderado de VOX en las elecciones autonómicas andaluzas de Diciembre. En estas municipales voté a VOX y en Europeas al fracaso de ADÑ.,,,"RacloSmith, MorganBolt3, mandarinaemma, cid_lauri",0,1
2019-06-02 23:02:01,es,izquierdadiario,,"Tras las elecciones europeas, ¿adónde van los chalecos amarillos? https://t.co/23zLXs0SfI https://t.co/cGu0r504uO",http://bit.ly/2Z88bgN,,,3,7
2019-06-02 23:00:00,es,RevistaSemana,Colombia,"Con los resultados de los comicios, al Parlamento Europeo, por primera vez, no lo dominarán ni la derecha ni la izquierda. Será una tribuna continental para los nacionalistas https://t.co/NV2z8opozB https://t.co/mM90ELj3om",http://bit.ly/2MoF4nU,,,1,2
2019-06-02 22:45:01,es,MazoDePatriota,"Madrid, Comunidad de Madrid",@BrunaHusky La mujer de Einstein también votaba a PACMA en las elecciones europeas.,,,BrunaHusky,0,0
2019-06-02 22:34:54,es,egpons1,"Barcelona, España",Bannon ha caído en España https://t.co/uCAVwkyWrQ,https://www.lavanguardia.com/politica/20190602/462615721325/elecciones-europeas-espana-populismo-bannon-ue.html,,,0,0
2019-06-02 22:21:10,es,ExIndepe_90,"Tractoria Central, Spain, Earth","Matemáticas nivel sencillito, Cataluña elecciones europeas:
Participación: 64,23%
Votos indepes: 49,71%
Porcentaje total de votos indepes sobre el censo: 31,93%",,,,19,33
2019-06-02 22:15:06,es,MercoPressES,"Montevideo, Uruguay",El Reino Unido parece encaminarse hacia una salida dura de la Unión Europea con el demoledor avance de la formación euroescéptica del populista Nigel Farage en las elecciones europeas. https://t.co/ryQbVsJZE7,http://es.mercopress.com/2019/05/28/reino-unido-camino-a-una-salida-dura-de-la-ue-pero-persiste-una-gran-brecha-en-el-electorado,,,0,0
2019-06-02 22:14:54,es,_marisalopez,,"@blythe_club Me lo creo. Aunque no fue numeroso, yo sé de un pueblo en unas elecciones europeas en las que 6 personas votaron a una lista y esos votos NO aparecieron por ningún sitio. A saber quién se los sumó.",,,blythe_club,2,1
2019-06-02 22:11:37,es,miriamtey,Barcelona,El independentismo gana pero no crece https://t.co/mHc2HLpV78,https://www.elperiodico.com/es/politica/20190602/voto-independentista-elecciones-generales-municipales-europeas-7484768?utm_source=twitter&utm_medium=social,,,0,2
2019-06-02 22:04:02,es,Balkiszafar,Valencia,Bannon ha caído en España https://t.co/xMDT44Z2Fa,https://www.lavanguardia.com/politica/20190602/462615721325/elecciones-europeas-espana-populismo-bannon-ue.html,,,0,4
2019-06-02 22:02:21,es,fenrique4,"Almendralejo, Extremadura.","Esta foto es de las elecciones europeas de 2014 como interventor del @PSOE, que por cierto en mesa mesa ganamos. Fue la primera vez que me senté en una mesa como interventor del PSOE, tenía 20 años. https://t.co/5M9WYYq8NF",,,PSOE,0,1
2019-06-02 21:44:38,es,LuisFeVM,"Madrid, Spain","@pablocasado_, tú, qué?

https://t.co/1tIXggpxdx

Enviado desde @updayESP",http://amp.rtve.es/noticias/20190602/dimite-lider-socialistas-alemanes-tras-debacle-del-partido-elecciones-europeas/1949840.shtml,,"pablocasado_, updayESP",0,0
2019-06-02 21:41:35,es,antana1608,"Málaga, España","@pnique Pues nada, eso tiene fácil solución: ganar unas elecciones y listo. Ya se ha visto en las últimas autonómicas,  municipales y europeas que cada día sois más intrascendentes.",,,pnique,0,0
2019-06-02 21:40:33,es,InfoMediatico,,Dimite el presidente de los conservadores franceses por la debacle en las elecciones europeas - https://t.co/8r8enWWW6b https://t.co/PNV7u5b8dO,https://www.infomediatico.com/2019/06/02/dimite-el-presidente-de-los-conservadores-franceses-por-la-debacle-en-las-elecciones-europeas/,,,0,0
2019-06-02 21:37:33,es,eduardom_jpg,,"Bannon ha caído en España
España y Portugal se convierten en válvulas de seguridad del proyecto europeo
@EnricJuliana @LaVanguardia 
@DeVerdadDigital @RecortesCero 
#FelizDomingo #España #Portugal #Bannon #fuerabuitres #EuropeanElections2019 #Europa 
https://t.co/sWMSHq2g4t",https://www.lavanguardia.com/politica/20190602/462615721325/elecciones-europeas-espana-populismo-bannon-ue.html,"FelizDomingo, España, Portugal, Bannon, fuerabuitres, EuropeanElections2019, Europa","EnricJuliana, LaVanguardia, DeVerdadDigital, RecortesCero",1,1
2019-06-02 21:33:57,es,otroperfil,,"Se consolida la derecha en Grecia, Tras el triunfo en las europeas, resultados parciales confirman que se quedó con el gobierno de Atenas y Tesalónica así como en la mayoría de las regiones griegas. Todo a pocas semanas de las parlamentarias anticipadas https://t.co/fHPpFWjRZi",https://www.swissinfo.ch/spa/la-derecha-conquista-atenas-y-arrasa-en-las-elecciones-locales/45005132,,,0,0
2019-06-02 21:33:32,es,LucasVicens,Dominican Republic,El auge de los liberales y los verdes frena a las fuerzas de ultraderecha en Europa https://t.co/FV9uqYDmXc,https://www.eitb.eus/es/elecciones/europeas/detalle/6435090/elecciones-al-parlamento-europa-2019-resultados-europa-euskadi-cav-/,,,0,0
2019-06-02 21:32:21,es,LucasVicens,Dominican Republic,¿Quién ha ganado las elecciones europeas?  Sube la participación y cae el bipartidismo https://t.co/PchIDuBwrh,https://es.euronews.com/2019/05/24/todos-los-resultados-de-las-elecciones-europeas-en-directo-en-euronews,,,0,0
2019-06-02 21:30:25,es,dori58,asturias,"Dimite la líder de los socialistas de Alemania

https://t.co/2ghQiBieVu

Enviado desde @updayESP",http://amp.rtve.es/noticias/20190602/dimite-lider-socialistas-alemanes-tras-debacle-del-partido-elecciones-europeas/1949840.shtml,,updayESP,0,0
2019-06-02 21:13:00,es,elperiodico,Barcelona,Dimite el presidente de los conservadores franceses por la debacle en las elecciones europeas https://t.co/UXkTO64g8r,http://elperiodi.co/vr0ma1,,,5,5
2019-06-02 21:11:34,es,GriceSteil,Chile,"Un gobierno verde en una de las potencias europeas parece por primera vez posible. En unas eventuales nuevas elecciones generales, los verdes podrían superar a los socialdemócratas, e imponer en Alemania a uno de los suyos como canciller de la nueva coalición.",,,,0,0
