created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Wed May 29 22:20:18 +0000 2019,fi,vuokko75,,"EU-vaalit Ruotsissa: Ruotsidemokraatit voittamassa, vihreät häviämässä https://t.co/z5E4XqBZba",https://www.kansalainen.fi/eu-vaalit-ruotsissa-ruotsidemokraatit-voittamassa-vihreat-haviamassa/,,,0,0
Wed May 29 15:11:49 +0000 2019,fi,ilkkaluoma,Finland,-- Ilkka Luoma --: Eduskunta- ja EU-vaalit 2019 - analyysia ja pohdin... https://t.co/yjmoHwHHWD,https://ilkkaluoma.blogspot.com/2019/05/eduskunta-ja-eu-vaalit-2019-analyysia.html?spref=tw,,,0,0
Wed May 29 14:07:31 +0000 2019,fi,aristoteleenkp,Suomi ja Finland,Miksi EU-vaalit eivät herätä suuria intohimoja? Pärjääkö samalla retoriikalla kaikkialla EU:n alueella? Pitääkö EU-vaalikampanjassa puhua eri tavalla kuin kansallisten vaalien kampanjoissa? Puhetaitokouluttaja Severi Hämäri kertoo. https://t.co/bDBeKCCprm,https://twitter.com/i/web/status/1133736631503077376,,,0,1
Wed May 29 13:55:14 +0000 2019,fi,taranantya,GER🇩🇪 FIN🇫🇮,"[Aristoteleen kantapää] Miksi EU-vaalit eivät saa ihmisiä liikkeelle?
https://t.co/7ancSnm8Rg via @PodcastAddict",https://ylekdl-a.akamaihd.net/p/1955031/sp/0/download/entry_id/1_8r4vqak2/flavor/0_nqw6bgae/referrer/bW9iaWxlLnlsZS5maQ==/file_name/Aristoteleen-kantapaa-Miksi-EU-vaalit-eivat-saa-ihmisia-liikkeelle-2019-05-29-v25984192/relocate/Aristoteleen-kantapaa-Miksi-EU-vaalit-eivat-saa-ihmisia-liikkeelle-2019-05-29-v25984192.mp3,,PodcastAddict,0,0
Wed May 29 12:37:22 +0000 2019,fi,KTerho,"Helsinki,  Finland , Europe",EU-vaalit 2019 - onko EU nyt vahvempi vai rikkonaisempi? https://t.co/nMOuMMwZjU käyttäjältä @wordpressdotcom,https://euronautti.wordpress.com/2019/05/29/eu-vaalit-2019-onko-eu-nyt-vahvempi-vai-rikkonaisempi/,,wordpressdotcom,0,1
Wed May 29 12:14:16 +0000 2019,fi,EUkomissio,Helsinki,EU-vaalit 2019 – onko EU nyt vahvempi vai rikkonaisempi? pohtii apulaispäällikkömme @BlassarMaria blogissamme: https://t.co/tWyLkapK4q #EUvaalit2019,https://twitter.com/i/web/status/1133708129483526144,,BlassarMaria,6,15
Wed May 29 12:10:42 +0000 2019,fi,todistaja,"Helsinki, Suomi","EU-vaalit Ruotsissa: Ruotsidemokraatit voittamassa, vihreät häviämässä https://t.co/kInmVKLVnn",https://www.kansalainen.fi/eu-vaalit-ruotsissa-ruotsidemokraatit-voittamassa-vihreat-haviamassa/,,,1,0
Wed May 29 07:45:44 +0000 2019,fi,JAirasvaara,,"@MattiRnk Minä olin MM-huumeessa, kun edellisen kerran sanailin. EU-vaalit meni ohi, niin kuin tyhjää vuan, mutta kyllä minä edelleen vaaleista tytöistä tykkään !☺️😍",https://twitter.com/i/web/status/1133640554565251072,,MattiRnk,0,1
Tue May 28 17:29:27 +0000 2019,fi,parempaa,EU,"@roope_uusitalo Olisi avoimempaa käydä EU-vaalit EU- ryhmien tunnuksilla ja MEP-ehdokkain. Onhan outoa, että telkkarissa väittelevät suomalaispuolueiden pj:t, joiden puolueet eivätkä hlöt itsekään ole vaaleissa edes ehdolla, ja tosiaan vastaan, vaikka lopulta saattavat edustaa sama ryhmää.",https://twitter.com/i/web/status/1133425063116595200,,roope_uusitalo,0,1
Tue May 28 15:47:59 +0000 2019,fi,PVainonen,,"@markkumyllykan2 @JacquesBoissons Totta Markku, että Hakkarainen ei täytä hyvän mepin vaatimuksia. Kannattaa muistaa, että demareilla oli myös varsin kyseenalainen meppi eli kirkonmies Isä Mitro, joka keskittyi kaikkeen muuhun kuin itse asiaan. Suurin ongelma on se, että monelle EU-vaalit on ihan EVVK.",https://twitter.com/i/web/status/1133399526914580480,,"markkumyllykan2, JacquesBoissons",0,0
Tue May 28 14:43:32 +0000 2019,fi,JariVirtanen12,,"@j_seppola @JaniMakelaFi Kosonen aloitti 2008, kun Aho lopetti kesken vuoden. EU-vaalit pidettiin keväällä 2014. Silloin olisi yliasiamies voitu vaihtaa, jos se olisi koettu tarpeelliseksi ”ohjata” EU:sta palaavalle henkilölle. Hallintoneuvosto uuden sitten päättää eli kansanedustajat.",https://twitter.com/i/web/status/1133383309369794560,,"j_seppola, JaniMakelaFi",0,0
Tue May 28 10:57:21 +0000 2019,fi,hoxei,,@kaisapenny näkyy olevan niin että ei ole eu-vaalit ihan samat kuin ne tavalliset -sinne meni tunnetuimmat,,,kaisapenny,0,0
