created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Tue May 28 11:19:16 +0000 2019,fr,1fierCanadien,Région du Grand Montréal,"20 Minutes: Elections européennes: Après la défaite, Clémentine Autain met en cause «la ligne politique de LFI».
https://t.co/5aZF54bxuj

à partir de @GoogleNews",https://twitter.com/i/web/status/1133331903904387072,,,0,0
Tue May 28 11:19:08 +0000 2019,fr,lacgtcommunique,"Montreuil, France",Elections européennes : https://t.co/4IzKxaqznz,http://www.cgt.fr/comm-de-presse/elections-europeennes,,,13,9
Tue May 28 11:19:06 +0000 2019,fr,SZemmouchi,Marseille,"Team Marseille LREM 

Communiqué de presse suite aux résultats des élections européennes 

Dimanche 26, les Marseillais, comme les Français, ont montré l’importance qu’ils accordent à l’Europe en se mobilisant... https://t.co/1bPxDmo5eu",https://twitter.com/i/web/status/1133331859612553216,,,0,0
Tue May 28 11:17:49 +0000 2019,fr,SophieWiessler,Metz,Elections européennes 2019 : EELV est devenu le premier parti chez les 18-34 ans en France https://t.co/cmPAgXBZRr via @lemondefr,https://www.lemonde.fr/international/article/2019/05/28/elections-europeennes-eelv-est-devenu-le-premier-parti-chez-les-18-34-ans_5468472_3210.html,,lemondefr,0,5
Tue May 28 11:17:16 +0000 2019,fr,Be_infos,,#LeScan: nous avons réussi à voter deux fois aux élections européennes https://t.co/vbokeybGCh,http://bit.ly/2W9ZwgH,LeScan,,0,0
Tue May 28 11:17:13 +0000 2019,fr,PASCALOUFOU,,"Les % sont trompeurs: en chiffres, les 2 ""principaux"" partis représentent chacun un peu plus de 10% des inscrits! Les jeunes s'abstiennent à 60% quand leurs aînés votent à 65%...Où sont passés les gilets jaunes?
Voter ne sert à rien? ...quelle connerie!
https://t.co/uf9sF0mkca",https://twitter.com/i/web/status/1133331385106751489,,,0,0
Tue May 28 11:17:13 +0000 2019,fr,belindageoly,,Top 7 des bulletins de vote les plus drôles des élections européennes https://t.co/ACVwrqkF4O,http://va.newsrepublic.net/s/rRrThS,,,1,1
Tue May 28 11:17:08 +0000 2019,fr,UniverSmartphon,"Paris, Ile-de-France","Elections européennes: Après la victoire du RN, quelle est la stratégie d’Emmanuel Macron ? – 20 Minutes https://t.co/O7skfys9FX https://t.co/ouAmyAlc2t",https://twitter.com/i/web/status/1133331364785246208,,,0,0
Tue May 28 11:17:04 +0000 2019,fr,mutuellesinfo,France,https://t.co/zgptW9Bob3 Européennes. Pourquoi LREM a autant d’eurodéputés que le RN alors qu’elle est deuxième du scrutin ? - Ouest-France,https://www.ouest-france.fr/elections/europeennes/europeennes-pourquoi-lrem-autant-d-eurodeputes-que-le-rn-alors-qu-elle-est-deuxieme-du-scrutin-6369795,,,0,0
Tue May 28 11:16:57 +0000 2019,fr,BlancsFiers,France ,"Exclusif direct du QG de LFI 

Réunion de crise:

Pourquoi  ont n'a pas réussi à mettre le feu  aux Élections Européennes 😂😂😂😂😂 https://t.co/6SQqOYaI40",https://twitter.com/i/web/status/1133331320439037953,,,0,0
