created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Mon May 27 15:32:55 +0000 2019,fr,clemcyiris,,@PapaOuurss Le parti de MLP en tête des élections européennes,,,PapaOuurss,0,0
Mon May 27 15:32:55 +0000 2019,fr,CRouhault,Lac-St-Jean,Le vainqueur des élections européennes n’est pas celle qu’on croit via @Lopinion_fr https://t.co/N4EDynYFw8,https://www.lopinion.fr/edition/politique/vainqueur-elections-europeennes-n-est-pas-celle-qu-on-croit-188123?utm_source=twitter&utm_medium=social&utm_campaign=barre-partage-site,,lopinion_fr,0,1
Mon May 27 15:32:54 +0000 2019,fr,KitzWengen,ICI,"En plus des européennes, les espagnols votaient hier, pour les élections régionales et municipales. A l'instar de leurs camarades du LFI, Podemos s'effondre électoralement, avec la possibilité pour la droite, (PP-Ciudadanos-VOX), de re-conquérir la ville de Madrid, par exemple.",https://twitter.com/i/web/status/1133033342348275715,,,0,1
Mon May 27 15:32:42 +0000 2019,fr,hautpanel,République Démocratique Du Con,HautPanel - Elections européennes : Le vote pro-européen fragmenté mais limite les gains nationalistes https://t.co/nZxrh4izSR via @tripplesworld https://t.co/mLo0J733bj,https://twitter.com/i/web/status/1133033292364750850,,,0,0
Mon May 27 15:32:38 +0000 2019,fr,petimiti,Strasbourg,#BigUp a #BHL qui a réussi à pondre le TWITT le plus débile d'un lendemain d'élections #VallsDegate #Barcelone #Européennes Cc @Nitro_Politic @bembelly @Sarkofrance @Rosa_elle74 @Lyonnais699 https://t.co/CH72IfVDlW,https://twitter.com/i/web/status/1133033276652883969,"BigUp, BHL, VallsDegate, Barcelone",,8,19
Mon May 27 15:32:33 +0000 2019,fr,007mbota,,"c'est partout dans le monde quoi!! 

https://t.co/Fak64nJNWH",https://m.demotivateur.fr/article/une-femme-de-95-ans-vient-voter-aux-elections-europeennes-on-lui-annonce-qu-elle-est-decedee-depuis-2017-16291,,,0,1
Mon May 27 15:32:23 +0000 2019,fr,artdeco13,Marseille,Architecture : qu'ont prévu les deux vainqueurs des élections européennes ? https://t.co/VBqOYVdyJB,http://bit.ly/2W77ZBs,,,0,0
Mon May 27 15:32:10 +0000 2019,fr,florduquesne,,Les résultats des européennes poussent les Travaillistes vers un second référendum https://t.co/9DJ7b8iT6E,https://www.huffingtonpost.fr/entry/elections-europeennes-et-brexit-les-travaillistes-se-tournent-vers-le-second-referendum_fr_5cebed48e4b0512156f580f7?ncid=other_twitter_cooo9wqtham&utm_campaign=share_twitter,,,0,0
Mon May 27 15:31:51 +0000 2019,fr,SBeaulieux,,"Élections européennes : ""Il faut avouer que Marine Le Pen est gagnante"", reconnaît Gérald Darmanin , les détails : https://t.co/5Gvimrvd3Q",https://noox.app/fl/5413627,,,0,0
Mon May 27 15:31:48 +0000 2019,fr,mediawebinfos,"Rennaz, Suisse",Elections Européennes : les résultats définitifs à Saint-Brevin https://t.co/n4R9e5b3If,http://www.saintbrevin-infos.fr/elections-europeennes-les-resultats-definitifs-a-saint-brevin-23-48-442.html,,,0,0
Mon May 27 15:31:42 +0000 2019,fr,GtnCbrt,"Lens, France",Européennes : qui sont les prétendants au poste de président de la Commission à Bruxelles ? https://t.co/SR6Dl1ysde via @franceinfo,https://www.francetvinfo.fr/elections/europeennes-qui-sont-les-pretendants-au-poste-de-president-de-la-commission-a-bruxelles_3462631.html#xtor=CS2-765-[twitter]-,,franceinfo,0,0
Mon May 27 15:31:37 +0000 2019,fr,gcalignon,"Paris, Texas","Et si les vainqueurs des élections européennes n'étaient pas ceux que la presse pense ? Malgré son score, le RN n'a toujours pas de perspective de prise de pouvoir à moyen terme.  https://t.co/xUkpVPCC8s",https://twitter.com/i/web/status/1133033020125065217,,,0,4
Mon May 27 15:31:08 +0000 2019,fr,Ismael08000,Grand-Est - Ardennes  🌳🍃🍇🍷,#Européennes2019: Benoît Hamon se «met en retrait de la vie politique» https://t.co/Wron3HHhtW,http://www.lefigaro.fr/elections/europeennes/europeennes-2019-benoit-hamon-echoue-a-se-faire-elire-et-entretient-le-flou-sur-son-avenir-20190527,Européennes2019,,0,0
Mon May 27 15:31:05 +0000 2019,fr,lizapistorelli,"Avignon, France",«Vous ne m’insultez pas !» : Alexis Corbière et Sibeth Ndiaye s’écharpent en direct https://t.co/LvS6HFfLB6,http://www.leparisien.fr/elections/europeennes/vous-ne-m-insultez-pas-alexis-corbiere-et-sibeth-ndiaye-s-echarpent-en-direct-26-05-2019-8080308.php,,,0,0
Mon May 27 15:31:02 +0000 2019,fr,lonvithierry,,Européennes : quels sont les scores des listes qui ont fait moins de 5% en France ? https://t.co/194EeZpeIb via @franceinfo,https://www.francetvinfo.fr/elections/europeennes/resultats-europeennes-2019-quels-sont-les-scores-des-listes-qui-ont-fait-moins-de-5-en-france_3462385.html#xtor=CS2-765-[twitter]-,,franceinfo,0,0
Mon May 27 15:31:00 +0000 2019,fr,afpfr,Paris,Carte des scores du principal parti de droite nationaliste ou d'extrême droite par pays aux élections européennes #AFP https://t.co/VRUwsTYCJu,https://twitter.com/i/web/status/1133032864788959234,,,38,30
Mon May 27 15:30:51 +0000 2019,fr,LACOTEDAZURLIV,Nice,@UnprGendarmerie @Gendarmerie Et concernant cet article..? https://t.co/CFPNYRA8sG,https://lessor.org/societe/elections-europeennes-2019-le-vote-des-gendarmes-de-satory/,,"UnprGendarmerie, Gendarmerie",0,0
Mon May 27 15:30:48 +0000 2019,fr,StphaneCariou,"Saint-Brieuc, France",#Européennes à Hanvec.  Les écolos raflent la mise https://t.co/tgZpYjNmdx via @LeTelegramme,http://po.st/32tmPZ,Européennes,LeTelegramme,1,0
Mon May 27 15:30:34 +0000 2019,fr,FLefebvre_RF,#ExtCirco01,"Analyse fine et pertinente !
👉Le vainqueur des élections européennes n’est pas celle qu’on croit – Politique | L'⁦@lopinion_fr⁩  https://t.co/4vayJPni1E",https://twitter.com/i/web/status/1133032755288313857,,,34,63
Mon May 27 15:30:31 +0000 2019,fr,hibouduweb,France,Infographie : les résultats dans les autres pays européens ➡ https://t.co/QEh9O4iVs9 #Européennes2019… https://t.co/OQxdWli0dV via LePoint https://t.co/f2626acZZ1,"http://bit.ly/2Wvb9hq, https://twitter.com/i/web/status/1133032744320155648",Européennes2019,,0,0
Mon May 27 15:30:08 +0000 2019,fr,jmpernin,paris,"Tout est encore possible pour le parti animaliste 
Sur Google, des électeurs se renseignent sur le second tour des élections européennes https://t.co/LUAOH2vKPp via @LExpress",https://twitter.com/i/web/status/1133032647159099393,,,2,9
Mon May 27 15:30:07 +0000 2019,fr,BopeaLouis,la lune,LREM et les écologistes tirent leur épingle du jeu à Toulouse - via @20Minutes https://t.co/UrNcDIlSQF,https://www.20minutes.fr/elections/2527187-20190527-elections-europeennes-lrem-ecologistes-tirent-epingle-jeu-toulouse,,20Minutes,0,1
Mon May 27 15:30:02 +0000 2019,fr,lienamonnie,,Elections européennes 2019 : les socialistes espagnols confirment leur succès https://t.co/otHHfv1LMN,https://www.lemonde.fr/international/article/2019/05/27/aux-europeennes-les-socialistes-espagnols-confirment-leur-succes_5467966_3210.html?utm_medium=Social&utm_source=Twitter#Echobox=1558958322,,,0,0
Mon May 27 15:29:37 +0000 2019,fr,guillaume_vital,"Paris, France","Qui se ressemble...
Européennes 2019: le Rassemblement national premier parti chez les détenus français https://t.co/WarEUk04Xt via @Le_Figaro",https://twitter.com/i/web/status/1133032516644933632,,,0,0
Mon May 27 15:29:35 +0000 2019,fr,jeannick_odier,Royaume du Maroc,"Élections européennes : en Allemagne, la percée sans précédent des Verts - FRANCE 24 https://t.co/CsNxQoJ0pE via @GoogleNews",https://www.france24.com/fr/20190526-allemagne-europennes-percee-verts-cdu-csu-merkel,,googlenews,0,0
Mon May 27 15:29:33 +0000 2019,fr,BopeaLouis,la lune,Sibeth Ndiaye confirme qu'il n'y aura pas de dissolution de l'Assemblée - via @20Minutes https://t.co/D6GV8FEEg0,https://www.20minutes.fr/elections/2527219-20190527-elections-europeennes-demission-edouard-philippe-ni-dissolution-assemblee-nationale-confirme-sibeth-ndiaye,,20Minutes,1,1
Mon May 27 15:29:29 +0000 2019,fr,jeannick_odier,Royaume du Maroc,"En Grèce, Alexis Tsipras appelle à des législatives anticipées après son échec aux européennes - FRANCE 24 https://t.co/cOIIoXV6Hl via @GoogleNews",https://twitter.com/i/web/status/1133032484541743104,,,0,0
Mon May 27 15:29:27 +0000 2019,fr,AlterEco_,Paris,"Avec un taux de participation très proche de 50 %, le calcul est assez simple, il suffit de diviser par deux le score des exprimés pour obtenir le « vrai » résultat de ces élections : le RN a été choisi par 11,16 % de l’électorat https://t.co/TieIssdN3D https://t.co/TLx0fa2ZG3",https://twitter.com/i/web/status/1133032473686888449,,,38,36
Mon May 27 15:29:20 +0000 2019,fr,SeverinCarolin1,France,"La police avait sans doute les informations nécessaires pour arrêter cet algérien, poseur de colis piégé, depuis hier. Pourquoi ont-ils attendu la fin des élections européennes pour procéder à son arrestation aujourd'hui seulement ? https://t.co/Mr7T4ZgZdM",https://twitter.com/i/web/status/1133032445534711809,,,0,0
Mon May 27 15:29:16 +0000 2019,fr,jeannick_odier,Royaume du Maroc,Élections européennes : où sont les Gilets jaunes ? - FRANCE 24 https://t.co/uyzoyZPC17 via @GoogleNews,https://www.france24.com/fr/20190527-elections-europeennes-gilets-jaunes-vote-abstention,,googlenews,0,0
Mon May 27 15:29:13 +0000 2019,fr,emil_cioran,...,"Regardez les élections européennes 

https://t.co/TGARRQQxPo",https://legrandcontinent.eu/fr/2019/05/27/regardez-les-elections-europeennes/,,,0,1
Mon May 27 15:29:12 +0000 2019,fr,sfrpresse,"Paris, France","Êtes-vous satisfaits des résultats des élections européennes ?
🗳️
Qu'attendez-vous de cette nouvelle composition ? 
🇪🇺
#Europeennes2019",,Europeennes2019,,1,3
Mon May 27 15:29:07 +0000 2019,fr,jeannick_odier,Royaume du Maroc,"En Hongrie, le parti anti-immigration de Viktor Orbán remporte les européennes - FRANCE 24 https://t.co/uIkxEvY6oG via @GoogleNews",https://www.france24.com/fr/20190527-hongrie-fidesz-viktor-orban-victoire-elections-europeennes-immigration,,googlenews,0,0
Mon May 27 15:29:06 +0000 2019,fr,netguide,"Paris, France",Elections européennes : le Parti animaliste recueille plus de 2% des voix https://t.co/jMzwEUZOwm,https://www.sciencesetavenir.fr/animaux/elections-europeennes-le-parti-animaliste-fait-2-des-voix_133985,,,0,0
Mon May 27 15:29:03 +0000 2019,fr,iFroggies,,Découvrez les résultats des élections européennes des Français à l’étranger #expatriation #Europeennes2019 https://t.co/y022ACRzB1,https://bit.ly/2W720fX,"expatriation, Europeennes2019",,0,0
Mon May 27 15:28:51 +0000 2019,fr,jeannick_odier,Royaume du Maroc,"En tête des européennes, l'extrême droite de Salvini renforce son emprise en Italie - FRANCE 24 https://t.co/OugwVsMIcW via @GoogleNews",https://www.france24.com/fr/20190527-italie-elections-europeennes-extreme-droite-ligue-salvini-victoire,,googlenews,0,0
Mon May 27 15:28:47 +0000 2019,fr,patricia691503,FRANCE,Européennes. Les 6 scénarios d’alliances possibles au Parlement européen #Européennes #Politique https://t.co/BcnjZhrfT5 via @ouestfrance,https://www.ouest-france.fr/elections/europeennes/europeennes-quelles-alliances-possibles-au-parlement-europeen-entre-la-gauche-et-la-droite-6369216,"Européennes, Politique",OuestFrance,0,0
Mon May 27 15:28:46 +0000 2019,fr,yannarmelhuet,rennes,"Européennes. Pour les municipales, « pas de petits arrangements », avertit le 1er questeur LREM #Européennes #Rennes @F_BACHELIER https://t.co/KZYkS9gvkk via @ouestfrance",https://twitter.com/i/web/status/1133032301787525120,Européennes,,13,24
Mon May 27 15:28:43 +0000 2019,fr,hseill,"Gironde, Aquitaine","👍
#wauquiez

IVG, Vincent Lambert... LR demande déjà le droit d’inventaire de sa campagne européenne https://t.co/RvCVJL9Rso via @Le_Figaro",http://www.lefigaro.fr/elections/europeennes/europeennes-2019-ivg-vincent-lambert-lr-fait-deja-le-droit-d-inventaire-de-sa-campagne-20190527,wauquiez,Le_Figaro,0,0
Mon May 27 15:28:28 +0000 2019,fr,nounours0612,,"""Schiappa, on est venu te crever !"" : la secrétaire d'Etat dénonce l'irruption de ""gilets jaunes"" en pleine nuit devant son domicile https://t.co/UYu2h20hxo",https://twitter.com/i/web/status/1133032227988807680,,,0,1
Mon May 27 15:28:28 +0000 2019,fr,EstenagaPierre,"Talence, France",@AchessT Ils attendaient un second tour pour cette élection aussi! 😂 https://t.co/G8AReMd4No,https://www.bfmtv.com/societe/non-il-n-y-aura-pas-de-second-tour-pour-les-elections-europeennes-1699974.html,,AchessT,0,0
Mon May 27 15:28:24 +0000 2019,fr,Karkouch3,"Paris, France","Elections européennes: Pas de démission d'Edouard Philippe, ni de dissolution de l'Assemblée nationale, confirme Sibeth Ndiaye

https://t.co/N3xYQCMuF7",https://twitter.com/i/web/status/1133032212599836672,,,0,1
Mon May 27 15:28:04 +0000 2019,fr,OuestFrance,Rennes,"Après les européennes, la coalition d’Angela Merkel vacille en Allemagne  https://t.co/8LTEQXESCg",http://zpr.io/gCvGa,,,0,2
Mon May 27 15:27:58 +0000 2019,fr,Carca_lindep,Carcassonne,"Elections européennes : la liste conduite par J. Bardella en tête dans 300 communes audoises
https://t.co/rWmM7KUalt","https://www.lindependant.fr/2019/05/27/elections-europeennes-dans-laude-le-rassemblement-national-elargit-encore-son-assise-territoriale,8224168.php",,,2,2
Mon May 27 15:27:52 +0000 2019,fr,hellerchristia1,,"pourquoi ce manque d'objectce  sur le resultat des elections,ce n'estpas vraiment une defaite pour en marche , mais plutot un statut quo ou une victoire si on compare ce resultat aux précédentes élections européennes",https://twitter.com/i/web/status/1133032075559362561,,,0,0
Mon May 27 15:27:51 +0000 2019,fr,droledemachine,"Capbreton, Aquitaine",Élections européennes : L’Europe Occidentale choisit l’euthanasie https://t.co/y7jAQoxeaM via @,https://www.dreuz.info/2019/05/27/elections-europeennes-leurope-occidentale-choisit-leuthanasie/,,,0,0
Mon May 27 15:27:46 +0000 2019,fr,GaelLeBohec,"Bain-de-Bretagne, France","Au lendemain des européennes, je me réjouis du regain démocratique et en particulier du nombre de jeunes votants. Une base solide va ancrer la dynamique locale sur le terrain
de la #circo3504 avec la 1ère place de @Renaissance_UE @MariePierreV 
https://t.co/vTkH7o5pDr",https://twitter.com/i/web/status/1133032052645928960,,,6,19
Mon May 27 15:27:43 +0000 2019,fr,TelePaese,Santa Reparata,Élections Européennes : Taux de participation encourageant en Corse ➡️ https://t.co/5DaaNtdOwD https://t.co/e80iDpQiku,https://bit.ly/2VYbo0w,,,0,0
Mon May 27 15:27:34 +0000 2019,fr,StephOctroi,,"#Européennes
#ElectionsEuropeenne2019
Comme quoi une analyse peut être pourrie par une idéologie...  Les résultats peuvent aussi dire que Montpellier est gangrénée par le gauchisme, et l'effet ""cosmopolite"".....effet du multiculturalisme...

https://t.co/oMFLP4DA4k",https://twitter.com/i/web/status/1133032003224428544,"Européennes, ElectionsEuropeenne2019",,0,0
Mon May 27 15:27:24 +0000 2019,fr,flophib08,"Gisors, France",Résultats des élections européennes 2019 https://t.co/a1UyJMwsrj via @franceinfo,https://www.francetvinfo.fr/elections/resultats/normandie/,,franceinfo,0,0
Mon May 27 15:27:16 +0000 2019,fr,Lisbeth24593692,,Je crois que je vous aime. Merci de me faire rire dans le journal de 17h17 dans #ParJupiter malgré les résultats catastrophiques des élections européennes. @alexvizorek @GMeurice et surtout @Charlineaparis,https://twitter.com/i/web/status/1133031926661603328,ParJupiter,,1,9
Mon May 27 15:27:14 +0000 2019,fr,JC__Junkie,,"Resultat communes par communes
Élections européennes - Le Figaro https://t.co/yRHFHWNnE1 via @Le_Figaro",https://www.lefigaro.fr/fig-data/resultats-europeennes-2019/,,Le_Figaro,0,0
Mon May 27 15:27:14 +0000 2019,fr,JC__Junkie,,"Resultat communes par communes
Élections européennes - Le Figaro https://t.co/yRHFHWNnE1 via @Le_Figaro",https://www.lefigaro.fr/fig-data/resultats-europeennes-2019/,,Le_Figaro,0,0
Mon May 27 15:27:06 +0000 2019,fr,Europhobe,France,"#Autriche: Le Parti de droite #ÖVP remporte triomphalement les élections européennes mais #SebastianKurz victime d'une motion de censure votée notamment par les sociaux-démocrates désavoués dans les urnes ! Manoeuvre européiste ! Déni de démocratie ! 
https://t.co/RE1tuSSlot",https://twitter.com/i/web/status/1133031885549047809,"Autriche, ÖVP, SebastianKurz",,1,0
Mon May 27 15:27:05 +0000 2019,fr,GenerationsSD93,"Saint-Denis, France","Résultat des élections européennes du 26 mai 2019. La réaction de Génération.s Saint-Denis #Europeennes2019 #ElectionsEuropeennes2019 
https://t.co/v5wyy2vBkF https://t.co/5WM7FLjHau",https://twitter.com/i/web/status/1133031879488221186,Europeennes2019,,7,12
Mon May 27 15:27:05 +0000 2019,fr,Limportant_fr,"Paris, France","Participation aux élections européennes: la Belgique grande gagnante avec 88,47% https://t.co/5ASu3dhPGl @lesoir https://t.co/Z0o5IUxo5j",https://limportant.fr/infos-monde/3/479110,,lesoir,3,6
Mon May 27 15:26:54 +0000 2019,fr,EstenagaPierre,"Talence, France","@itismaeva @grainatome @PENELOPPE192 Attends Maëva, c’est grave là: https://t.co/G8AReMd4No",https://www.bfmtv.com/societe/non-il-n-y-aura-pas-de-second-tour-pour-les-elections-europeennes-1699974.html,,"itismaeva, grainatome, PENELOPPE192",0,0
Mon May 27 15:26:51 +0000 2019,fr,cote_jch,,Les résultats de ta commune : https://t.co/PN4WxjMukb,https://elections.interieur.gouv.fr/europeennes-2019/,,,0,0
Mon May 27 15:26:49 +0000 2019,fr,Maeva_Kiddo,"Bordeaux, France","Participation aux élections européennes: la Belgique grande gagnante avec 88,47% #m https://t.co/mcDwU26hsJ",https://twitter.com/lesoir/status/1133030141117046785,m,,0,0
Mon May 27 15:26:45 +0000 2019,fr,Ouilladeeu,Perpignan,"P-O/ Elections européennes 2019 : « Oui Au Pays Catalan » revendique sa place dans la 3e force politique du territoire, au sein de EE-LV",,,,0,0
