created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Fri May 31 14:53:26 +0000 2019,und,vekaban,Croatia,Suverenisti: Europski izbori bili su mali bljesak a slijedi politička oluja https://t.co/oRSvxsjigA,https://www.tportal.hr/vijesti/clanak/suverenisti-europski-izbori-bili-su-mali-bljesak-a-slijedi-politicka-oluja-foto-20190531,,,0,0
Fri May 31 09:59:44 +0000 2019,und,KamenjarCom,Široki Brijeg - Mostar,Europski izbori u 6 slika https://t.co/IwCOVOXb7Y https://t.co/ZPLITz49s2,https://kamenjar.com/europski-izbori-u-6-slika/,,,0,0
Thu May 30 16:30:12 +0000 2019,und,dragutinjunkovi,CROATI,"Zagrebačke vijesti
Izbori za Europski parlament koji su održani prošlu nedjelju donijeli su prilično iznenađujuće rezultate u metropoli. SDP je najjača stranka u gradu, a tome je pridonijela kvalitetna lista i promjena... https://t.co/F8H9Chxb06",https://twitter.com/i/web/status/1134134927283429378,,,0,0
Thu May 30 16:09:29 +0000 2019,und,Oslobodjenjeba,Sarajevo,https://t.co/AkF3mpGJQL,https://www.oslobodjenje.ba/dosjei/kolumne/europski-izbori-rizik-stagnacije-461034,,,0,0
Thu May 30 10:57:24 +0000 2019,und,mijicmate,"Space, the final frontier.",NOVA KOLUMNA Europski izbori podijelili su karte tako da je vrlo moguće da u prvom krugu predsjedničkih izbora imamo čak četvero kandidata s podjednakom potporom. https://t.co/zOG0Jc5KSJ,https://twitter.com/i/web/status/1134051173726609408,,,0,1
Wed May 29 11:43:09 +0000 2019,und,ZB1708,Zadar,Najveći gubitnik europskih izbora je - SDP! https://t.co/nV5In2Xqkn,https://vijesti.rtl.hr/novosti/hrvatska/izbori-za-europski-parlament-2019/3497465/najveci-gubitnik-europskih-izbora-je-sdp/,,,0,1
Wed May 29 06:41:49 +0000 2019,und,GoranaMisic,"Budapest, Hungary","Da citiram Bagu -- Fascinantno. Kad kažem opasan, mislim baš ovo: https://t.co/tsDsw9zEg1 #politikahr #izboriEU2019",https://dnevnik.hr/vijesti/izbori-za-europski-parlament-2019/mislav-kolakusic-za-dnevnik-nove-tv-biraci-su-mi-dali-glas-da-bi-bio-premijer-a-ne-europarlamentarac---562491.html,"politikahr, izboriEU2019",,0,0
Wed May 29 06:33:01 +0000 2019,und,HRTsport,,Arsenal i Chelsea u borbi za europski trofej https://t.co/Yz504xMsvu,https://sport.hrt.hr/516582/izbori/arsenal-i-chelsea-u-borbi-za-europski-trofej-2,,,1,1
Tue May 28 18:46:56 +0000 2019,und,branitelji,Knin,"VIDEO: OVO JE ŽALOSNO I BOLNO ZA GLEDATI Gradonačelnik Pule pokušao je pred kamerama objasniti zašto su važni europski izbori, ali baš nikako mu nije išlo! - https://t.co/FPSlD6GNZJ https://t.co/fwNN8VZQm2",https://twitter.com/i/web/status/1133444561282490368,,,2,7
Tue May 28 18:15:00 +0000 2019,und,DNEVNIKhr,Republic of Croatia,"Video prikazuje gradonačelnika Pule, Borisa Miletića kako daje izjavu i pomalo nesuvislo i zbunjeno pokušava odgovoriti na pitanje novinarke zašto su izbori za Europski parlament važni. #dnevnikhr @novahr https://t.co/92w7trqfyH",https://twitter.com/i/web/status/1133436524731592704,,,0,0
Tue May 28 17:53:29 +0000 2019,und,Vinka41813023,,"Gradonačelnik Pule pokušao je pred kamerama objasniti zašto su važni europski izbori, ali baš nikako mu nije išlo https://t.co/dHcmARyJU9",https://100posto.hr/news/gradonacelnik-pule-pokusao-je-pred-kamerama-objasniti-zasto-su-vazni-europski-izbori-ali-nikako-mu-nije-islo-kao-da-mu-je-maca-popala-jezik-i-to-dvaput,,,0,0
Tue May 28 15:49:58 +0000 2019,und,berislavmance,,"VIDEO: OVO JE BOLNO ZA GLEDATI / Gradonačelnik Pule pokušao je pred kamerama objasniti zašto su važni europski izbori, ali baš nikako mu nije išlo https://t.co/sHo0LWrwot",https://twitter.com/i/web/status/1133400025063743488,,,0,0
Tue May 28 15:40:52 +0000 2019,und,bvb_shareholder,,"🎥 🤣 Mislav Kolakušić za Dnevnik Nove TV: ""Birači su mi dali glas da bih bio premijer, a ne europarlamentarac. Moj je cilj 76 ruku"" - https://t.co/qc7wput4lh https://t.co/CP4e1gRxOQ",https://twitter.com/i/web/status/1133397737448321024,,,0,0
Tue May 28 15:24:44 +0000 2019,und,KajtebrigaKr,,"Amsterdamska opravdava svoj naziv

https://t.co/zVErbmRMnS",https://100posto.hr/news/gradonacelnik-pule-pokusao-je-pred-kamerama-objasniti-zasto-su-vazni-europski-izbori-ali-nikako-mu-nije-islo-kao-da-mu-je-maca-popala-jezik-i-to-dvaput?fbclid=IwAR2V7lqxb-zYoMITrD8kSd8G2C2crJ_nGPTqyLRFBKOHY5LgC798wEBIIRo,,,0,2
Tue May 28 14:30:00 +0000 2019,und,vijestihr,"Zagreb, Croatia","Macron i moćni čelnici na jednoj, Weber i HDZ na drugoj strani: 'Slijedi nam intenzivno razdoblje'
https://t.co/t3jQ6RXPXk https://t.co/ny9EAozLCa",https://twitter.com/i/web/status/1133379901245890561,,,0,0
Tue May 28 14:07:37 +0000 2019,und,dw_croatian,"Bonn, Germany",U Srbiji brojni euroskeptici u svojim prvim reakcijama pažnju prije svega skreću na uspjehe desnice i nacionalističkih snaga u pojedinim europskim zemljama.https://t.co/vxvws6hrUO,https://twitter.com/i/web/status/1133374269231124481,,,0,0
