created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Thu May 30 22:27:11 +0000 2019,hu,TorteiKaroly,,#Háttérkép 2019 05 30 - HÍR TV - Európai választások 2019 https://t.co/hfRYfTS7gP,https://www.youtube.com/watch?v=734ElibHsPU,Háttérkép,,0,0
Thu May 30 14:25:34 +0000 2019,hu,TiborSebjan,Magyarország,"https://t.co/oVwBVWfvBH|
Minden korábbinál veszélyesebb ütközőpályán volt a Fidesz a különbíróságok miatt  a Néppártban és az európai bizottságban is elfogadhatatlan volt a kormány igazságszolgáltatásos terve, ami az EP választások után már tarthatatlan lett.","http://444.HU, https://twitter.com/i/web/status/1134103562475016192",,,0,0
Tue May 28 15:33:16 +0000 2019,hu,tenyek_tv2,,"Lezajlottak az idei európai parlamenti választások. 28 tagállamban május 23 és 26 között csaknem négyszázmillió választásra jogosult uniós állampolgár járulhatott az urnákhoz. A népességszámtól függően a legtöbb képviselőt Németország küldheti. #tenyek

https://t.co/qGpyWhpfk9 https://t.co/XT7ZHqqlzF",https://twitter.com/i/web/status/1133395824745025536,,,0,0
Tue May 28 14:33:13 +0000 2019,hu,tenyek_tv2,,"Rekordrészvétel mellett fölényes győzelmet aratott a Fidesz–KDNP az európai parlamenti választáson. Ezzel szemben több ellenzéki párt is hatalmasat bukott a szavazáson. A választások legnagyobb vesztese az LMP lett. #tenyek

https://t.co/YfOVNKx0yE https://t.co/Lkm2lnWGk3",https://twitter.com/i/web/status/1133380710306336769,,,0,0
Tue May 28 09:31:07 +0000 2019,hu,Europarl_HU,Brüsszel,"#EUválasztás2019: a részvételi arány 21 országban növekedett, 7 országban több mint 10 százalékkal. A legnagyobb növekedés a spanyoloknál történt, több mint 20 százalékkal. Összefoglaló cikkünk → https://t.co/9MWcHucgQA https://t.co/eq62CsovVT",https://twitter.com/i/web/status/1133304686214340608,EUválasztás2019,,2,3
Tue May 28 07:26:12 +0000 2019,hu,jenike5,"Mosonmagyaróvár, Magyarország",Political Capital: Nem teljesültek a Fidesz elvárásai az EP-választáson « Mérce https://t.co/jA26sCO7PC,https://merce.hu/pp/2019/05/27/igy-rendezodik-at-az-europai-politika-az-ep-valasztasok-masnapjarol-percrol-percre/political-capital-nem-teljesultek-a-fidesz-elvarasai-az-ep-valasztason/,,,0,0
Mon May 27 20:43:12 +0000 2019,hu,TorteiKaroly,,#Orbán #Viktor:  Rekordrészvétel mellett rekord győzelem - HÍR TV - A 2019-es európai  parlamenti választások 2019 05 26  https://t.co/PXTkWVUcE3,https://twitter.com/i/web/status/1133111435167453184,"Orbán, Viktor",,0,0
Mon May 27 18:06:37 +0000 2019,hu,Hireksk,Szlovákia,"Rendkívüli találkozót tartanak kedden az Európai Unió tagállamainak vezetői, ennek egyetlen napirendi pontjaként informális egyeztetést folytatnak a múlt héten lezajlott európai parlamenti (EP-) választások eredményéről, illetve a küszöbönálló... https://t.co/OWWIQ40P8H",https://twitter.com/i/web/status/1133072025818488832,,,0,0
Mon May 27 13:30:02 +0000 2019,hu,Erika0417K,,"""Brüsszel (CNN) Az Európai Bizottság elnöke, Jean-Claude Juncker az európai választások előestéjén ""hülye nacionalistákra"" bukkant, amelyben az eurokeptikus politikusok várhatóan nyereséget kapnak az Európai... https://t.co/hJ4CS53FEF",https://twitter.com/i/web/status/1133002424518610944,,,0,0
Mon May 27 13:02:28 +0000 2019,hu,EC_Budapest,"Budapest, Hungary","Az európai választások kézzelfogható bizonyítékok adtak arra, hogy az európai demokrácia él és virul.
Az elmúlt 20 év legmagasabb részvételi aránya bizonyítja az európaiak aktív részvételét az Unió jövőjének alakításában.
#EP2019 https://t.co/l9ElrtMvDN https://t.co/lCmj0d94x4",https://twitter.com/i/web/status/1132995485055246336,,,0,0
Mon May 27 12:46:29 +0000 2019,hu,geritwo,"Budapest, Hungary",A budapesti kerületek kétharmadát is viheti az ellenzék ősszel a vasárnapi eredmények alapján « Mérce https://t.co/8GWSzdkTmJ,https://merce.hu/pp/2019/05/27/igy-rendezodik-at-az-europai-politika-az-ep-valasztasok-masnapjarol-percrol-percre/a-budapesti-keruletek-ketharmadat-is-viheti-az-ellenzek-osszel-a-vasarnapi-eredmenyek-alapjan/,,,0,1
Mon May 27 06:15:13 +0000 2019,hu,jenike5,"Mosonmagyaróvár, Magyarország",Kényelmes többsége lehet a mérsékelt erőknek az új EP-ben « Mérce https://t.co/lLoXYCgoa0,https://merce.hu/pp/2019/05/27/igy-rendezodik-at-az-europai-politika-az-ep-valasztasok-masnapjarol-percrol-percre/kenyelmes-tobbsege-lehet-a-mersekelt-eroknek-az-uj-ep-ben/,,,0,0
Mon May 27 05:43:33 +0000 2019,hu,Hireksk,Szlovákia,"A várakozásoknak megfelelően az Európai Néppárté (EPP) lesz a legnagyobb frakció az Európai Parlamentben a választások közel végleges eredményein alapuló, vasárnap éjszaka közzétett utolsó mandátumbecslés szerint. https://t.co/DVH62x97Gd",https://twitter.com/i/web/status/1132885028311056387,,,0,0
Mon May 27 00:00:28 +0000 2019,hu,ClubHir,,Hivatalos Európai Parlamenti Választások Eredménye https://t.co/IWF39J9flp via @YouTube,https://youtu.be/tQFoW-SnS3I,,YouTube,0,0
