created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Tue May 28 17:53:42 +0000 2019,lv,ltvpanorama,"Zaķusala, Rīga, Latvija","Ārpus Eiropas Parlamenta palikušās partijas, pārdzīvojušas pirmo zaudējuma rūgtumu, sāk izvērtēt savas kļūdas un gatavojas iekšēji pārgrupēties, lai veiksmīgāk sevi pierādītu pēc diviem gadiem gaidāmajās pašvaldību vēlēšanās. https://t.co/qZ6R8QY7iR https://t.co/bPEUdDjeyg",https://twitter.com/i/web/status/1133431164591583233,,,3,4
Tue May 28 17:17:10 +0000 2019,lv,LatviaSputnik,,"Kaut arī Valdis Dombrovskis aizritējušajās Eiropas Parlamenta vēlēšanās ieguvis visvairāk plusu un viņam ir plaša darba pieredze Briselē, koalīcijas partneri vēl pameklēšot citus kandidātus.
https://t.co/RrpC0H4UFF",https://twitter.com/i/web/status/1133421972015255552,,,0,0
Tue May 28 13:39:58 +0000 2019,lv,ltvzinas,,"Uzņemoties politisko atbildību par partijas @progresivie rezultātiem Eiropas Parlamenta vēlēšanās, partijas priekšsēdētāja amatu nolēmis atstāt @roberts_putnis, vēstīts politiķa ievietotajā paziņojumā ""Facebook"". https://t.co/5NZjNsDvL4",https://twitter.com/i/web/status/1133367312306851841,,progresivie,0,0
Tue May 28 11:46:08 +0000 2019,lv,AtisLejins,,"RSU Eiropas studiju fakultātes eksperte lēš, ka JV šajās vēlēšanās spējusi iegūt visvairāk iepriekš neizlēmušo vēlētāju balsu. Turklāt viņas vispārīgais vērtējums ir, ka ""Jaunā Vienotība šajās vēlēšanās kā fēnikss piecēlās no pelniem.""
https://t.co/1kbYV669bt",https://twitter.com/i/web/status/1133338665038602241,,,1,9
Tue May 28 10:29:44 +0000 2019,lv,LatviaSputnik,,"Vēstniecībā Londonā ieradās nobalsot simts reizes mazāk Latvijas pilsoņu, nekā Saeimas vēlēšanās; iemesli bijuši dažādi – sākot ar sarežģītu reģistrāciju un beidzot ar vēlmi paust pozīc...
https://t.co/v95Jg98u8F",https://twitter.com/i/web/status/1133319438688759808,,,0,0
Tue May 28 07:28:11 +0000 2019,lv,kuldigalv,"Kuldīgas novads, Latvija","Kuldīgas novada iedzīvotāji Eiropas Parlamenta vēlēšanās aktīvi balsojuši par četrām partijām
✅Vairāk: https://t.co/eD0ZJIZP4v https://t.co/x2DKcl4wBS",https://twitter.com/i/web/status/1133273749401362432,,,0,0
Tue May 28 06:21:15 +0000 2019,lv,ArmandsOnzuls,Latvia,"Versija par Čika laiku izklausītos ticamāk: ""Iedzīvotāji ir aizvainoti par @VARAM_Latvija ministra Jura Pūces paziņojumiem saistībā ar administratīvi teritoriālo reformu, tāpēc šodien nav gatavi piedalīties Eiropas Parlamenta (EP) vēlēšanās. [..]""",https://twitter.com/i/web/status/1133256902052392961,,VARAM_Latvija,0,1
Tue May 28 06:15:20 +0000 2019,lv,GuntarsVaivars,Riga,Eiropas vēlēšanas īsumā- zaudē konservatīvie un mērenie sociālisti. Eiropas parlaments ievērojami polarizēsies. Būs karstākas debates? Par ko?,https://twitter.com/i/web/status/1133255414542413824,,,0,0
Tue May 28 05:02:21 +0000 2019,lv,strazds,"Bremen, Germany","Brexit partija iegūst 29 vietas Eiropas parlamentā. Ja Latvijā visi, kas nepiedalījās vēlēšanas, balsotu par LatExit partiju, tā iegūtu piecas vietas. https://t.co/R0rGhQ5TXq",https://twitter.com/i/web/status/1133237049958576129,,,0,0
Mon May 27 17:16:00 +0000 2019,lv,LV_portals,"Riga, Latvia","Eiropas Parlamenta vēlēšanās kopumā piedalījās 33,6% balstiesīgo, informē @CVK_zinas. Kas jaunajā sasaukumā pārstāvēs Latviju? https://t.co/PAW5vki5gJ #EPvēlēšanas2019",https://twitter.com/i/web/status/1133059288300081152,,CVK_zinas,1,3
Mon May 27 17:05:57 +0000 2019,lv,ltvzinas,,"Eiropas Parlamenta vēlēšanās aktīvākie kandidātu svītrotāji bijuši @Jauna_Vienotiba vēlētāji; @VL_TBLNNK sarakstā visbiežāk svītrots Ansis Pūpols, kurš uzskata, ka svītrojumus panākuši cilvēki, kurus viņš nokaitinājis kā izmeklējošais žurnālists. https://t.co/90UXXIYnao https://t.co/g1AAZGlTZq",https://twitter.com/i/web/status/1133056761110384642,,"Jauna_Vienotiba, VL_TBLNNK",2,5
