created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Fri May 31 15:59:00 +0000 2019,nl,Ysselar,Eigen volk eerst,"#AlternativefürDeutschland #AfD grootste partij bij #Europese verkiezingen in #Saksen en #Brandenburg.
#Oostduitsers pakken de regie in eigen land weer terug ! https://t.co/j6DxKSYbPG",https://twitter.com/i/web/status/1134489464775106560,"AlternativefürDeutschland, AfD, Europese, Saksen, Brandenburg",,0,0
Fri May 31 15:29:32 +0000 2019,nl,PingaPolitiek,,"De nieuwste aflevering van Jensen is online! In deze aflevering de klimaatwet en de overwinning van Vlaams Belang in België bij de Europese Verkiezingen. 
#Jensen #Geert #Jensen #Wilders #VlaamsBelang #FvD #Baudet #VVD #klimaat #klimaatwet #klimaatakkoord
https://t.co/eUfVAjmhwm",https://twitter.com/i/web/status/1134482049279115264,,,2,0
Fri May 31 15:19:37 +0000 2019,nl,Bart95187733,,PTelegraaf. Daarin zegt Otten dat vorige week bij de Europese verkiezingen een half miljoen mensen minder op Forum hebben gestemd dan in maart bij de Provinciale Statenverkiezingen. En dat de schuld is van Baudet. Otten blijft maar bezig https://t.co/i3V9YH5jI0  @Frontbencher.nl,https://twitter.com/i/web/status/1134479552934232067,,,0,0
Fri May 31 15:16:40 +0000 2019,nl,JanVLEVA,,"Niet meer onbelangrijk of best belangrijk, maar van direct belang, die Europese verkiezingen! https://t.co/zmkONTW7Zp",https://twitter.com/carstenbrzeski/status/1134323456575545344,,,0,1
Fri May 31 15:12:25 +0000 2019,nl,dr_pewpew,,"@PatrickBred1 @NOS Zou niet weten waar links bang voor moet zijn. Wilders heeft geen zetels in het Europese parlement,  PVV is bijna weggevaagd in de eerste kamer en bij de volgende verkiezingen verwacht ik dat de PVV de Partij Van de Verleden tijd is!",https://twitter.com/i/web/status/1134477740961402880,,"PatrickBred1, NOS",0,3
Fri May 31 14:49:27 +0000 2019,nl,porthossie,"Amsterdam, Noord-Holland","Ik ben Nederlander, democraat en heb gestemt met de Europese verkiezingen. ik eis dat de stem van onze Europese medeburgers in Catalonië wordt gerespecteerd. Het is daarom onacceptabel dat de gekozen MEP's Puigdemont en Comín de toegang tot het EU parlement worden geweigerd.",https://twitter.com/i/web/status/1134471961210425345,,,13,18
Fri May 31 14:25:46 +0000 2019,nl,_MikeMuller,,"GroenLinks Amsterdam wilde juridische stappen om groei Schiphol tegen te houden (plan kwam op dag van Europese verkiezingen naar buiten). 

Wethouder Kock zegt nu: Amsterdam zal geen gebruik maken van eventuele juridische mogelijkheden richting Schiphol. #raad020 https://t.co/XVVKBPOyQK",https://twitter.com/i/web/status/1134466000253071360,,,4,12
Fri May 31 14:01:26 +0000 2019,nl,_huizenmarkt,,"Het schrijnende tekort aan sociale huurwoningen, doe daar als Kamerlid eens iets aan Het was een zware week voor de liefhebbers van correct gebruik van percentages. Bij de analyses van de Europese verkiezingen... https://t.co/7sYipWC0PD",https://twitter.com/i/web/status/1134459877458403334,,,0,0
Fri May 31 14:00:03 +0000 2019,nl,NieuwsGrazer,Nederland,Europese verkiezingen: de politieke gevolgen https://t.co/0y9ooBxbXC,http://dlvr.it/R5mvqg,,,0,0
Fri May 31 13:45:29 +0000 2019,nl,erikrijpstra,Nijmegen,"@JoasiaKowalik Och, gaan we zo beginnen? Ik vind de manier hoe Wilders tweet echt buiten alle proporties. Daar gaat het mij om.

Mag ik weten welke op welke partij je hebt gestemd tijdens de Provinciale Statenverkiezingen en die van de Europese verkiezingen?",https://twitter.com/i/web/status/1134455862452527105,,JoasiaKowalik,0,0
Fri May 31 13:42:03 +0000 2019,nl,StichtingJAS,Anna Paulowna,Grootste partij bij Europese verkiezingen: groep niet-stemmers https://t.co/H5e17VTQ8H,http://dlvr.it/R5msFL,,,0,0
Fri May 31 13:41:00 +0000 2019,nl,johnkistermann,"Maastricht, Nederland",@LodewijkA JAAAAA zeker top en ik heb hier 11 dagen geleden nog aandacht voor gevraagd in kader van Europese Verkiezingen. Wat kunnen wij doen? en nu voor meer welzijn ipv welvaart in Nederland  zie https://t.co/bWODYnRHWd,https://twitter.com/i/web/status/1134454735556239360,,LodewijkA,0,0
Fri May 31 13:35:35 +0000 2019,nl,PiratenpartijNL,Netherlands,Zes vragen en antwoorden over de Europese Verkiezingen - 1Limburg - Nieuws en Sport uit Limburg https://t.co/Y4wbGAnZTg https://t.co/YA7nXjjsJ9,https://twitter.com/i/web/status/1134453369756459008,,,0,0
Fri May 31 13:24:07 +0000 2019,nl,Iwein281252,Camelot,De blokkering van Wilders op Twitter impliceert natuurlijk ook dat deze een verbod op deelname aan de Europese verkiezingen had moeten krijgen. Met z’n vrijheid van meningsuiting.,https://twitter.com/i/web/status/1134450486764023809,,,0,0
Fri May 31 13:23:14 +0000 2019,nl,RaoulBoucke,Brussels-Rotterdam,Zo meteen vanaf 17.30 ben ik in @BNRfridaymove over oa de afgelopen Europese verkiezingen. Luister je mee? https://t.co/h3LCZJF9QR,https://twitter.com/BNR/status/1134437978024161285,,BNRfridaymove,1,5
Fri May 31 12:57:03 +0000 2019,nl,YpeVisser,,De Maltese bevolking heeft zich massaal afgekeerd van de lokale PN onderdeel van EVP. De PN  (Christendemocraten) zijn op Malta bij de Europese verkiezingen de grote verliezer! De derde verkiezingsnederlaag op rij! Reden voor CDA-er @PieterOmtzigt om nog een trap na te geven?,https://twitter.com/i/web/status/1134443674195156992,,,0,0
Fri May 31 12:47:04 +0000 2019,nl,WoltjesBia,"Groningen, Nederland",Europese verkiezingen zitten erop: ‘De Europese Commissie wil toetredingsonderhandelingen beginnen met Noord-Macedonië en Albanië’ https://t.co/OPKN87mG3K,https://twitter.com/i/web/status/1134441163639930880,,,0,0
Fri May 31 12:28:55 +0000 2019,nl,arnoyuma,"Lelystad, Nederland",Europese verkiezingen zitten erop: ‘De Europese Commissie wil toetredingsonderhandelingen beginnen met Noord-Macedonië en Albanië’ https://t.co/KXiLalPnag,https://twitter.com/i/web/status/1134436593866039299,,,0,0
Fri May 31 12:26:33 +0000 2019,nl,friedl_mark,,"Bilderberg 2019 heeft als onderwerp Brexit. NL delegatie pro EU met Rutte, Kaag, Buitenweg. Europese verkiezingen duidelijk anti EU. Wat voor plannen zouden ze in Montreux maken... #Bilderberg2019",https://twitter.com/i/web/status/1134435996781699073,,,1,0
Fri May 31 12:15:00 +0000 2019,nl,DoorbraakBe,Vlaanderen,Wouter Roorda: ‘PvdA van Frans Timmermans grootste bij Europese verkiezingen https://t.co/621REPTXKJ https://t.co/S3sGbHM4MA,https://doorbraak.be/pvda-van-frans-timmermans-grootste-bij-europese-verkiezingen/,,,1,0
Fri May 31 12:00:35 +0000 2019,nl,Boerenbusiness,The Netherlands,"Europa heeft vorige week gestemd. En, zoals zo vaak, kan deze stembusgang flink wat gevolgen hebben. https://t.co/q5MTxpnjeR",https://www.boerenbusiness.nl/financieel/artikel/10882670/europese-verkiezingen-de-politieke-gevolgen,,,0,0
Fri May 31 11:59:40 +0000 2019,nl,RoelMaalderink,"Amsterdam, Nederland","Media hebben volop aandacht besteed aan de ontevreden burger. Maar bij de Europese verkiezingen won de gematigde stem. Op zoek dus naar die redelijke, genuanceerde Nederlander. https://t.co/yOi1ra70gM",https://twitter.com/i/web/status/1134429234561245186,,,32,210
Fri May 31 11:26:04 +0000 2019,nl,JohanHDrent,Hoogezand,"@FleurAgemaPVV @geertwilderspvv Welke waarheid zal altijd de vraag blijven. Gelukkig begin Nederland de PVV door te krijgen als we de Europese verkiezingen bekijken,",https://twitter.com/i/web/status/1134420777770672128,,"FleurAgemaPVV, geertwilderspvv",0,0
Fri May 31 11:06:15 +0000 2019,nl,GBDunnie,Winterswijk-Ratum,"@Percolator_HNJ @Schiermonnik00g @Twitter @D66 Niet allen Twitter heeft genoeg van het gebral van Wilders, heel Nederland heeft er genoeg van, gezien de resultaten van de Europese verkiezingen.",https://twitter.com/i/web/status/1134415790013329409,,"Percolator_HNJ, Schiermonnik00g, Twitter, D66",0,0
Fri May 31 10:46:25 +0000 2019,nl,sargasso,Nederland,"Plagiaat of niet? @Sargasso in 2005 https://t.co/rxe5MAy7Xn
Versus @DeGroene deze week
https://t.co/1GTyCFHfHf https://t.co/UwFq1AXRNK","https://sargasso.nl/vrijdagtekening-poll-sort-of/, https://www.groene.nl/cartoonisten/gorilla/cartoons/europese-verkiezingen-06ec1cc6-49d4-4b99-b14e-c030a2ce0b19",,"sargasso, DeGroene",2,1
Fri May 31 10:09:19 +0000 2019,nl,_Venray,,"Burgemeester Willem Gradisen https://t.co/6GA107HXnb : wij zijn er voor u Buurtverbinders Petra en Loes brengen op 23 mei 2019, de dag van de Europese verkiezingen, een bezoek...","http://bit.ly/2HMMAV2, https://twitter.com/i/web/status/1134401462073724929",,,0,0
Fri May 31 09:44:07 +0000 2019,nl,ApeldoornNL,"Apeldoorn, Beekbergen, Loenen ",Indicatie opkomstpercentage Europese verkiezingen om 12.30 uur https://t.co/b97NFzBrSB,http://bit.ly/2MkmaOM,,,0,0
Fri May 31 09:44:06 +0000 2019,nl,ApeldoornNL,"Apeldoorn, Beekbergen, Loenen ",Definitieve uitslag Europese verkiezingen in Apeldoorn https://t.co/lKjnEeiXu2,http://bit.ly/2Mkm8GE,,,0,0
Fri May 31 09:43:34 +0000 2019,nl,WeertNL,"Weert, Stramproy",Voorlopige uitslag Europese verkiezingen in Weert https://t.co/MSdMWKt99x,http://bit.ly/2MjgMM3,,,0,0
Fri May 31 09:38:46 +0000 2019,nl,omroepbo,"Noordwijk, Nederland",Theo Alkemade krijgt te kort stemmen bij Europese Verkiezingen https://t.co/Nd2MpMNw12 via @@omroepbo,https://www.bollenstreekomroep.nl/2019/05/theo-alkemade-krijgt-te-kort-stemmen-bij-europese-verkiezingen/,,omroepbo,0,0
