created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
2019-06-02 23:16:22,pl,kaliber308win,"Łódzkie, Polska",@InsurgentNow @tvp_info @KosiniakKamysz Nikt się nie pogryzł koalicja europejska jak nazwa wskazuje była na wybory europejskie. Choć z pewnością nasi koalicjanci popełnili błąd skręcając za bardzo w lewo.,,,"InsurgentNow, tvp_info, KosiniakKamysz",0,0
2019-06-02 21:31:26,pl,kaliber308win,"Łódzkie, Polska",@waldemarkowal Koalicja Europejska jak sama nazwa wskazuje była na wybory europejskie.,,,waldemarkowal,0,0
2019-06-02 20:21:31,pl,aaaby86,,@KLubnauer Każdy kto nie poszedł na wybory europejskie powinien za karę codziennie oglądać przez 1 godzinę TVP Info aż do kolejnych wyborów!,,,KLubnauer,0,0
2019-06-02 19:22:41,pl,polishwalker,Asia,@lis_tomasz @macdac Bardzo jestem ciekawy jaki będzie przebieg tych obchodów. Bo przegrane wybory europejskie osłabiły ich range i oczekiwania  co do przemówienia DT.,,,"lis_tomasz, macdac",0,0
2019-06-02 17:16:43,pl,waldemarkowal,,"#Kosiniak w kampanii: Oni są silni w gębie, zwarci przy żłobie i gotowi do ucieczki! Zwyciężmy wybory europejskie, to będzie 1. tura wyborów parlamentarnych. Dziękuję KE, że możemy wspólnie w tej różnorodności być razem. 
#Kosiniak po wyborach: Wychodzimy z KE https://t.co/ZPn5vQCDn7",,"Kosiniak, Kosiniak",,79,160
2019-06-02 16:58:39,pl,Heavy000M,kikół,"No to PiS następne wybory wygrane Tak  trzymać  😂II miejsce w konkursie na plakat ""30 Lat Wolności"" II miejsce w konkursie na plakat ""30 Lat Wolności"" zorganizowanym przez Europejskie Centrum Solidarności https://t.co/0LiiytlqEG",,,,0,2
2019-06-02 13:46:05,pl,Bocciarelli_W,,"@pkgrabowski @ricenola1 @PSzubartowicz Moment... moment: ""Co do Konfederacji to też chyba był tylko pomysł na wybory europejskie."" Byl w ogole taki pomysł? Kogo?",,,"pkgrabowski, ricenola1, PSzubartowicz",0,0
2019-06-02 11:57:35,pl,OllaAllex,"Śląskie, Polska","@lucekteam Jedynie co zostaje opozycji to zmobilizować tych którzy nie poszli na wybory a nie są PiS wyznawcami. Dużo nie poszło bo byli przekonani,że KE wygra, bo wyborcy PiS nie chodzą na wybory europejskie.",,,lucekteam,2,31
2019-06-02 09:59:03,pl,DziennikPL,Polska,Katastrofalny wynik SPD w wyborach europejskich. Szefowa partii podaje się do dymisji https://t.co/AICFfjAJjp,"https://wiadomosci.dziennik.pl/swiat/artykuly/599260,spd-niemcy-wybory-europejskie.html?utm_source=dlvr.it&utm_medium=twitter",,,2,0
2019-06-02 08:38:38,pl,kdwojakowski,,"@chelseaqqqq @T_Stanislawski Na wybory europejskie to przechodziło, ale na jesieni to będzie kłopot. Duży kłopot.",,,"chelseaqqqq, T_Stanislawski",0,1
2019-06-02 08:01:13,pl,matikurek013,"Jasło, Polska",PSL według mnie się tak pogubił ze pierwsze przegrał wybory europejskie poprzez włączenie się do koalicji anty kościelnej a teraz przegra po raz drugi nie osiągając progu wyborczego do polskiego sejmu #woronicza17,,woronicza17,,0,1
2019-06-01 23:05:56,pl,waldemarkowal,,"#Kosiniak 18 maja: To jest 1. tura wyborów. musimy wygrać wybory europejskie, żeby wygrać na jesieni. Zjednoczyliśmy opozycję, zwyciężymy!
#Kosiniak 1 czerwca: Wychodzimy z Koalicji Europejskiej. https://t.co/w3c4AzztY6",,"Kosiniak, Kosiniak",,178,443
2019-06-01 13:27:07,pl,politycznynotes,,"Widzicie głupi ludzie ""PISowski"" nie rozumiecie, że to były tylko wybory europejskie, wykształceni młodzi z wielkich miast to rozumieli...  :)) Ludzie PISowski wy głupcy jesteście!!! LOL 😂 https://t.co/WUJlcHu73z",https://twitter.com/WojSadurski/status/1134596898923270147,,,0,1
2019-06-01 11:30:57,pl,alfred_kopaczel,,"@Cyntia_Harasim Nawet się starają. Mają swoich piarowców. Speców od kampanii. Tyle, że mierzą wyborców swoją miarą. Im się w pałach inna miara nie mieści. Będą przegrywać kolejne wybory. Zostaną z ręką w nocniku, a w nim gówno nowoczesne i europejskie. PiS ich rozgrywa profesjonalnie. Oni o lgbt",,,Cyntia_Harasim,0,1
2019-06-01 09:41:41,pl,Miosz47634079,,"@piszczel77 @Jakub_Stefaniak @KosiniakKamysz @nowePSL Dla PSL będzie lepiej jeżeli do KE nie dołączy , bo przecież już w niej nie jest bo to był projekt na wybory europejskie .",,,"piszczel77, Jakub_Stefaniak, KosiniakKamysz, nowePSL",0,3
2019-06-01 09:32:41,pl,AnitaSchelde,Ziemie Wyzyskane,"Panie Profesorze Sadurski...myślenie życzeniowe NIC nie pomoże 😃.
Primo : dla KE ważniejsze są wybory europejskie (patrz : synekury)
Secundo : w krajowych dostaniecie jeszcze większe bęcki.
Terzo : potrzeba Nam jeszcze dwóch kadencji...żeby zaorać Was na wieki,wieków,Amen 🙏. https://t.co/s3etRkbhnr",https://twitter.com/WojSadurski/status/1134596898923270147,,,98,295
2019-06-01 08:56:55,pl,DNiedzielska,,"PiS w nagrodę za programy społeczne wygrał wybory europejskie. I dobrze, jednak wszyscy powinni teraz patrzeć partii komendanta i akolitom na ręce w sprawie 447 act i tego, co wokół problemu się dzieje, bo to jest klucz do naszej trwałej suwerenności.",,,,0,0
2019-05-31 23:59:58,pl,myNarodPL,,@WojSadurski też mam taką nadzieję. wybory parlamentarne zawsze miały większą frekwencję niż te europejskie. i wierzę że te lenie które nie poszły do ostatnich wyborów to właśnie zwolennicy KE/przeciwnicy PiS,,,WojSadurski,0,2
2019-05-31 23:05:55,pl,WojSadurski,Sydney and Warszawa,"Oto źródła mojego optymizmu. KE nie zmobilizowała większej liczby swoich zwolenników, bo oni rozumieli, że to „tylko” wybory europejskie, a PiS twardo prowadził kampanię krajową. W październiku wszyscy zrozumieją, że to już gra o wszystko, Następnej takiej prędko nie będzie.",,,,77,492
