created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Mon May 27 05:43:53 +0000 2019,pt,blogoval,Península Esgríncia ,"Bons dias
Rescaldo das eleições europeias 
Eu não fui eleito https://t.co/8vKonrpf4q",,,,0,1
Mon May 27 05:35:21 +0000 2019,pt,antena1rtp,Portugal,Eleições europeias: Portugal e a Europa - análise e debate na manhã informativa da @antena1rtp,,,antena1rtp,1,1
Mon May 27 05:26:58 +0000 2019,pt,FranciscoALeite,Lisboa,"O PS canta vitória, na extrema-esquerda manda o Bloco e uma extravagância como o PAN é a estrela destas eleições europeias. Isto mesmo com o País estagnado. À Direita é preciso repensar tudo: pessoas, métodos e ideias. https://t.co/jsVO8NMMoo",https://twitter.com/i/web/status/1132880857214128129,,,0,8
Mon May 27 05:22:55 +0000 2019,pt,Lumenata1,,Eleições europeias: os resultados país a país: https://t.co/Xw7FQ1VHdL via @observadorpt,https://observador.pt/especiais/eleicoes-europeias-os-resultados-pais-a-pais/,,observadorpt,0,0
Mon May 27 05:22:02 +0000 2019,pt,PolitzOficial,Brazil,"#ATENÇÃO!

Eleições Europeias:
Partidos favoráveis ao Brexit se tornam os maiores da União Europeia com 29 assentos.

Blocos favoráveis ao bloco perdem espaço.

Há forte crescimento dos nacionalistas e partidos da direita.

Partidos ecológicos também tiveram ganhos consideráveis. https://t.co/kic0RpFRPO",https://twitter.com/i/web/status/1132879612344786944,ATENÇÃO,,78,519
Mon May 27 05:08:27 +0000 2019,pt,paulo_baldaia,,"@pedro_sales O resultado da Direita é péssimo, não teve foi uma queda. Já tinha sido péssimo em 2014.
E essa é a outra ideia falsa. Em oito eleições europeias realizadas em Portugal, a oposição ganhou quatro e o governo outras quatro.",https://twitter.com/i/web/status/1132876196616843264,,pedro_sales,1,2
Mon May 27 05:01:02 +0000 2019,pt,dnoticiaspt,Madeira,"Da noite eleitoral sobram vitórias inequívocas: Os socialistas venceram as eleições europeias em Portugal. Na Região, o PSD foi o mais votado, derrotou um PS que cresce, mas se as Regionais fossem hoje, com base nos resultados de ontem, não teria maioria… https://t.co/IEj8alTXZ5",https://twitter.com/i/web/status/1132874330830823424,,,0,0
Mon May 27 04:58:14 +0000 2019,pt,Paulox36,"São Paulo, Brasil",Partido de Marine Le Pen vence eleições europeias na França https://t.co/qlD9QlcaaT,https://www.oantagonista.com/?p=200296,,,3,16
Mon May 27 04:42:21 +0000 2019,pt,BrasilEFE,Brasil,#Resultados das eleições europeias dão sinais sobre o futuro da #UE https://t.co/vb6KLkRXSN,http://bit.ly/2W5X8HN,"Resultados, UE",,0,0
Mon May 27 04:34:36 +0000 2019,pt,epopeiaorg,,ELEIÇÕES EUROPEIAS – Resultados das eleições europeias dão sinais sobre o futuro da UE https://t.co/aPburt27mn,https://www.efe.com/efe/brasil/mundo/resultados-das-elei-es-europeias-d-o-sinais-sobre-futuro-da-ue/50000243-3985748?utm_source=wwwefecom&utm_medium=rss&utm_campaign=rss,,,0,0
Mon May 27 04:22:06 +0000 2019,pt,edlucasmota,"Rio de Janeiro, Brasil","O partido conservador britânico, conhecido como ""Tory"" sofreu uma derrota histórica nas eleições europeias.  
Dos 74 deputados eleitos no Reino Unido, apenas três são Tories.
Exatamente como alguns aqui no BR, eles traíram seu eleitorado e foram substituídos pelo @brexitparty_uk.",https://twitter.com/i/web/status/1132864529224937472,,,0,1
Mon May 27 03:55:50 +0000 2019,pt,agodinholuz,"Lisboa, Portugal","Quando BE chega ao poder, nunca dura lá muito https://t.co/qAL9joqzOB",https://www.jornaldenegocios.pt/economia/politica/eleicoes/europeias/amp/grecia-tsipras-pode-marcar-eleicoes-antecipadas-com-derrota-do-syriza-nas-europeias?__twitter_impression=true,,,0,1
Mon May 27 03:54:12 +0000 2019,pt,serbretas,,Resultado das eleições européias na França apontam ligeira vantagem da direita (23%) sobre o grupo de apoio a Emmanuel Macron (22%) https://t.co/geXmY6Csz8,https://twitter.com/i/web/status/1132857508173946880,,,0,1
Mon May 27 03:54:02 +0000 2019,pt,txtimbeta,,Partido Popular vence eleições europeias marcadas por avanço de liberais https://t.co/D5MwfRMbCq,http://dlvr.it/R5TS1m,,,0,0
Mon May 27 03:52:40 +0000 2019,pt,repimlins,"Rio de Janeiro, Brazil",extrema direita na frente nas eleições europeias na França. https://t.co/pA0PbcQ8B9,https://twitter.com/lemondefr/status/1132856407273943040,,,1,2
Mon May 27 03:51:39 +0000 2019,pt,mgfamiliarnet,"Porto, Portugal","Top story: Há 20 anos que o partido no Governo não ganhava as eleições europeias | Europeias 2019 | PÚBLICO https://t.co/F88TlfqdNx, see more https://t.co/50KVWeKKey",https://twitter.com/i/web/status/1132856866856423424,,,0,0
Mon May 27 03:46:02 +0000 2019,pt,HernanPorrasM,"Miami, FL",Amea&amp;ccedil;a populista travada nas elei&amp;ccedil;&amp;otilde;es europeias - Política - Correio da Manh&amp;atilde; https://t.co/xPgUDUioE6 https://t.co/y5lkXjZOgv,https://twitter.com/i/web/status/1132855452788711425,,,0,0
Mon May 27 03:39:43 +0000 2019,pt,MindTripp83,tripping in wonderland,"O pessoal anda a confundir eleições europeias de eleições internas.
Porque eu posso muito bem não ir votar para estas palhaçadas de eleições quando o problema neste país não está em quem nos representa no congresso europeu mas sim no governozeco que temos.",https://twitter.com/i/web/status/1132853865613877249,,,0,4
Mon May 27 03:30:13 +0000 2019,pt,PortalVarada,"Teresina, Brasil",Partido Popular vence eleições europeias marcadas por avanço de liberais https://t.co/dO16qD7YNE https://t.co/K7htztsscU,http://portalvarada.com/partido-popular-vence-eleicoes-europeias-marcadas-por-avanco-de-liberais/,,,0,0
Mon May 27 03:24:27 +0000 2019,pt,ArnalGonc,Lisbon,"@arnaldogonc Enorme carambola nas eleições europeias em Portugal do fim-de-semana.Parabéns a António Costa que tacticamente tornou nacionais umas eleições europeias e ganhou de forma destacada, impulsionando uma estratégia de embalagem para as eleições nacionais do Outono....",https://twitter.com/i/web/status/1132850024184918022,,arnaldogonc,0,0
Mon May 27 03:21:16 +0000 2019,pt,soberano_e,Brazil,"França castiga Macron e dá a vitória a Le Pen nas eleições europeias, indicam as primeiras projeções 

https://t.co/oJUtk1wGhc https://t.co/TlBDc1K90o",https://twitter.com/i/web/status/1132849223676907520,,,0,0
Mon May 27 03:20:53 +0000 2019,pt,vinicius70111,"Rio de Janeiro, Brasil","alem das eleições europeias, houveram o pleito federal e regionais da Belgica, alem de varias eleições estaduais na Alemanha, o pleito local grego, e o 1o turno do pleito local italiano.",https://twitter.com/i/web/status/1132849126230691840,,,0,2
