created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
2019-06-02 12:28:44,ro,2am_eu,,Germania: Demisia şefei Partidului Social Democrat după pierderile grele în alegerile europene...,,,,0,0
2019-06-02 12:01:32,ro,DanAlexe007,,"O disuție cu Vasile Botnaru și ex-diplomata franceză Véronique North-Minca despre de ce rezultatul alegerilor europene este în mare foarte pozitiv.

După alegerile parlamentare: ce fel de Europă se vede acolo, la capătul tunelului? (VIDEO) https://t.co/fthHPBSnJD",https://moldova.europalibera.org/a/punct-si-de-la-capat/29976982.html,,,0,2
2019-06-02 11:55:00,ro,agerpres,"Bucharest, Romania",Germania: Demisia şefei Partidului Social Democrat după pierderile grele în alegerile europene https://t.co/GuH9kZ0VI6,https://www.agerpres.ro/politica-externa/2019/06/02/germania-demisia-sefei-partidului-social-democrat-dupa-pierderile-grele-in-alegerile-europene--319066,,,0,1
2019-06-01 11:21:21,ro,florincosmaro,,Alegerile Europene 2019 - primele impresii https://t.co/KygvBTlFxQ via @florincosmaro,http://florincosma.ro/alegerile-europene-2019-primele-impresii/,,florincosmaro,0,0
2019-05-31 11:54:03,ro,RFI_Romania,"Bucureşti, România","Theodor Paleologu, fost ministru al Culturii, despre vizita Papei Francisc și alegerile europene https://t.co/7LWdSEckEe #InvitatulDiminetii #Politica #TheodorPaleologu",https://www.rfi.ro/invitatul-diminetii-111933-theodor-paleologu-fost-ministru-vizita-papa-francisc-alegeri#.XPEVszWp1iw.twitter,"InvitatulDiminetii, Politica, TheodorPaleologu",,1,1
2019-05-31 11:11:20,ro,Newspad_Romania,Romania,"New York Times: Papa Francisc efectuează o vizită în România pentru a avertiza cu privire la pericolul populismului, în ascensiune în Europa după alegerile europene. https://t.co/wWQadgFKi6",http://bit.ly/2XjxzPY,,,0,0
2019-05-31 08:50:12,ro,GheorgheLatesc2,Moldova,"BEC – Primele rezultate parțiale: PNL câștigă cu 29,43% alegerile europene în România după o prezență record la urne. Alianța USR PLUS obține 61% la votul în diaspora - https://t.co/tq0U1BY23B",https://www.caleaeuropeana.ro/bec-primele-rezultate-partiale-pnl-castiga-cu-2943-alegerile-europene-in-romania-dupa-o-prezenta-record-la-urne-alianta-usr-plus-obtine-61-la-votul-in-diaspora/,,,1,1
2019-05-31 08:35:14,ro,GheorgheLatesc2,Moldova,"Joseph Daul, președintele PPE, califică victoria forțelor politice de centru-dreapta din România în alegerile europene drept o victorie pentru statul de drept și independența justiției - https://t.co/mIoRIaHn1t",https://www.caleaeuropeana.ro/joseph-daul-presedintele-ppe-califica-victoria-fortelor-politice-de-centru-dreapta-din-romania-in-alegerile-europene-drept-o-victorie-pentru-statul-de-drept-si-independenta-justitiei/,,,0,0
2019-05-30 16:59:57,ro,AndreiCismaru,bucharest,"@piggiebrotha si s-a tinut de cuvant 

""La rândul său, Tăriceanu a i-a transmis lui Verhofstad, înainte de alegerile europene, că ALDE Ro nu-l va mai sprijini în Parlamentul European.""",,,piggiebrotha,0,2
2019-05-30 07:44:45,ro,Radupress,Petrosani,"Alegerile europene din 2019, desfășurate la 40 de ani distanță de la primele alegeri pentru Parlamentul European, s-au încheiat cu cea mai... https://t.co/4PNRbqvaDk",https://www.caleaeuropeana.ro/bec-rezultate-finale-cine-sunt-cei-32-de-eurodeputati-care-vor-reprezenta-romania-in-parlamentul-european/,,,0,0
2019-05-29 18:50:36,ro,SuveranIonel,Barlad,"Partidul Național Liberal în frunte cu Rareș Bogdan cîștigă Alegerile parlamentare europene
Claus Iohannis cîștigă Referendumul",,,,0,0
2019-05-29 13:04:28,ro,taraduveanu,Bucharest,"Alegerile trec, sărăcia rămâne... dar măcar știm ce trebuie făcut.   https://t.co/CdzOtJmOVP",http://www.atelierefarafrontiere.ro/noutati/2019/5/23/activ-recomandari-pentru-politici-publice-de-insertie-nationale-si-europene,,,0,0
2019-05-29 11:39:54,ro,RaduTudorA3,Bucharest,"O exceptionala analiza a rezultatului si efectelor politice in alegerile europene #aspenromania, #gmfus, #events2019, #EUelections2019",,"aspenromania, gmfus, events2019, EUelections2019",,1,5
