created_at;lang;screen_name;location;full_text;urls;tags;mentions;retweet_count;favorite_count
2019-06-02 16:00:35;sl;SpletnaMladina;Ljubljana, Slovenija;Evropske volitve so potrdile staro politično nakano, da v propadajočih politično-ekonomskih skupnostih spremembe pomenijo zgolj utrjevanje statusa quo. Novi obrazi so zgolj pokritje za premik EU iz votlega v prazno. Piše Bogomir Kovač. https://t.co/ZiLNY5NW2J #Mladina22 #kolumna;http://j.mp/2I5RHig;Mladina22, kolumna;;0;4
2019-06-02 14:30:00;sl;Dnevnik_si;Ljubljana;"V Sloveniji te evropske volitve niso pokazale, da je šlo za temeljne usmeritve Evrope, da se je tokrat zares odločalo o usodi Evrope. Za nas, ne pa tudi za preostali del Evrope, so bile volitve zgolj »business as usual« (normalno stanje stvari). 
https://t.co/M5l1pT3LFr";https://www.dnevnik.si/1042887913;;;0;0
2019-06-02 08:37:47;sl;dtadejd;;@miran_lipovec @Komar4442 @KLaznik Šlo je za evropske  volitve, na podlagi glasovanj v EU parlamentu so bili zavezniki Zver, Židan (EPP, PES). Jelinčič je podprl SLO proračun in je torej tudi zaveznik SD, levice, SAB, LMŠ, SAB. Kje vidiš razliko med njimi? Na podlagi dejstev je edini rival vseh naštetih je BB.;;;miran_lipovec, Komar4442, KLaznik;0;3
2019-06-02 08:00:00;sl;EP_Slovenija;Dunajska 20, Ljubljana, SI;"#Napovednik
Evropske volitve so za nami. V tednu do 9. junija pripravljamo za vas: 
⏩Evropske volitve in kaj sledi 🗳
⏩Doživi Evropo na Čarobnem dnevu v Ljubljani, v nedeljo, 9.junija 🎊
#DoživiEvropo #lepovabljeni #epslo https://t.co/1snwr0NOgZ";;Napovednik, DoživiEvropo, lepovabljeni, epslo;;0;1
2019-06-02 07:04:28;sl;TaTrenutek;Slovenija;"Evropske volitve so v Evropski parlament prinesle celo vrsto zelo nenavadnih likov. Na Hrvaškem vzbuja pozornost evropska poslanka, ki se ne odreka ustaštvu.

https://t.co/EvbkdkldJO";http://ow.ly/DpSj50uuBUJ;;;1;1
2019-05-31 17:30:08;sl;Val202;Ljubljana, Slovenia;"Iger še ni konec, evropske volitve pa so za nami. Veliko stolov se kislo drži, ko pomislijo na ekstremistične in nazadnjaške zadnjice, ki bodo sedle nanje. Opazovala sta jih špicentehnik Gašper Loborec in centrifugenžurnalistka Tatjana Pirc. 🔄⬇ 
https://t.co/mtKfn35fYm";http://j.mp/30Q7OsK;;;0;0
2019-05-31 14:14:34;sl;Delo;;"Volitve so politični zemljevid Evropske unije na novo razmejile: na zeleni zahod in nezeleni vzhod.
Piše: @SandraHanzic
https://t.co/DyERqfaAHB";https://www.delo.si/novice/slovenija/brez-prave-in-trajne-zelene-ponudbe-ni-niti-povprasevanja-190408.html;;SandraHanzic;2;4
2019-05-31 06:54:21;sl;UrosEsih;Ljubljana;Državljani posameznih držav članic EU so prejeli dvojno vabilo na volitve. Še vedno ni rešeno vprašanje oseb z dvojnim državljanstvom https://t.co/HtrAE5aXoM;https://www.vecer.com/evropske-volitve-2019-nekateri-so-volili-dvakrat-10017057;;;0;0
2019-05-31 06:46:00;sl;Vestnik_si;Republic of Slovenia;"Kot so nas opozorili bralci, ki delajo v evropskih institucijah v Bruslju, so številni njihovi sodelavci iz različnih držav EU, ki imajo tam prijavljeno začasno prebivališče, dobili dvojno vabilo na volitve. #vestnik
https://t.co/SKZ3vofVH0";https://www.vestnik.si/evropske-volitve-nekateri-so-volili-dvakrat-10017198;vestnik;;0;0
2019-05-31 05:44:22;sl;MatijaStepisnik;Maribor;(EVROPSKE VOLITVE 2019) Nekateri so volili dvakrat. Državljani posameznih držav članic EU so prejeli dvojno vabilo na volitve. Še vedno ni rešeno vprašanje oseb z dvojnim državljanstvom. Piše Timotej Milanov. https://t.co/kOO6gyx1Md;https://www.vecer.com/evropske-volitve-2019-nekateri-so-volili-dvakrat-10017057;;;1;0
