created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
Tue May 28 09:47:44 +0000 2019,sl,MatejKmatej42,,"Ker je SD na evropsikih volitvah dobila 18,6 in ob dejjstvu da volilci leve sredine niso ""disciplinirani"" pri tovrstnih voltvah sem preprican da bo na naslednjih DZ volitvah SD zmagovita stranka. 
Resne stranke v SLO so: SDS in SD, tudi NSI to postaja.
https://t.co/3Y0gTeVUQu",https://twitter.com/i/web/status/1133308865297211392,,,0,0
Tue May 28 09:04:49 +0000 2019,sl,jdamijan,,"Naslov je res dober, sol na rane:
Razplet volitev: Šarec je ponovno zmagal, čeprav je spet izgubil in Janša je ponovno izgubil, čeprav je spet zmagal https://t.co/E7i8A15bjL",https://twitter.com/i/web/status/1133298068525387776,,,0,10
Tue May 28 08:39:00 +0000 2019,sl,RadioStudentAPR,Ljubljana,"Evropske volitve v Sloveniji in širše 

#OFFsajd z @MaksutiAlem &amp; @Rok_DS 

https://t.co/HBk7L1s6sw",https://radiostudent.si/politika/offsajd/praznik-eu-kracije,OFFsajd,"MaksutiAlem, Rok_DS",2,0
Tue May 28 08:13:40 +0000 2019,sl,gylan_s,Republic of Slovenia,"@RomanVodeb Evropsa komisija je vložila kar nekaj denarja v propagando v Sloveniji(FB itd..) za višjo volilno udeležbo.   So takšne volitve sploh veljavne?    
  Predsedniške volitve 2017   42,13 %
  Volitve v državni zbor 2018    51,18%
  Evropske volitve 201921.45)    28,29% https://t.co/T0ohdx41PF",https://twitter.com/i/web/status/1133285194830635008,,RomanVodeb,0,0
Tue May 28 07:43:13 +0000 2019,sl,MatijaStepisnik,Maribor,"(EVROPSKE VOLITVE) Več akterjev, ki se bodo v Evropskem parlamentu morali povezati v koalicijo, prinaša več nepreglednosti pri odločanju o vodilnih položajih in evropski zakonodaji. Piše Darja Kocbek. https://t.co/5zaTt5nmpL",https://twitter.com/i/web/status/1133277532659310592,,,1,0
Tue May 28 07:24:34 +0000 2019,sl,gylan_s,Republic of Slovenia,"@lucijausaj Pahor predsednik je za federacijo. Za koga on sploh dela?   VOLILNE UDELEŽBE V SLOVENIJI
  So takšne volitve sploh veljavne?    
  Predsedniške volitve 2017             42,13 %
  Volitve v državni zbor 2018            51,18%
  Evropske volitve 201921.45)          28,29%",https://twitter.com/i/web/status/1133272836892708864,,lucijausaj,0,0
Tue May 28 07:19:32 +0000 2019,sl,DominikStrakl,"Ljubjana, Slovenija","Te evropske volitve so ponovno pokazale, da je rešitev POVEZOVANJE in SODELOVANJE. Upam, da bodo to čimprej spoznali v @NovaSlovenija. Slovenija nujno potrebuje zamenjavo oblasti, ki dnevno razgrajuje temelje svobodne demokratične družbe. #SkupajSmoMočnejši",https://twitter.com/i/web/status/1133271570833711104,,,5,25
Tue May 28 04:10:45 +0000 2019,sl,Stavenskovrhski,Slovenija,"Mrak: Kriza je neizogibna, toda evro je danes robustnejši https://t.co/3YAxBGzA6r PRIDI KRIZA, BREZ TEBE NAM ŽIVETI NI!",https://www.rtvslo.si/slovenija/evropske-volitve-2019/mrak-kriza-je-neizogibna-toda-evro-je-danes-robustnejsi/486318-,,,0,0
Tue May 28 04:09:22 +0000 2019,sl,Stavenskovrhski,Slovenija,"Mrak: Kriza je neizogibna, toda evro je danes robustnejši https://t.co/3YAxBGzA6r",https://www.rtvslo.si/slovenija/evropske-volitve-2019/mrak-kriza-je-neizogibna-toda-evro-je-danes-robustnejsi/486318-,,,0,0
Mon May 27 20:36:03 +0000 2019,sl,BlazBabic,Republic of Slovenia,"Vse to in še več - v naslednji epizodi ""Vardibajskov"".

https://t.co/OQwgohwqsM",https://reporter.si/clanek/slovenija/sisko-evropske-volitve-so-bile-diskriminatorne-in-nepostene-704931,,,0,0
