created_at,lang,screen_name,location,full_text,urls,tags,mentions,retweet_count,favorite_count
2019-06-02 23:43:05,sv,SR_Nyheter,Sverige,.@sr_ekot: Tunga avhopp efter EU-valet https://t.co/LplnGvXHui https://t.co/7l9HPGGULd,https://t.sr.se/2JSdFsi,,sr_ekot,0,0
2019-06-02 23:35:32,sv,BrittLind2,,Bättre resultat för AfS i EU-valet än riksdagsvalet men långt under opinionsmätning https://t.co/cEHrZ8Tgjz,https://samnytt.se/battre-resultat-for-afs-i-eu-valet-an-riksdagsvalet-men-langt-under-opinionsmatning/,,,0,0
2019-06-02 21:51:38,sv,Jefasth2,Sverige,"@PompesSon @strandhall Klokskap och kunnande är inget signum för en minister  EU-valet gav nyligen skrämmande  bevis  Ex : Fritzon , Kuhnke etc...",,,"PompesSon, strandhall",0,2
2019-06-02 21:36:49,sv,kommunisterna,Sverige,"Andreas Sörensen, SKPs partiordförande, skriver på https://t.co/MaLSHoqEAW apropå Kommunistiska Partiets kampanj mot EU-valet. https://t.co/pXwg6jfOLj
#euval2019 #svpol #eupol #kommunisterna #SKP","http://Riktpunkt.nu, https://riktpunkt.nu/2019/06/kommunistiska-partiets-anti-valkampanj/","euval2019, svpol, eupol, kommunisterna, SKP",,0,6
2019-06-02 21:29:38,sv,EricJernberg1,,@danielclaesson4 @TyloSun I riksdagsvalet var SD helt enkelt inte förberedda på sossarnas (och David Baas) påtagliga press och kampanjmaskineri. Kommunikationsmässigt bradf för SD precis innan valet. Märks att man var mer förberedd för de inför EU-valet och man lär vara desto mer förberedd i framtiden.,,,"danielclaesson4, TyloSun",0,1
2019-06-02 21:26:38,sv,EricJernberg1,,@danielclaesson4 @TyloSun Kortsiktigt har den var någorlunda framgångsrik för dem. Kolla riksdagsvalet när sossarnas kampanjmaskineri riktat mot SD var på absolut högvarv tillexempel. SD sänktes ändå en del och saktades ner ganska bra. Funkade sisådär i EU-valet och lär funka ännu sämre tills nästa val.,,,"danielclaesson4, TyloSun",0,0
2019-06-02 21:23:00,sv,simpan1,Någon annanstans i Sverige,"@Ladaktusson @pwolodarski @SigridMelchior Och man måste även undra lite om timingen för publiceringen. Det kändes ju som att de väntade med publiceringen för att få maximal effekt, största möjliga påverkan på EU-valet. Det intrycket fickj ag åtminstone.",,,"Ladaktusson, pwolodarski, SigridMelchior",0,3
2019-06-02 21:19:26,sv,ArgMenSnel,,"@Ladaktusson Tack Lars.
Tack för att du sänkte ditt populistiska parti i EU-valet.",,,Ladaktusson,1,15
2019-06-02 21:10:35,sv,AnnaLindstr0m,,@rektorhamid @JonathanBessou Inför EU-valet fanns endast Vänsterpartiet och ibland Miljöpartiet i hallonbergen Stockholm som hade container och valinformation...inte konstigt att resultatet blev som det blev,,,"rektorhamid, JonathanBessou",0,0
2019-06-02 20:26:57,sv,PerBlomberg1,Stockholm,Glädjeskutt i @svtnyheter #agenda över Dansk Folkepartis nedgång i EU-valet!,,agenda,svtnyheter,0,1
2019-06-02 20:12:25,sv,JanJolof,Limhamn och Fayence,"Det konservativa partiet Republikanerna i Frankrike gjorde ett katastrofval i EU-valet, fick bara 8,48%,
I kväll avgick partiordföranden Laurent Wauquiez.
Comeback för Sarkozy?",,,,0,0
2019-06-02 20:12:01,sv,PiaGripenberg,,"I Tyskland avgår S-ledaren, i Frankrike avgår konservativa ledaren. EU-valet sätter sina spår i europeisk politik. https://t.co/hKewfsonOG",https://twitter.com/reuters/status/1135275272645816322,,,2,3
2019-06-02 20:07:45,sv,IngLindberg,"Göteborg, Sverige",@K_GBergstrom Märktes att de ordinarie är tillbaka efter en vår av vikarier då de ordinarie skulle förbereda för utfrågningarna inför EU-valet,,,K_GBergstrom,1,2
2019-06-02 19:29:13,sv,BenPlisken,Sverige,@YttraYttra2 Att L ens existerar som parti säger väl en del om 4.1% (avrundat uppåt) av de som röstade i EU-valet... ;),,,YttraYttra2,0,1
2019-06-02 19:06:39,sv,nordin_anne,,Bert - Lööf räddar Strandhäll och sviker igen! och EU-valet! https://t.co/iq4HBl1Rsb via @YouTube,https://youtu.be/LkjwQqGJwgc,,YouTube,1,2
2019-06-02 18:48:50,sv,margasvensson,,"Efter misslyckandet i EU-valet: partiledaren för franska konservativa partiet, Les Républicains, Laurent Wauquiez avgår. Krismöte på tisdag. #Frankrike",,Frankrike,,2,1
2019-06-02 18:35:28,sv,hellmaaaan,Stockholm,"@AndreasWahlgren Hahaha, ta det lugnt med spriten Ante! Förvånansvärt låg nivå på hetsen. Vad firar ni hårdast ikväll i Solna? Derbysegern, tvillingens andraplats i serien eller SD:s framfart i EU-valet?",,,AndreasWahlgren,0,0
2019-06-02 18:34:45,sv,erikdelareguera,"Paris, France","Partiledaren för franska Republikanerna (traditionella högern) Laurent Wauquiez lämnar sin post. Republikanerna fick bara lite drygt 8 % i EU-valet, trots (eller kanske pga) Wauquiez idoga försök att locka värdekonservativa, invandringsfientliga väljare. https://t.co/dSLamQ68PU",https://www.lemonde.fr/politique/article/2019/06/02/laurent-wauquiez-demissionne-de-la-presidence-des-republicains_5470534_823448.html,,,0,0
