created_at;lang;screen_name;location;full_text;urls;tags;mentions;retweet_count;favorite_count;parsed_text;emoji;english;clean
2019-06-02 16:12:20;bg;Hristojb;Bulgaria;Резултати от избори за членове на европейски парламент - България, 26 май 2019 г. Разпределение на мандати: https://t.co/7Y3jf4fedv;;;;0;0;Резултати от избори за членове на европейски парламент - България, 26 май 2019 г. Разпределение на мандати:;;The results of the election of members of the European Parliament - Bulgaria, 26 may 2019. Distribution of mandates:;results election members european parliament bulgaria may distribution mandates
2019-06-01 09:54:58;bg;konservatorbg;Bulgaria;Какво ни казват резултатите от изборите за Европейски парламент? https://t.co/ED9HnKx2lS https://t.co/4KGVB47tlT;https://conservative.bg/%d0%ba%d0%b0%d0%ba%d0%b2%d0%be-%d0%bd%d0%b8-%d0%ba%d0%b0%d0%b7%d0%b2%d0%b0%d1%82-%d1%80%d0%b5%d0%b7%d1%83%d0%bb%d1%82%d0%b0%d1%82%d0%b8%d1%82%d0%b5-%d0%be%d1%82-%d0%b8%d0%b7%d0%b1%d0%be%d1%80%d0%b8/;;;0;1;Какво ни казват резултатите от изборите за Европейски парламент?;;What do the results of the elections to the European Parliament?;results elections european parliament
2019-06-01 05:37:49;bg;ogibankov;Bulgaria;@bozhobg вид избори и избирателна активност - дори по-лошо, избирателите на ДБ са по-мотивирани да гласуват на европейски избори, отколкото тези на ГЕРБ и БСП и пак абсолютния брой гласове е 37% по-малък от на парламентарни. Това не е заключение, а факт... (за съжаление);;;bozhobg;0;0;вид избори и избирателна активност - дори по-лошо, избирателите на ДБ са по-мотивирани да гласуват на европейски избори, отколкото тези на ГЕРБ и БСП и пак абсолютния брой гласове е 37% по-малък от на парламентарни. Това не е заключение, а факт... (за съжаление);;types of elections and turnout - even worse, the electorate DB more motivated to vote in European elections than those on the ARMS and BSP and not less than the absolute number of votes 37% less than in the parliamentary. This is not a conclusion, but the fact... (sorry);types elections turnout even worse electorate db motivated vote european elections arms bsp less absolute number votes less parliamentary conclusion fact sorry
2019-05-30 20:28:58;bg;g_jig;;@TPPAKTOP Избирателната активност се стабилизира последните години. На последните парламентарни избори БСП спечели втория си най-добър резултат като брой гласове от 25 г. На последните европейски - втория си най-добър резултат изобщо на такива избори.;https://twitter.com/i/web/status/1134195014286938114;;TPPAKTOP;0;0;Избирателната активност се стабилизира последните години. На последните парламентарни избори БСП спечели втория си най-добър резултат като брой гласове от 25 г. На последните европейски - втория си най-добър резултат изобщо на такива избори.;;Turnout has stabilized in recent years. In the last parliamentary elections the BSP won his second best score as the number of votes of the 25 On the last European - the second best result at all for such elections.;turnout stabilized recent years last parliamentary elections bsp second best score number votes last european second best result elections
2019-05-30 10:59:33;bg;BSP_Bulgaria;;Корнелия Нинова: Единствената партия сме, която повиши подкрепата си спрямо предишните европейски избори https://t.co/9CtIV0OLAK;https://bsp.bg/news/view/16427-korneliya_ninova__edinstvenata_partiya_sme_koyato_povishi_podkrepata_si_spryamo_predishnite_evropeyski_izbori_.html;;;0;0;Корнелия Нинова: Единствената партия сме, която повиши подкрепата си спрямо предишните европейски избори;;Korneliya Ninova: the Only party we have that to increase its support compared with the previous European elections;korneliya ninova party increase support compared previous european elections
2019-05-30 10:56:30;bg;ISI_BG;Bulgaria;Европейски избори 2019:Обобщен доклад за възникнали нарушения https://t.co/tJ2rHMLsFA;http://isi-bg.org/?cid=6&NewsId=770&fbclid=IwAR1sywY4sy3305Ya9RqekU4Hkx7t4R2dY55iUtkH3RbJ0fTQ2x_FqtS3avw;;;0;0;Европейски избори 2019:Обобщен доклад за възникнали нарушения;;2019 European elections:a Brief report about any violations;european electionsa brief report violations
2019-05-30 08:10:18;bg;Kaloqn;Bulgaria;"""Рекордно ниската"" избирателна активност на изборите е 32,6% в сравнение с 35,8% на изборите за Европейски парламент през 2014 г. Истината е, че европейските избори в България традиционно не предизвикват голям интерес.... https://t.co/0bFcavrVii";https://twitter.com/i/web/status/1134009122733666305;;;0;0;"""Рекордно ниската"" избирателна активност на изборите е 32,6% в сравнение с 35,8% на изборите за Европейски парламент през 2014 г. Истината е, че европейските избори в България традиционно не предизвикват голям интерес....";;"""Record low"" turnout amounting to 32.6% compared to 35.8% in the elections to the European Parliament in 2014. The truth is that in the European elections in Bulgaria traditionally are of great interest....";record low turnout amounting compared elections european parliament truth european elections bulgaria traditionally great interest
2019-05-30 06:39:04;bg;Novinite365;България;Нинова: Живеех със спестени пари, днес се връщаме в парламента: Ние сме единствената партия, която увеличава избирателите си спрямо предишните европейски избори. Ние сме единствената партия, която увеличава броя на евродепутатите си. Печелим в 63 общини,… https://t.co/RR7o3MO4ht;https://twitter.com/i/web/status/1133986161741819904;;;0;0;Нинова: Живеех със спестени пари, днес се връщаме в парламента: Ние сме единствената партия, която увеличава избирателите си спрямо предишните европейски избори. Ние сме единствената партия, която увеличава броя на евродепутатите си. Печелим в 63 общини,…;;Ninova: I Lived with money accumulated today we return to Parliament: We are the only party that increases voters relative to the previous European elections. We are the only party that increases the number of MEPs themselves. To win in 63 municipalities,...;ninova lived money accumulated today return parliament party increases voters relative previous european elections party increases number meps win municipalities
2019-05-29 19:32:11;bg;LoraTabakova;London;Избори за Европейски парламент 2019 https://t.co/GBzw1YccwP;https://search.bivol.bg/ep2019/?q=@candidate%20%202%20%D0%94%D0%B5%D0%BB%D1%8F%D0%BD%20%D0%A1%D0%BB%D0%B0%D0%B2%D1%87%D0%B5%D0%B2%20%D0%9F%D0%B5%D0%B5%D0%B2%D1%81%D0%BA%D0%B8;;;0;0;Избори за Европейски парламент 2019;;Elections to the European Parliament 2019;elections european parliament
2019-05-29 09:36:36;bg;EDCSliven;Sliven, Bulgaria;"Вчера Дома на Европа в София имаше дискусия по повод отминалите Европейски избори на тема: ""Европейски избори 2019: Какво следва? Вижте запис на събитието: https://t.co/FxzVAYRb0g https://t.co/C5OS7a9xPy";https://twitter.com/i/web/status/1133668451468365825;;;0;0;"Вчера Дома на Европа в София имаше дискусия по повод отминалите Европейски избори на тема: ""Европейски избори 2019: Какво следва? Вижте запис на събитието:";;"Yesterday, the House of Europe in Sofia was discussion about past European elections the topic: ""European elections 2019: What's next? See report on the event:";yesterday house europe sofia discussion past european elections topic european elections whats next see report event
