created_at;lang;screen_name;location;full_text;urls;tags;mentions;retweet_count;favorite_count;parsed_text;emoji;english;clean
2019-06-02 18:16:32;cs;komuniste1921;;KS Irska: Místní a evropské volby ukazují politickou stabilitu systému https://t.co/bvobsy1v48;http://dlvr.it/R5tq69;;;0;0;KS Irska: Místní a evropské volby ukazují politickou stabilitu systému;;PCS Ireland: the Local and european elections show the political stability of the system;pcs ireland local european elections show political stability system
2019-06-01 15:30:35;cs;OskarBlazek;Mělník, Česká republika;Hry na trůny a evropské volby https://t.co/AIbO0VLvdE prostřednictvím @hospodarky Stavme mosty a brány, ne zdi.;https://archiv.ihned.cz/c1-66581830-hry-na-truny-a-evropske-volby;;Hospodarky;0;0;Hry na trůny a evropské volby prostřednictvím Stavme mosty a brány, ne zdi.;;Game on thrones and the european options through Building bridges and gates, not walls.;game thrones european options building bridges gates walls
2019-06-01 13:51:53;cs;Posledniskaut;Pyongyang - Benešov - Muqdisho;"Už to @prchal vytáhl? 
""Únik zprávy Evropské komise do médií je jednoznačně účelová záležitost s cílem ovlivnit blížící se podzimní senátní a krajské volby 2020.""";;;prchal;7;369;"Už to vytáhl? ""Únik zprávy Evropské komise do médií je jednoznačně účelová záležitost s cílem ovlivnit blížící se podzimní senátní a krajské volby 2020.""";;"I pulled it out? ""The leak of a European commission report to the media is clearly a specific issue with a view to influence the approaching autumn senate and regional elections in 2020.""";pulled leak european commission report media clearly specific issue view influence approaching autumn senate regional elections
2019-05-31 15:41:28;cs;S_C_Malek;Hlavní město Praha;@Nemcova_Mirka Vazena pani poslankyne, premier rozhodne nebude odstupovat, ceske republice se vede jako nikdy pred tim, skoro nulova nezamestnanost, v porovnani s jinymi zememi v evropske unii jsme v zivotni urovni na uplne spici. Muzete uz konecne skousnout, ze jste ty volby nevyhrali😉;https://twitter.com/i/web/status/1134485049418670082;;Nemcova_Mirka;1;6;Vazena pani poslankyne, premier rozhodne nebude odstupovat, ceske republice se vede jako nikdy pred tim, skoro nulova nezamestnanost, v porovnani s jinymi zememi v evropske unii jsme v zivotni urovni na uplne spici. Muzete uz konecne skousnout, ze jste ty volby nevyhrali;😉;Dear mrs. poslankyne, the premier decides not to abdicate, the Czech republic leads like never before, almost nulova unemployment, in porovnani with other countries in the european union we are in the level to complete spici. Can I finally put up with from you those options won;dear mrs poslankyne premier decides abdicate czech republic leads like never almost nulova unemployment porovnani countries european union level complete spici finally put options
2019-05-31 15:00:05;cs;neviditelnypes;Czech Republic;Evropské volby jen lehce naznačily, že v jednotlivých členských zemích se tu více, tu méně projevuje nespokojenost. https://t.co/wFwNTqTJPD;http://bit.ly/2HK2VtL;;;0;0;Evropské volby jen lehce naznačily, že v jednotlivých členských zemích se tu více, tu méně projevuje nespokojenost.;;European options only slightly indicated in the individual member countries, here more, here less manifested dissatisfaction.;european options slightly indicated individual member countries less manifested dissatisfaction
2019-05-31 11:06:34;cs;echoprimecz;Hlavní město Praha;Evropské volby byly svého druhu generálkou polské opozice před důležitějšími, parlamentními na podzim. A ačkoliv se pět stran sjednotilo do středolevého bloku, vládnoucí Právo a spravedlnost porazit nedokázaly. https://t.co/RMQewpS17G;https://twitter.com/i/web/status/1134415871881949184;;;0;0;Evropské volby byly svého druhu generálkou polské opozice před důležitějšími, parlamentními na podzim. A ačkoliv se pět stran sjednotilo do středolevého bloku, vládnoucí Právo a spravedlnost porazit nedokázaly.;;The european elections were of a kind vowing the Polish opposition before the more important, parliamentary in autumn. And although the five parties united in the center left bloc, the ruling Law and justice beat have failed to.;european elections kind vowing polish opposition important parliamentary autumn although five parties united center left bloc ruling law justice beat failed
2019-05-31 06:00:02;cs;atomsedlacek;PR.aha! ;Hra o trůny je o Evropě, která neexistuje. Je o Evropě přesně v té verzi, jak bychom ji nechtěli mít. https://t.co/rlZ0yRpVSK;https://buff.ly/2WGFjid;;;2;12;Hra o trůny je o Evropě, která neexistuje. Je o Evropě přesně v té verzi, jak bychom ji nechtěli mít.;;Game of thrones is about a Europe that does not exist. It is about Europe, exactly in that version, as we didn't want it to have.;game thrones europe exist europe exactly version didnt want
2019-05-30 14:43:08;cs;BoodinN;;Nu a právě proto, ty idiote z Klausů k těm volbám do EU chodíme právě my, co jinak vidíme jaké češství tvého charakteru by nám zůstalo. Právě kvůli tobě,... https://t.co/CadcYUAs7v;https://twitter.com/i/web/status/1134107983200346113;;;0;0;Nu a právě proto, ty idiote z Klausů k těm volbám do EU chodíme právě my, co jinak vidíme jaké češství tvého charakteru by nám zůstalo. Právě kvůli tobě,...;;Well and that's why, you idiot of Klausů to the elections to the EU we're just us, what otherwise we can see what your patriotism, your character would we have left. Just because of you,...;well thats idiot klausů elections eu us otherwise see patriotism character would left
2019-05-30 13:19:26;cs;karelvazler;;Bravo.....Klaus to vidí jasně......Hrůzou je evropské zelenání, komentuje exprezident Klaus volby do EP https://t.co/yg1e3mHadZ;https://www.lidovky.cz/domov/hruzou-je-evropske-zelenani-komentuje-klaus-evropske-volby.A190529_224914_ln_domov_ele;;;0;1;Bravo.....Klaus to vidí jasně......Hrůzou je evropské zelenání, komentuje exprezident Klaus volby do EP;;Bravo.....Klaus sees it clearly......Horror is the european greening, commenting on ex-president Klaus in the EP elections;bravoklaus sees clearlyhorror european greening commenting expresident klaus ep elections
2019-05-30 12:54:30;cs;MelkusovaIvana;;Hrůzou je evropské zelenání, komentuje exprezident Klaus volby do EP https://t.co/SonfIhMG2O;https://www.lidovky.cz/domov/hruzou-je-evropske-zelenani-komentuje-klaus-evropske-volby.A190529_224914_ln_domov_ele;;;4;17;Hrůzou je evropské zelenání, komentuje exprezident Klaus volby do EP;;Horror is the european greening, commenting on ex-president Klaus in the EP elections;horror european greening commenting expresident klaus ep elections
2019-05-30 12:10:20;cs;hetzerhetzer;;"Má pravdu, předseda!
https://t.co/fsSmt4O4f0";https://www.lidovky.cz/domov/hruzou-je-evropske-zelenani-komentuje-klaus-evropske-volby.A190529_224914_ln_domov_ele;;;0;1;Má pravdu, předseda!;;He's right, the president!;hes right president
2019-05-30 11:08:01;cs;PravdaVitezi123;;"Vždy pozitivní, český Nigel https://t.co/yPnFJ3YKMW druhou stranu to, že se v británii hroutí minimálně výroba aut už do své glosy nepřidává...

#KikinaKritizuje

https://t.co/u7tINAXWqT";http://Farange.Na, https://twitter.com/i/web/status/1134053845083013121;;;0;0;Vždy pozitivní, český Nigel druhou stranu to, že se v británii hroutí minimálně výroba aut už do své glosy nepřidává...;;Always positive, the Czech Nigel the other hand, that in britain, collapsing at least the production cars in your comments does not add...;always positive czech nigel hand britain collapsing least production cars comments add
2019-05-30 10:49:19;cs;tcizner;Drahenice, Česká republika;Hrůzou je evropské zelenání, komentuje exprezident Klaus volby do EP | Domov | https://t.co/h1GnQxK3Kt https://t.co/ZeLBusgVCW;http://Lidovky.cz, https://www.lidovky.cz/domov/hruzou-je-evropske-zelenani-komentuje-klaus-evropske-volby.A190529_224914_ln_domov_ele;;;0;0;Hrůzou je evropské zelenání, komentuje exprezident Klaus volby do EP | Domov |;;Horror is the european greening, commenting on ex-president Klaus in the EP elections | Home |;horror european greening commenting expresident klaus ep elections home
2019-05-30 10:44:11;cs;joan_orleans;Hlavní město Praha;Hrůzou je evropské zelenání, komentuje exprezident Klaus volby do EP https://t.co/pLMnpARJmO. serete si snad do vlastního hnízda???;https://www.lidovky.cz/domov/hruzou-je-evropske-zelenani-komentuje-klaus-evropske-volby;;;0;0;Hrůzou je evropské zelenání, komentuje exprezident Klaus volby do EP . serete si snad do vlastního hnízda???;;Horror is the european greening, commenting on ex-president Klaus in the EP elections . fuck you in your own nest???;horror european greening commenting expresident klaus ep elections fuck nest
