created_at;lang;screen_name;location;full_text;urls;tags;mentions;retweet_count;favorite_count;parsed_text;emoji;english;clean
2019-06-01 10:23:23;fi;aschkoff;Oslo, Norway;@Arminsson @Johannes_Jau @filsdeproust Alberto Alemanno kirjoittanut mitä viimeisimmät EU-vaalit eivät onnistuneet tekemään ja missä paljon tehtävää: https://t.co/pEGB6j5pMb;https://www.theguardian.com/commentisfree/2019/may/01/17-million-mobile-eu-citizens-european-elections;;Arminsson, Johannes_Jau, filsdeproust;0;0;Alberto Alemanno kirjoittanut mitä viimeisimmät EU-vaalit eivät onnistuneet tekemään ja missä paljon tehtävää:;;Alberto Alemanno wrote what the latest EU elections have failed to do and what a lot of work to do:;alberto alemanno wrote latest eu elections failed lot work
2019-06-01 08:19:42;fi;Suvikunnas;;Eu-vaalit 2019,  kiitospuhe https://t.co/uQ0GHAReLb käyttäjältä @YouTube;https://youtu.be/9oacs7AJnv8;;YouTube;0;0;Eu-vaalit 2019, kiitospuhe käyttäjältä;;Eu elections in 2019, thanks to the speech from the user;eu elections thanks speech user
2019-05-29 22:20:18;fi;vuokko75;;EU-vaalit Ruotsissa: Ruotsidemokraatit voittamassa, vihreät häviämässä https://t.co/z5E4XqBZba;https://www.kansalainen.fi/eu-vaalit-ruotsissa-ruotsidemokraatit-voittamassa-vihreat-haviamassa/;;;0;0;EU-vaalit Ruotsissa: Ruotsidemokraatit voittamassa, vihreät häviämässä;;The EU-elections in Sweden: the sweden democrats winning, the green fading;euelections sweden sweden democrats winning green fading
2019-05-29 15:11:49;fi;ilkkaluoma;Finland;-- Ilkka Luoma --: Eduskunta- ja EU-vaalit 2019 - analyysia ja pohdin... https://t.co/yjmoHwHHWD;https://ilkkaluoma.blogspot.com/2019/05/eduskunta-ja-eu-vaalit-2019-analyysia.html?spref=tw;;;0;0;-- Ilkka Luoma --: Eduskunta- ja EU-vaalit 2019 - analyysia ja pohdin...;;-- Ilkka Luoma --: Parliamentary and EU elections in 2019 - analysis and reflection...;ilkka luoma parliamentary eu elections analysis reflection
2019-05-29 14:07:31;fi;aristoteleenkp;Suomi ja Finland;Miksi EU-vaalit eivät herätä suuria intohimoja? Pärjääkö samalla retoriikalla kaikkialla EU:n alueella? Pitääkö EU-vaalikampanjassa puhua eri tavalla kuin kansallisten vaalien kampanjoissa? Puhetaitokouluttaja Severi Hämäri kertoo. https://t.co/bDBeKCCprm;https://twitter.com/i/web/status/1133736631503077376;;;0;1;Miksi EU-vaalit eivät herätä suuria intohimoja? Pärjääkö samalla retoriikalla kaikkialla EU:n alueella? Pitääkö EU-vaalikampanjassa puhua eri tavalla kuin kansallisten vaalien kampanjoissa? Puhetaitokouluttaja Severi Hämäri kertoo.;;Why the EU elections do not inspire great passions? I'm just the same rhetoric throughout the EU territory? Does the EU election campaign to speak in a different way than a national election campaigns? Speaking skills trainer Severi Hämäri tell.;eu elections inspire great passions im rhetoric throughout eu territory eu election campaign speak different way national election campaigns speaking skills trainer severi hämäri tell
2019-05-29 13:55:14;fi;taranantya;GER🇩🇪 FIN🇫🇮;"[Aristoteleen kantapää] Miksi EU-vaalit eivät saa ihmisiä liikkeelle?
https://t.co/7ancSnm8Rg via @PodcastAddict";https://ylekdl-a.akamaihd.net/p/1955031/sp/0/download/entry_id/1_8r4vqak2/flavor/0_nqw6bgae/referrer/bW9iaWxlLnlsZS5maQ==/file_name/Aristoteleen-kantapaa-Miksi-EU-vaalit-eivat-saa-ihmisia-liikkeelle-2019-05-29-v25984192/relocate/Aristoteleen-kantapaa-Miksi-EU-vaalit-eivat-saa-ihmisia-liikkeelle-2019-05-29-v25984192.mp3;;PodcastAddict;0;0;[Aristoteleen kantapää] Miksi EU-vaalit eivät saa ihmisiä liikkeelle? via;;[Aristotle's heel] Why the EU elections don't get people mobilized? via;aristotles heel eu elections dont get people mobilized via
2019-05-29 12:37:22;fi;KTerho;Helsinki,  Finland , Europe;EU-vaalit 2019 - onko EU nyt vahvempi vai rikkonaisempi? https://t.co/nMOuMMwZjU käyttäjältä @wordpressdotcom;https://euronautti.wordpress.com/2019/05/29/eu-vaalit-2019-onko-eu-nyt-vahvempi-vai-rikkonaisempi/;;wordpressdotcom;0;1;EU-vaalit 2019 - onko EU nyt vahvempi vai rikkonaisempi? käyttäjältä;;EU elections in 2019 - is the EU now a stronger or more broken? user;eu elections eu stronger broken user
2019-05-29 12:14:16;fi;EUkomissio;Helsinki;EU-vaalit 2019 – onko EU nyt vahvempi vai rikkonaisempi? pohtii apulaispäällikkömme @BlassarMaria blogissamme: https://t.co/tWyLkapK4q #EUvaalit2019;https://twitter.com/i/web/status/1133708129483526144;;BlassarMaria;6;15;EU-vaalit 2019 – onko EU nyt vahvempi vai rikkonaisempi? pohtii apulaispäällikkömme blogissamme:;;EU elections in 2019 – is the EU now a stronger or more broken? consider the deputy chief of the us on our blog:;eu elections – eu stronger broken consider deputy chief us blog
2019-05-29 12:10:42;fi;todistaja;Helsinki, Suomi;EU-vaalit Ruotsissa: Ruotsidemokraatit voittamassa, vihreät häviämässä https://t.co/kInmVKLVnn;https://www.kansalainen.fi/eu-vaalit-ruotsissa-ruotsidemokraatit-voittamassa-vihreat-haviamassa/;;;1;0;EU-vaalit Ruotsissa: Ruotsidemokraatit voittamassa, vihreät häviämässä;;The EU-elections in Sweden: the sweden democrats winning, the green fading;euelections sweden sweden democrats winning green fading
2019-05-29 07:45:44;fi;JAirasvaara;;@MattiRnk Minä olin MM-huumeessa, kun edellisen kerran sanailin. EU-vaalit meni ohi, niin kuin tyhjää vuan, mutta kyllä minä edelleen vaaleista tytöistä tykkään !☺️😍;https://twitter.com/i/web/status/1133640554565251072;;MattiRnk;0;1;Minä olin MM-huumeessa, kun edellisen kerran sanailin. EU-vaalit meni ohi, niin kuin tyhjää vuan, mutta kyllä minä edelleen vaaleista tytöistä tykkään !☺;️😍;I was MM-on drugs, when the last time verbalizing. EU elections go over, as stupid vuan, but yes I still elections to the girls I like !☺;mmon drugs last time verbalizing eu elections go stupid vuan yes still elections girls like ☺
2019-05-28 17:29:27;fi;parempaa;EU;@roope_uusitalo Olisi avoimempaa käydä EU-vaalit EU- ryhmien tunnuksilla ja MEP-ehdokkain. Onhan outoa, että telkkarissa väittelevät suomalaispuolueiden pj:t, joiden puolueet eivätkä hlöt itsekään ole vaaleissa edes ehdolla, ja tosiaan vastaan, vaikka lopulta saattavat edustaa sama ryhmää.;https://twitter.com/i/web/status/1133425063116595200;;roope_uusitalo;0;1;Olisi avoimempaa käydä EU-vaalit EU- ryhmien tunnuksilla ja MEP-ehdokkain. Onhan outoa, että telkkarissa väittelevät suomalaispuolueiden pj:t, joiden puolueet eivätkä hlöt itsekään ole vaaleissa edes ehdolla, ja tosiaan vastaan, vaikka lopulta saattavat edustaa sama ryhmää.;;Would be more open to visit the EU-elections, EU - group id, and MEP-candidate in. After all, strange that on tv arguing Finnish parties pj t, where the party rather than the person themselves, not the election even nominated for, and indeed against, although ultimately may represent the same group.;would open visit euelections eu group id mepcandidate strange tv arguing finnish parties pj party rather person election even nominated indeed although ultimately may represent group
2019-05-28 15:47:59;fi;PVainonen;;@markkumyllykan2 @JacquesBoissons Totta Markku, että Hakkarainen ei täytä hyvän mepin vaatimuksia. Kannattaa muistaa, että demareilla oli myös varsin kyseenalainen meppi eli kirkonmies Isä Mitro, joka keskittyi kaikkeen muuhun kuin itse asiaan. Suurin ongelma on se, että monelle EU-vaalit on ihan EVVK.;https://twitter.com/i/web/status/1133399526914580480;;markkumyllykan2, JacquesBoissons;0;0;Totta Markku, että Hakkarainen ei täytä hyvän mepin vaatimuksia. Kannattaa muistaa, että demareilla oli myös varsin kyseenalainen meppi eli kirkonmies Isä Mitro, joka keskittyi kaikkeen muuhun kuin itse asiaan. Suurin ongelma on se, että monelle EU-vaalit on ihan EVVK.;;True Marc, that Hakkarainen doesn't have a good mep requirements. It is worth remembering that the democrats were also quite questionable mep, i.e. the church, Father Mitro, which focused on everything else than the subject itself. The biggest problem is that many of the EU elections is just EVVK.;true marc hakkarainen doesnt good mep requirements worth remembering democrats also quite questionable mep ie church father mitro focused everything else subject biggest problem many eu elections evvk
2019-05-28 14:43:32;fi;JariVirtanen12;;@j_seppola @JaniMakelaFi Kosonen aloitti 2008, kun Aho lopetti kesken vuoden. EU-vaalit pidettiin keväällä 2014. Silloin olisi yliasiamies voitu vaihtaa, jos se olisi koettu tarpeelliseksi ”ohjata” EU:sta palaavalle henkilölle. Hallintoneuvosto uuden sitten päättää eli kansanedustajat.;https://twitter.com/i/web/status/1133383309369794560;;j_seppola, JaniMakelaFi;0;0;Kosonen aloitti 2008, kun Aho lopetti kesken vuoden. EU-vaalit pidettiin keväällä 2014. Silloin olisi yliasiamies voitu vaihtaa, jos se olisi koettu tarpeelliseksi ”ohjata” EU:sta palaavalle henkilölle. Hallintoneuvosto uuden sitten päättää eli kansanedustajat.;;Kosonen started in 2008, when Aho stopped in the middle of the year. The EU-election was held in the spring of 2014. Then should the high commissioner be changed if it were perceived as necessary to ”steer” the EU go back to the person. The board new then decide, i.e. the mps.;kosonen started aho stopped middle year euelection held spring high commissioner changed perceived necessary ”steer” eu go back person board new decide ie mps
2019-05-28 10:57:21;fi;hoxei;;@kaisapenny näkyy olevan niin että ei ole eu-vaalit ihan samat kuin ne tavalliset -sinne meni tunnetuimmat;;;kaisapenny;0;0;näkyy olevan niin että ei ole eu-vaalit ihan samat kuin ne tavalliset -sinne meni tunnetuimmat;;appears to be so that is not the eu elections, just the same as they usual-there goes the most well-known;appears eu elections usualthere goes wellknown
2019-05-28 09:19:04;fi;posiki;Espoo, Finland;@teelmo Ai niin, mikä oli parametri jonka piti vääristyä vähiten? Pinta-ala, suunta, etäisyys vai joku muu? EU-vaalit pisti heti ajattelemaan pinta-ala.;https://twitter.com/i/web/status/1133301654831403008;;teelmo;0;0;Ai niin, mikä oli parametri jonka piti vääristyä vähiten? Pinta-ala, suunta, etäisyys vai joku muu? EU-vaalit pisti heti ajattelemaan pinta-ala.;;Oh yeah, what was the parameter which was supposed to distort the least? Surface area, direction, distance, or someone else? EU elections put the right thought to the surface area.;oh yeah parameter supposed distort least surface area direction distance someone else eu elections put right thought surface area
2019-05-28 07:03:39;fi;tasaarvoTANE;Suomi;EU-vaalit ovat takana ja Suomessa valittiin parlamenttiin 7 naista ja 6 miestä, mikä on hieno tulos sukupuolten tasa-arvoisen edustuksen näkökulmasta! Laajempaa analyysia EU-vaalien tuloksesta sukupuolinäkökulmasta koko EU:n alueella löytyy @EUGenDem​in blogista. #EUvaalit2019 https://t.co/K7XwnwYQYY;https://twitter.com/i/web/status/1133267574500864000;;;5;14;EU-vaalit ovat takana ja Suomessa valittiin parlamenttiin 7 naista ja 6 miestä, mikä on hieno tulos sukupuolten tasa-arvoisen edustuksen näkökulmasta! Laajempaa analyysia EU-vaalien tuloksesta sukupuolinäkökulmasta koko EU:n alueella löytyy ​in blogista.;;The EU elections are behind and Finland was elected to parliament 7 women and 6 men, which is a great result for the gender equality of representation point of view! A broader analysis of european election results from a gender perspective the whole of the EU area can be found in the blog.;eu elections behind finland elected parliament women men great result gender equality representation point view broader analysis european election results gender perspective whole eu area found blog
2019-05-28 06:15:42;fi;Miltton;HKI | BXL | STO | TLL;Suomen tuloksessa Vihreät menestyivät paremmin kuin ennen, Kokoomus pysyi ykkösenä sekä Perussuomalaisten kohdalla EU-vaalit ovat selkeästi vaaleista hankalimmat, toteaa @SteffiWallin.;https://twitter.com/i/web/status/1133255509300191232;;;0;1;Suomen tuloksessa Vihreät menestyivät paremmin kuin ennen, Kokoomus pysyi ykkösenä sekä Perussuomalaisten kohdalla EU-vaalit ovat selkeästi vaaleista hankalimmat, toteaa .;;The Finnish results in Green fared better than before, the Coalition remained the number one as well as the true finns in the EU-elections are clear elections more difficult notes .;finnish results green fared better coalition remained number one well true finns euelections clear elections difficult notes
2019-05-28 03:56:43;fi;KosonenMartti;Helsinki;@HakisPortsari @ReijoTossavaine Koska nämä olivat EU-vaalit.;;;HakisPortsari, ReijoTossavaine;0;0;Koska nämä olivat EU-vaalit.;;Because these were the EU-elections.;euelections
2019-05-27 19:22:12;fi;TelRit;;"@Stefferi Kok. äänimäärät:
Eduskuntavaalit 2019, ääniä 523 957
EU-vaalit 2019, ääniä  380106
Ei tulos kovin luottamukselta näytä EU-työn osalta.
Kok menetti ääniä myös edellisiin EU-vaaleihin verrattuna. Se, että kok saa kuitenkin muita paremmin vakioäänestäjänsä liikkeelle, on surullista";https://twitter.com/i/web/status/1133091050208288769;;Stefferi;0;4;Kok. äänimäärät: Eduskuntavaalit 2019, ääniä 523 957 EU-vaalit 2019, ääniä 380106 Ei tulos kovin luottamukselta näytä EU-työn osalta. Kok menetti ääniä myös edellisiin EU-vaaleihin verrattuna. Se, että kok saa kuitenkin muita paremmin vakioäänestäjänsä liikkeelle, on surullista;;Ioc. number of votes: the parliamentary elections of 2019, sounds 523 957 EU elections in 2019, sound 380106 Not the result of hard luottamukselta show EU with regard to the work. Ioc lost votes in the previous european elections compared to. The fact that the ioc, however, better than the standard voters to mobilize, it is sad;ioc number votes parliamentary elections sounds eu elections sound result hard luottamukselta show eu regard work ioc lost votes previous european elections compared fact ioc however better standard voters mobilize sad
2019-05-27 18:44:06;fi;kaisaleena63;;"@Sitoutumaton_ @hopeantikainen Kyseessä olivat EU-vaalit, ei Suomen, vaikka joillekin se on näköjään ylitsepääsemättömän vaikea ymmärtää.
Ja kun kerran haluatte puhua Suomen osuudesta, niin kuinka monta edustajaa enemmän @vihreat sai kuin @persut , noin niinkuin omasta mielestänne?";https://twitter.com/i/web/status/1133081458757853186;;Sitoutumaton_, hopeantikainen;0;0;Kyseessä olivat EU-vaalit, ei Suomen, vaikka joillekin se on näköjään ylitsepääsemättömän vaikea ymmärtää. Ja kun kerran haluatte puhua Suomen osuudesta, niin kuinka monta edustajaa enemmän sai kuin , noin niinkuin omasta mielestänne?;;It was the EU elections, not the Finnish, although for some it is the apparently insurmountable difficult to understand. And when you want to speak Finnish contribution, so how many reps more than , about, like your own mind?;eu elections finnish although apparently insurmountable difficult understand want speak finnish contribution many reps like mind
