created_at;lang;screen_name;location;full_text;urls;tags;mentions;retweet_count;favorite_count;parsed_text;emoji;english;clean
2019-06-02 20:41:48;und;HRTsport;;"Ekipa HRT-a dočekala je @SinkovicBros u zagrebačkoj Zračnoj luci &gt;  https://t.co/grZ46aICgu";https://sport.hrt.hr/517976/izbori/stari-novi-europski-prvaci-vratili-se-u-zagreb;;SinkovicBros;2;7;"Ekipa HRT-a dočekala je u zagrebačkoj Zračnoj luci &gt;";;"Team HRT was waiting in Zagreb Airport &gt;";team hrt waiting zagreb airport gt
2019-06-02 14:28:59;und;HZavjet;;"Europski izbori donijeli poraz lažnom evanđelju
https://t.co/y2LD5zhvHS https://t.co/81FEg7y32m";http://hrvatskikrsnizavjet.com/europski-izbori-donijeli-poraz-laznom-evandelju/;;;0;1;Europski izbori donijeli poraz lažnom evanđelju;;The European elections brought the defeat of the false gospel;european elections brought defeat false gospel
2019-06-02 09:31:45;und;damir_car;Republic of Croatia;"Ašto da vam kažem, uživajte.
 https://t.co/RiiHWbtK4l";http://sport.hrt.hr/517795/izbori/braca-sinkovic-europski-prvaci?jwsource=twi;;;0;4;Ašto da vam kažem, uživajte.;;Ašto to tell you, enjoy.;ašto tell enjoy
2019-06-02 09:08:10;cs;hrtvijesti;Aktualni i relevantni;Čestitamo! 🏆👏https://t.co/jqxmtictkR;https://bit.ly/2HPLkk8;;;6;17;Čestitamo! ;🏆👏;Congratulations!;congratulations
2019-06-02 09:00:35;und;HRTsport;;"Novo zlato za @SinkovicBros &gt;&gt;&gt; https://t.co/2nelioshie";https://sport.hrt.hr/517795/izbori/braca-sinkovic-europski-prvaci;;SinkovicBros;7;25;"Novo zlato za &gt;&gt;&gt;";;"New gold &gt;&gt;&gt;";new gold gtgtgt
2019-06-01 21:00:00;und;vijestihr;Zagreb, Croatia;"Amsterdamska: 'Nije moguće da nismo dobili nijedan glas, glasovao je naš Radoš'

https://t.co/CEEId9sKRp

#vijestihr https://t.co/hsKUvbopKL";https://bit.ly/2IdgMrB;vijestihr;;0;0;Amsterdamska: 'Nije moguće da nismo dobili nijedan glas, glasovao je naš Radoš';;"Amsterdamska: ""it is possible that we have not received a single vote, voted our Radoš'";amsterdamska possible received single vote voted radoš
2019-06-01 09:40:00;und;vijestihr;Zagreb, Croatia;"Slom Živog zida zbog mjesta u EP-u: 'Sinčićeva supruga vuče konce, a kod nje je prevladala računica
https://t.co/Oe8JLRcDoW https://t.co/kIOdJncfbD";http://bit.ly/2WwvHq4;;;0;1;Slom Živog zida zbog mjesta u EP-u: 'Sinčićeva supruga vuče konce, a kod nje je prevladala računica;;The breakdown of a Living wall out of place in the EP-at: 'Sinčićeva wife pulling the strings, and he was dominated by arithmetic;breakdown living wall place epat sinčićeva wife pulling strings dominated arithmetic
2019-05-31 14:53:26;und;vekaban;Croatia;Suverenisti: Europski izbori bili su mali bljesak a slijedi politička oluja https://t.co/oRSvxsjigA;https://www.tportal.hr/vijesti/clanak/suverenisti-europski-izbori-bili-su-mali-bljesak-a-slijedi-politicka-oluja-foto-20190531;;;0;0;Suverenisti: Europski izbori bili su mali bljesak a slijedi politička oluja;;Suverenisti: European elections was a small flash, and the next political storm;suverenisti european elections small flash next political storm
2019-05-31 09:59:44;und;KamenjarCom;Široki Brijeg - Mostar;Europski izbori u 6 slika https://t.co/IwCOVOXb7Y https://t.co/ZPLITz49s2;https://kamenjar.com/europski-izbori-u-6-slika/;;;0;0;Europski izbori u 6 slika;;The European elections in 6 shots;european elections shots
2019-05-30 16:30:12;und;dragutinjunkovi;CROATI;"Zagrebačke vijesti
Izbori za Europski parlament koji su održani prošlu nedjelju donijeli su prilično iznenađujuće rezultate u metropoli. SDP je najjača stranka u gradu, a tome je pridonijela kvalitetna lista i promjena... https://t.co/F8H9Chxb06";https://twitter.com/i/web/status/1134134927283429378;;;0;0;Zagrebačke vijesti Izbori za Europski parlament koji su održani prošlu nedjelju donijeli su prilično iznenađujuće rezultate u metropoli. SDP je najjača stranka u gradu, a tome je pridonijela kvalitetna lista i promjena...;;Zagreb news European Parliament Elections, which were held last Sunday, brought unexpected results in the metropolis. SDP is the strongest party in the city, and this was made the quality and the list of changes...;zagreb news european parliament elections held last sunday brought unexpected results metropolis sdp strongest party city made quality list changes
2019-05-30 16:09:29;und;Oslobodjenjeba;Sarajevo;https://t.co/AkF3mpGJQL;https://www.oslobodjenje.ba/dosjei/kolumne/europski-izbori-rizik-stagnacije-461034;;;0;0;x;;x;x
2019-05-30 10:57:24;und;mijicmate;Space, the final frontier.;NOVA KOLUMNA Europski izbori podijelili su karte tako da je vrlo moguće da u prvom krugu predsjedničkih izbora imamo čak četvero kandidata s podjednakom potporom. https://t.co/zOG0Jc5KSJ;https://twitter.com/i/web/status/1134051173726609408;;;0;1;NOVA KOLUMNA Europski izbori podijelili su karte tako da je vrlo moguće da u prvom krugu predsjedničkih izbora imamo čak četvero kandidata s podjednakom potporom.;;NEW COLUMN European elections shared a card, so it is very possible that in the first round of the presidential election we even have four candidates with the same support.;new column european elections shared card possible first round presidential election even four candidates support
2019-05-29 11:43:09;und;ZB1708;Zadar;Najveći gubitnik europskih izbora je - SDP! https://t.co/nV5In2Xqkn;https://vijesti.rtl.hr/novosti/hrvatska/izbori-za-europski-parlament-2019/3497465/najveci-gubitnik-europskih-izbora-je-sdp/;;;0;1;Najveći gubitnik europskih izbora je - SDP!;;Biggest loser of the European elections - SDP!;biggest loser european elections sdp
2019-05-29 06:41:49;und;GoranaMisic;Budapest, Hungary;Da citiram Bagu -- Fascinantno. Kad kažem opasan, mislim baš ovo: https://t.co/tsDsw9zEg1 #politikahr #izboriEU2019;https://dnevnik.hr/vijesti/izbori-za-europski-parlament-2019/mislav-kolakusic-za-dnevnik-nove-tv-biraci-su-mi-dali-glas-da-bi-bio-premijer-a-ne-europarlamentarac---562491.html;politikahr, izboriEU2019;;0;0;Da citiram Bagu -- Fascinantno. Kad kažem opasan, mislim baš ovo:;;Quote Bagu -- Fascinating. When I say dangerous, I think, also this:;quote bagu fascinating say dangerous think also
2019-05-29 06:33:01;und;HRTsport;;Arsenal i Chelsea u borbi za europski trofej https://t.co/Yz504xMsvu;https://sport.hrt.hr/516582/izbori/arsenal-i-chelsea-u-borbi-za-europski-trofej-2;;;1;1;Arsenal i Chelsea u borbi za europski trofej;;Arsenal and Chelsea in the fight for the European trophy;arsenal chelsea fight european trophy
2019-05-28 18:46:56;und;branitelji;Knin;VIDEO: OVO JE ŽALOSNO I BOLNO ZA GLEDATI Gradonačelnik Pule pokušao je pred kamerama objasniti zašto su važni europski izbori, ali baš nikako mu nije išlo! - https://t.co/FPSlD6GNZJ https://t.co/fwNN8VZQm2;https://twitter.com/i/web/status/1133444561282490368;;;2;7;VIDEO: OVO JE ŽALOSNO I BOLNO ZA GLEDATI Gradonačelnik Pule pokušao je pred kamerama objasniti zašto su važni europski izbori, ali baš nikako mu nije išlo! -;;VIDEO: IT's SAD AND PAINFUL to WATCH, the Mayor tried in front of cameras to explain why they are important the European elections, but in any case he failed! -;video sad painful watch mayor tried front cameras explain important european elections case failed
2019-05-28 18:15:00;und;DNEVNIKhr;Republic of Croatia;Video prikazuje gradonačelnika Pule, Borisa Miletića kako daje izjavu i pomalo nesuvislo i zbunjeno pokušava odgovoriti na pitanje novinarke zašto su izbori za Europski parlament važni. #dnevnikhr @novahr https://t.co/92w7trqfyH;https://twitter.com/i/web/status/1133436524731592704;;;0;0;Video prikazuje gradonačelnika Pule, Borisa Miletića kako daje izjavu i pomalo nesuvislo i zbunjeno pokušava odgovoriti na pitanje novinarke zašto su izbori za Europski parlament važni.;;Video shows mayor, Boris Miletića as gives the statement a little incoherent and confusing, trying to answer a reporter's question turned to why elections to the European Parliament.;video shows mayor boris miletića gives statement little incoherent confusing trying answer reporters question turned elections european parliament
2019-05-28 17:53:29;und;Vinka41813023;;Gradonačelnik Pule pokušao je pred kamerama objasniti zašto su važni europski izbori, ali baš nikako mu nije išlo https://t.co/dHcmARyJU9;https://100posto.hr/news/gradonacelnik-pule-pokusao-je-pred-kamerama-objasniti-zasto-su-vazni-europski-izbori-ali-nikako-mu-nije-islo-kao-da-mu-je-maca-popala-jezik-i-to-dvaput;;;0;0;Gradonačelnik Pule pokušao je pred kamerama objasniti zašto su važni europski izbori, ali baš nikako mu nije išlo;;The mayor tried in front of cameras to explain why they are important the European elections, but in any case he did not succeed;mayor tried front cameras explain important european elections case succeed
2019-05-28 15:49:58;und;berislavmance;;VIDEO: OVO JE BOLNO ZA GLEDATI / Gradonačelnik Pule pokušao je pred kamerama objasniti zašto su važni europski izbori, ali baš nikako mu nije išlo https://t.co/sHo0LWrwot;https://twitter.com/i/web/status/1133400025063743488;;;0;0;VIDEO: OVO JE BOLNO ZA GLEDATI / Gradonačelnik Pule pokušao je pred kamerama objasniti zašto su važni europski izbori, ali baš nikako mu nije išlo;;VIDEO: IT WAS PAINFUL to WATCH / the Mayor tried in front of cameras to explain why they are important the European elections, but in any case he did not succeed;video painful watch mayor tried front cameras explain important european elections case succeed
2019-05-28 15:40:52;und;bvb_shareholder;;"🎥 🤣 Mislav Kolakušić za Dnevnik Nove TV: ""Birači su mi dali glas da bih bio premijer, a ne europarlamentarac. Moj je cilj 76 ruku"" - https://t.co/qc7wput4lh https://t.co/CP4e1gRxOQ";https://twitter.com/i/web/status/1133397737448321024;;;0;0;"Mislav Kolakušić za Dnevnik Nove TV: ""Birači su mi dali glas da bih bio premijer, a ne europarlamentarac. Moj je cilj 76 ruku"" -";🎥, 🤣;"Mislav Kolakušić of the Journal of the New TV: ""the Voters have given me the voice that I was Prime Minister, and not europarlamentarac. My goal is 76 hands"" -";mislav kolakušić journal new tv voters given voice prime minister europarlamentarac goal hands
2019-05-28 15:24:44;und;KajtebrigaKr;;"Amsterdamska opravdava svoj naziv

https://t.co/zVErbmRMnS";https://100posto.hr/news/gradonacelnik-pule-pokusao-je-pred-kamerama-objasniti-zasto-su-vazni-europski-izbori-ali-nikako-mu-nije-islo-kao-da-mu-je-maca-popala-jezik-i-to-dvaput?fbclid=IwAR2V7lqxb-zYoMITrD8kSd8G2C2crJ_nGPTqyLRFBKOHY5LgC798wEBIIRo;;;0;2;Amsterdamska opravdava svoj naziv;;Amsterdamska lives up to its name;amsterdamska lives name
2019-05-28 14:30:00;und;vijestihr;Zagreb, Croatia;"Macron i moćni čelnici na jednoj, Weber i HDZ na drugoj strani: 'Slijedi nam intenzivno razdoblje'
https://t.co/t3jQ6RXPXk https://t.co/ny9EAozLCa";https://twitter.com/i/web/status/1133379901245890561;;;0;0;Macron i moćni čelnici na jednoj, Weber i HDZ na drugoj strani: 'Slijedi nam intenzivno razdoblje';;"Him and mighty the leaders on one, Weber and OFFICERS on the other side: 'we need an intense period,""";mighty leaders one weber officers side need intense period
2019-05-28 14:07:37;und;dw_croatian;Bonn, Germany;U Srbiji brojni euroskeptici u svojim prvim reakcijama pažnju prije svega skreću na uspjehe desnice i nacionalističkih snaga u pojedinim europskim zemljama.https://t.co/vxvws6hrUO;https://twitter.com/i/web/status/1133374269231124481;;;0;0;U Srbiji brojni euroskeptici u svojim prvim reakcijama pažnju prije svega skreću na uspjehe desnice i nacionalističkih snaga u pojedinim europskim zemljama.;;In Serbia many euroskeptici in its first response, the attention is primarily attracted by the success of right-wing and nationalist forces in individual European countries.;serbia many euroskeptici first response attention primarily attracted success rightwing nationalist forces individual european countries
2019-05-28 14:04:26;und;glasistrehr;Pula, Istra, Croatia;POGLEDAJTE VIDEO Pulski gradonačelnik Miletić pokušao  odgovoriti zašto su važni europski izbori... ispalo je katastrofalno... https://t.co/9on2aLNbLg https://t.co/FBhegMiXGa;https://twitter.com/i/web/status/1133373467938742272;;;0;0;POGLEDAJTE VIDEO Pulski gradonačelnik Miletić pokušao odgovoriti zašto su važni europski izbori... ispalo je katastrofalno...;;WATCH the VIDEO in Pula mayor Miletić tried to answer, why they are important the European elections... turned out to be disastrously...;watch video pula mayor miletić tried answer important european elections turned disastrously
2019-05-28 13:22:08;und;DalmatinskiP;Dalmatia, Croatia;.@sdpsplit pozvao gradonačelika da podnese ostavku: 'Izbori za Europski parlament su bili svojevrsni referendum građana' https://t.co/bwSVavWaRS https://t.co/eSvrFVbwBc;https://twitter.com/i/web/status/1133362822828761088;;sdpsplit;0;0;. pozvao gradonačelika da podnese ostavku: 'Izbori za Europski parlament su bili svojevrsni referendum građana';;. called gradonačelika resign: 'Elections to the European Parliament was a kind of referendum of the citizens';called gradonačelika resign elections european parliament kind referendum citizens
2019-05-28 12:25:51;und;Little_Efi;Dalmacija;@NinoslavVucetic Europski izbori  - u Splitu SDP najjaci :);;;NinoslavVucetic;0;1;Europski izbori - u Splitu SDP najjaci :);;European elections - the SDP split the elder :);european elections sdp split elder
2019-05-28 11:37:19;und;HRTsport;;Arsenal i Chelsea u borbi za europski trofej https://t.co/5zD2SuHldN;https://sport.hrt.hr/516588/izbori/arsenal-i-chelsea-u-borbi-za-europski-trofej;;;1;4;Arsenal i Chelsea u borbi za europski trofej;;Arsenal and Chelsea in the fight for the European trophy;arsenal chelsea fight european trophy
2019-05-28 11:08:57;und;5tancho;Ri - Zg - Lj trokut.;@ervodje dobra roba kod vas u gradu, a? https://t.co/1A0OduIfrs;https://100posto.hr/news/gradonacelnik-pule-pokusao-je-pred-kamerama-objasniti-zasto-su-vazni-europski-izbori-ali-nikako-mu-nije-islo-kao-da-mu-je-maca-popala-jezik-i-to-dvaput?fbclid=IwAR1iPRfar6AdjJR1o5t3limc7gTrdt7OKuoGNchOrWd6tZD5gexLIgB31sw;;ervodje;0;4;dobra roba kod vas u gradu, a?;;good product you have in the city, huh?;good product city huh
2019-05-28 10:39:51;sl;sferencic;;Stvarno je bolno... https://t.co/w3YN92ZTfi;https://100posto.hr/news/gradonacelnik-pule-pokusao-je-pred-kamerama-objasniti-zasto-su-vazni-europski-izbori-ali-nikako-mu-nije-islo-kao-da-mu-je-maca-popala-jezik-i-to-dvaput;;;0;0;Stvarno je bolno...;;Really hurt...;really hurt
2019-05-28 10:36:51;und;MonikaMoMonique;Republic of Croatia;A mrvica moja mala... pa zločesti novinari ne možete njega tako teška pitanja o EU pitat, on samo o #antifašizam zna puno. 🤣🤣🤣 https://t.co/NVCzv2PagK;https://twitter.com/i/web/status/1133321226804441093;antifašizam;;2;14;A mrvica moja mala... pa zločesti novinari ne možete njega tako teška pitanja o EU pitat, on samo o zna puno. ;🤣🤣🤣;And did my little... so what's wrong with the journalists, can not so difficult questions about the EU question, he just knows a lot.;little whats wrong journalists difficult questions eu question knows lot
