created_at;lang;screen_name;location;full_text;urls;tags;mentions;retweet_count;favorite_count;parsed_text;emoji;english;clean
2019-05-30 22:27:11;hu;TorteiKaroly;;#Háttérkép 2019 05 30 - HÍR TV - Európai választások 2019 https://t.co/hfRYfTS7gP;https://www.youtube.com/watch?v=734ElibHsPU;Háttérkép;;0;0;2019 05 30 - HÍR TV - Európai választások 2019;;2019 05 30 - NEWS TV - European elections 2019;news tv european elections
2019-05-30 14:25:34;hu;TiborSebjan;Magyarország;"https://t.co/oVwBVWfvBH|
Minden korábbinál veszélyesebb ütközőpályán volt a Fidesz a különbíróságok miatt  a Néppártban és az európai bizottságban is elfogadhatatlan volt a kormány igazságszolgáltatásos terve, ami az EP választások után már tarthatatlan lett.";http://444.HU, https://twitter.com/i/web/status/1134103562475016192;;;0;0;Minden korábbinál veszélyesebb ütközőpályán volt a Fidesz a különbíróságok miatt a Néppártban és az európai bizottságban is elfogadhatatlan volt a kormány igazságszolgáltatásos terve, ami az EP választások után már tarthatatlan lett.;;Ever more dangerous collision course was a Member of the special court of the people's Party and the european commission, too, was unacceptable to the government, justice of a plan, which the EP after the elections is already unsustainable now.;ever dangerous collision course member special court peoples party european commission unacceptable government justice plan ep elections already unsustainable
2019-05-28 15:33:16;hu;tenyek_tv2;;"Lezajlottak az idei európai parlamenti választások. 28 tagállamban május 23 és 26 között csaknem négyszázmillió választásra jogosult uniós állampolgár járulhatott az urnákhoz. A népességszámtól függően a legtöbb képviselőt Németország küldheti. #tenyek

https://t.co/qGpyWhpfk9 https://t.co/XT7ZHqqlzF";https://twitter.com/i/web/status/1133395824745025536;;;0;0;Lezajlottak az idei európai parlamenti választások. 28 tagállamban május 23 és 26 között csaknem négyszázmillió választásra jogosult uniós állampolgár járulhatott az urnákhoz. A népességszámtól függően a legtöbb képviselőt Németország küldheti.;;Have taken place in this year's european parliament elections. 28 member states, 23 may and 26 among the nearly four hundred million voters is entitled to a eu citizen contributions could have at the polls. The population depending on the most representative Germany you can send.;taken place years european parliament elections member states may among nearly four hundred million voters entitled eu citizen contributions could polls population depending representative germany send
2019-05-28 14:33:13;hu;tenyek_tv2;;"Rekordrészvétel mellett fölényes győzelmet aratott a Fidesz–KDNP az európai parlamenti választáson. Ezzel szemben több ellenzéki párt is hatalmasat bukott a szavazáson. A választások legnagyobb vesztese az LMP lett. #tenyek

https://t.co/YfOVNKx0yE https://t.co/Lkm2lnWGk3";https://twitter.com/i/web/status/1133380710306336769;;;0;0;Rekordrészvétel mellett fölényes győzelmet aratott a Fidesz–KDNP az európai parlamenti választáson. Ezzel szemben több ellenzéki párt is hatalmasat bukott a szavazáson. A választások legnagyobb vesztese az LMP lett.;;Record attendance won a landslide victory of Fidesz in the european parliament election. In contrast, several opposition party also took a big hit in the polls. The election's biggest loser LMP was.;record attendance landslide victory fidesz european parliament election contrast several opposition party also took big hit polls elections biggest loser lmp
2019-05-28 09:31:07;hu;Europarl_HU;Brüsszel;#EUválasztás2019: a részvételi arány 21 országban növekedett, 7 országban több mint 10 százalékkal. A legnagyobb növekedés a spanyoloknál történt, több mint 20 százalékkal. Összefoglaló cikkünk → https://t.co/9MWcHucgQA https://t.co/eq62CsovVT;https://twitter.com/i/web/status/1133304686214340608;EUválasztás2019;;2;3;: a részvételi arány 21 országban növekedett, 7 országban több mint 10 százalékkal. A legnagyobb növekedés a spanyoloknál történt, több mint 20 százalékkal. Összefoglaló cikkünk →;;: the participation of 21 countries and increased in 7 countries by more than 10 percent. The largest increase in spain happened more than 20 percent. Summary article →;participation countries increased countries percent largest increase spain happened percent summary article →
2019-05-28 07:26:12;hu;jenike5;Mosonmagyaróvár, Magyarország;Political Capital: Nem teljesültek a Fidesz elvárásai az EP-választáson « Mérce https://t.co/jA26sCO7PC;https://merce.hu/pp/2019/05/27/igy-rendezodik-at-az-europai-politika-az-ep-valasztasok-masnapjarol-percrol-percre/political-capital-nem-teljesultek-a-fidesz-elvarasai-az-ep-valasztason/;;;0;0;Political Capital: Nem teljesültek a Fidesz elvárásai az EP-választáson « Mérce;;"Political Capital: Not met the Shareholder's expectations the EP-election, "" Standard";political capital met shareholders expectations epelection standard
2019-05-27 20:43:12;hu;TorteiKaroly;;#Orbán #Viktor:  Rekordrészvétel mellett rekord győzelem - HÍR TV - A 2019-es európai  parlamenti választások 2019 05 26  https://t.co/PXTkWVUcE3;https://twitter.com/i/web/status/1133111435167453184;Orbán, Viktor;;0;0;: Rekordrészvétel mellett rekord győzelem - HÍR TV - A 2019-es európai parlamenti választások 2019 05 26;;: Record attendance record victory - NEWS-TV - THE 2019 european parliamentary elections in 2019 05 26;record attendance record victory newstv european parliamentary elections
2019-05-27 18:06:37;hu;Hireksk;Szlovákia;Rendkívüli találkozót tartanak kedden az Európai Unió tagállamainak vezetői, ennek egyetlen napirendi pontjaként informális egyeztetést folytatnak a múlt héten lezajlott európai parlamenti (EP-) választások eredményéről, illetve a küszöbönálló... https://t.co/OWWIQ40P8H;https://twitter.com/i/web/status/1133072025818488832;;;0;0;Rendkívüli találkozót tartanak kedden az Európai Unió tagállamainak vezetői, ennek egyetlen napirendi pontjaként informális egyeztetést folytatnak a múlt héten lezajlott európai parlamenti (EP-) választások eredményéről, illetve a küszöbönálló...;;An extraordinary meeting will be held on Tuesday, the European Union member states leaders, the only item on the agenda as an informal consult with the last week, which took place in the european parliament (EP) election results and the impending...;extraordinary meeting held tuesday european union member states leaders item agenda informal consult last week took place european parliament ep election results impending
2019-05-27 13:30:02;hu;Erika0417K;;"""Brüsszel (CNN) Az Európai Bizottság elnöke, Jean-Claude Juncker az európai választások előestéjén ""hülye nacionalistákra"" bukkant, amelyben az eurokeptikus politikusok várhatóan nyereséget kapnak az Európai... https://t.co/hJ4CS53FEF";https://twitter.com/i/web/status/1133002424518610944;;;0;0;"""Brüsszel (CNN) Az Európai Bizottság elnöke, Jean-Claude Juncker az európai választások előestéjén ""hülye nacionalistákra"" bukkant, amelyben az eurokeptikus politikusok várhatóan nyereséget kapnak az Európai...";;"""Brussels (CNN) president of The European Commission, Jean-Claude Juncker for the european elections on the eve of ""stupid nationalism to"" show, in which the eurokeptikus politicians are expected to profit from the European...";brussels cnn president european commission jeanclaude juncker european elections eve stupid nationalism show eurokeptikus politicians expected profit european
2019-05-27 13:02:28;hu;EC_Budapest;Budapest, Hungary;"Az európai választások kézzelfogható bizonyítékok adtak arra, hogy az európai demokrácia él és virul.
Az elmúlt 20 év legmagasabb részvételi aránya bizonyítja az európaiak aktív részvételét az Unió jövőjének alakításában.
#EP2019 https://t.co/l9ElrtMvDN https://t.co/lCmj0d94x4";https://twitter.com/i/web/status/1132995485055246336;;;0;0;Az európai választások kézzelfogható bizonyítékok adtak arra, hogy az európai demokrácia él és virul. Az elmúlt 20 év legmagasabb részvételi aránya bizonyítja az európaiak aktív részvételét az Unió jövőjének alakításában.;;The european elections are tangible evidence given that the european democracy is alive and kicking. Over the past 20 years highest level of participation prove the europeans active participation of the Union in shaping the future of.;european elections tangible evidence given european democracy alive kicking past years highest level participation prove europeans active participation union shaping future
