created_at;lang;screen_name;location;full_text;urls;tags;mentions;retweet_count;favorite_count;parsed_text;emoji;english;clean
2019-06-01 14:21:35;lv;politicaanis;Valgunde, Latvija;@Rudmatis @JurgisLiepnieks @VilnisKirsis Ja būtu ārkārtas vēlēšanas kopā ar eiroparlamenta vēlēšanām, viņi (ūsakovs un ameriks) būtu devušies uz eiropas parlamentu vai palikuši rīgā lai slēptu noziegumu pēdas, tagad pēdas dzēšas ''pašas no sevis'' un ušakovam miljons+harēms+pensija+imunitate :) SC labākais variants !;;;Rudmatis, JurgisLiepnieks, VilnisKirsis;0;0;Ja būtu ārkārtas vēlēšanas kopā ar eiroparlamenta vēlēšanām, viņi (ūsakovs un ameriks) būtu devušies uz eiropas parlamentu vai palikuši rīgā lai slēptu noziegumu pēdas, tagad pēdas dzēšas ''pašas no sevis'' un ušakovam miljons+harēms+pensija+imunitate :) SC labākais variants !;;"If there were early elections along with european elections, they ūsakovs, and ameriks should have gone to the european parliament, or remained in riga, in order to hide the crime traces, now, traces of cancel each other out ""by itself"", and ušakovam a million+a harem+pension+imunitate :) SC is the best choice !";early elections along european elections ūsakovs ameriks gone european parliament remained riga order hide crime traces traces cancel ušakovam milliona harempensionimunitate sc best choice
2019-05-31 20:18:07;lv;apollo_lv;Latvia;"Partija bija pazīstama ar nosaukumu Petro Porošenko solidaritātes bloks, tagad tā pārdēvēta par partiju ""Eiropas solidaritāte"". https://t.co/HNaBa51CLK";https://www.apollo.lv/6697129/tuvojas-ukrainas-parlamenta-velesanas-petro-porosenko-ievelets-partijas-lidera-amata?utm_source=twitter.com&utm_medium=social;;;0;0;"Partija bija pazīstama ar nosaukumu Petro Porošenko solidaritātes bloks, tagad tā pārdēvēta par partiju ""Eiropas solidaritāte"".";;The lot was known by the name of Petro Porošenko solidarity of the bloc, now renamed the party of 'European solidarity'.;lot known name petro porošenko solidarity bloc renamed party european solidarity
2019-05-31 06:11:37;lv;EiropasKomisija;Aspazijas bulvāris 28, Rīga;Maijs šogad tiešām ir bijis Eiropas mēnesis: atzīmējām 15 gadus kopš Latvija ir Eiropas Savienībā, piedalījāmies Eiropas vēlēšanās un 9. maijā atzīmējām Eiropas dienu. Mūsu Eiropa ir jauna, ambicioza, radoša! Mēnesi noslēdzam ar atskatu uz Eiropas muzikālā ekspreša tūri 9. maijā! https://t.co/4aRgeBh2uK;;;;0;6;Maijs šogad tiešām ir bijis Eiropas mēnesis: atzīmējām 15 gadus kopš Latvija ir Eiropas Savienībā, piedalījāmies Eiropas vēlēšanās un 9. maijā atzīmējām Eiropas dienu. Mūsu Eiropa ir jauna, ambicioza, radoša! Mēnesi noslēdzam ar atskatu uz Eiropas muzikālā ekspreša tūri 9. maijā!;;In may of this year really has been the month of: marked 15 years since the beginning of Latvia in the European Union, took part in the European elections, and 9. in may, marked the Europe of the day. Our Europe is a young, ambitious, creative! One month until the follow-up to the European music in the express at 9. may!;may year really month marked years since beginning latvia european union took part european elections may marked europe day europe young ambitious creative one month followup european music express may
2019-05-30 17:57:49;lv;igorsluk;Latvia;Kas ir visi šie cilvēki: neērti jautājumi par Eiropas Parlamenta vēlēšanām  Kas ir visi šie cilvēki: neērti jautājumi par Eiropas Parlamenta vēlēšanām : https://t.co/KLmDYxiyXv via @Sputnik_LVRUS;https://sputniknewslv.com/Latvia/20190530/11692242/Eiropas-parlamenta-velesanas-latvija-neskaidribas-aizdomas.html;;Sputnik_LVRUS;0;0;Kas ir visi šie cilvēki: neērti jautājumi par Eiropas Parlamenta vēlēšanām Kas ir visi šie cilvēki: neērti jautājumi par Eiropas Parlamenta vēlēšanām : via;;What are all of these people-uncomfortable questions for the European Parliament elections in Which all of the following people: uncomfortable questions about the elections to the European Parliament : (via;peopleuncomfortable questions european parliament elections following people uncomfortable questions elections european parliament via
2019-05-30 06:05:00;lv;Europarl_LV;Brisele/Strasbūra;"No Latvijas 🇱🇻 Eiropas Parlamentā ievēlēti 8 deputāti. Vai zini, cik deputāti pārstāv mūsu kaimiņvalstis, Lietuvu 🇱🇹 un Igauniju 🇪🇪?

Atbildes mūsu infografikā ➡️ https://t.co/0AVGoiaRwq https://t.co/zEUTZ7ex8L";http://eptwitter.eu/qhJN;;;2;2;No Latvijas Eiropas Parlamentā ievēlēti 8 deputāti. Vai zini, cik deputāti pārstāv mūsu kaimiņvalstis, Lietuvu un Igauniju ? Atbildes mūsu infografikā ;🇱🇻, 🇱🇹, 🇪🇪, ➡️;Of Latvia in the European Parliament, elected members of the 8 council members. Do you want to know how the members of the representative of our neighbouring countries-Lithuania and Estonia ? The response to our infografikā;latvia european parliament elected members council members want know members representative neighbouring countrieslithuania estonia response infografikā
2019-05-29 12:24:29;lv;SudrabaInguna;;Mūsu “Atmodas” komandas vārdā no sirds pateicos par izrādīto atbalstu  Eiropas Parlamenta vēlēšanās. Mēs turpināsim iestāties par mūsu Latviju,  tādu Latviju, kurā tiek cienīts, novērtēts un atbalstīts katrs  iedzīvotājs, kur lēmumi tiek pieņemti cilvēku interesēs. Ar mīlestību!;;;;0;0;Mūsu “Atmodas” komandas vārdā no sirds pateicos par izrādīto atbalstu Eiropas Parlamenta vēlēšanās. Mēs turpināsim iestāties par mūsu Latviju, tādu Latviju, kurā tiek cienīts, novērtēts un atbalstīts katrs iedzīvotājs, kur lēmumi tiek pieņemti cilvēku interesēs. Ar mīlestību!;;For our “Revival” of the team, on behalf of the heart, to thank them for their support in the elections to the European Parliament. We will continue to stand up for our Latvia, the in Latvia, where it is respected, valued and supported by all its inhabitants, where the decisions are taken in people's best interests. With love!!!;“revival” team behalf heart thank support elections european parliament continue stand latvia latvia respected valued supported inhabitants decisions taken peoples best interests love
2019-05-29 10:12:31;lv;LRZinas;Latvia;"‼️ Prezidenta vēlēšanas. Šobrīd ir saskaitītas deputātu balsis.
Ar 61 balsi par jauno Latvijas Valsts prezidentu ir kļuvis Eiropas Savienības Tiesas tiesnesis Egils Levits. https://t.co/YzgxrQWBs4";;;;20;31;‼ Prezidenta vēlēšanas. Šobrīd ir saskaitītas deputātu balsis. Ar 61 balsi par jauno Latvijas Valsts prezidentu ir kļuvis Eiropas Savienības Tiesas tiesnesis Egils Levits.;️;‼ In the presidential election. At the moment it is added the meps ' vote. With 61 votes in favour of the new Latvian president, has become the European Union's Court of justice judge Egils Levits.;‼ presidential election moment added meps vote votes favour new latvian president become european unions court justice judge egils levits
2019-05-29 08:53:57;lv;ltvpanorama;Zaķusala, Rīga, Latvija;Eiropas Parlamentā ievēlētais deputāts @nilsusakovs oficiāli atkāpies no Rīgas domes priekšsēdētāja amata. Jau rīt varētu notikt jaunā mēra vēlēšanas, LTV apstiprināja priekšsēdētāja pienākumu izpildītājs Oļegs Burovs. https://t.co/iCNova2BTR https://t.co/k2O22CGVh3;https://www.lsm.lv/raksts/zinas/latvija/usakovs-atkapjas-no-rigas-mera-amata.a320699/;;nilsusakovs;3;2;Eiropas Parlamentā ievēlētais deputāts oficiāli atkāpies no Rīgas domes priekšsēdētāja amata. Jau rīt varētu notikt jaunā mēra vēlēšanas, LTV apstiprināja priekšsēdētāja pienākumu izpildītājs Oļegs Burovs.;;In the european Parliament, the elected member is officially withdrawn from the Riga city council, the president of the office. The next would take place in a new mayor election, the LTV endorsed by the president of the obligation of the artist Oļegs Burovs.;european parliament elected member officially withdrawn riga city council president office next would take place new mayor election ltv endorsed president obligation artist oļegs burovs
2019-05-29 06:16:28;lv;RezeknesPilseta;Rēzekne;Rēzeknes pilsētas aktualitātes 27.05.2019. Eiropas parlamenta vēlēšanas, spāru svētki Olimpiskajā centrā “Rēzekne”, darbu uzsākšana rūpnīcā Viļakas ielā https://t.co/etpXxgpQ6O via @YouTube;https://youtu.be/P8pbnSCxD0E;;YouTube;0;1;Rēzeknes pilsētas aktualitātes 27.05.2019. Eiropas parlamenta vēlēšanas, spāru svētki Olimpiskajā centrā “Rēzekne”, darbu uzsākšana rūpnīcā Viļakas ielā via;;Rezekne, the city's news 27.05.2019. Elections to the european parliament, the dragonfly festival at the Olympic centre “Rēzekne”, the progress of the factory of the Latvian street of via;rezekne citys news elections european parliament dragonfly festival olympic centre “rēzekne” progress factory latvian street via
2019-05-28 17:53:42;lv;ltvpanorama;Zaķusala, Rīga, Latvija;Ārpus Eiropas Parlamenta palikušās partijas, pārdzīvojušas pirmo zaudējuma rūgtumu, sāk izvērtēt savas kļūdas un gatavojas iekšēji pārgrupēties, lai veiksmīgāk sevi pierādītu pēc diviem gadiem gaidāmajās pašvaldību vēlēšanās. https://t.co/qZ6R8QY7iR https://t.co/bPEUdDjeyg;https://twitter.com/i/web/status/1133431164591583233;;;3;4;Ārpus Eiropas Parlamenta palikušās partijas, pārdzīvojušas pirmo zaudējuma rūgtumu, sāk izvērtēt savas kļūdas un gatavojas iekšēji pārgrupēties, lai veiksmīgāk sevi pierādītu pēc diviem gadiem gaidāmajās pašvaldību vēlēšanās.;;Outside of the European Parliament for the left party, have been the victims of the first for the loss of bitterness, begin to reflect on their own mistakes, and are going on internally pārgrupēties, in order to better themselves to prove the following two years, in the upcoming local government elections.;outside european parliament left party victims first loss bitterness begin reflect mistakes going internally pārgrupēties order better prove following two years upcoming local government elections
