created_at;lang;screen_name;location;full_text;urls;tags;mentions;retweet_count;favorite_count;parsed_text;emoji;english;clean
2019-06-02 21:46:22;nl;trouw;INIT, Amsterdam;Andrea Nahles, leider van de Duitse sociaal-democraten vertrekt. Ze stond steeds meer onder druk na de verkiezingsnederlaag bij de Europese verkiezingen.https://t.co/XLWuIZy8y5;https://www.trouw.nl/democratie/spd-leider-andrea-nahles-stapt-op-vanwege-europees-verkiezingsdrama~a7106420/;;;0;0;Andrea Nahles, leider van de Duitse sociaal-democraten vertrekt. Ze stond steeds meer onder druk na de verkiezingsnederlaag bij de Europese verkiezingen.;;Andrea Nahles, leader of the German social-democratic party you leave. She was also under pressure after the elections. in the elections to the European parliament.;andrea nahles leader german socialdemocratic party leave also pressure elections elections european parliament
2019-06-02 21:02:21;nl;TnKoes;;@ImPblq May 30, 2019 at 02:44PM - Laurent Wauquiez, de voorzitter van de Franse republikeinse oppositiepartij Les Républicains, heeft besloten op te stappen na de nederlaag bij de Europese verkiezingen.;;;ImPblq;0;0;May 30, 2019 at 02:44PM - Laurent Wauquiez, de voorzitter van de Franse republikeinse oppositiepartij Les Républicains, heeft besloten op te stappen na de nederlaag bij de Europese verkiezingen.;;September 30, 2019, at 02:44PM - Laurent Wauquiez, the president of the French republic French government, Les Républicains, had decided to break up after the defeat in the elections to the European parliament.;september pm laurent wauquiez president french republic french government les républicains decided break defeat elections european parliament
2019-06-02 20:51:10;nl;AntjeDiertens;Groningen;Gezellig bijpraten met collega’s over regionale-, landelijke- en Europese politiek. #verkiezingen #toekomst #1happykingdom @samiraraf @NinaDenheyer @ElvisTjin https://t.co/o0OWe3ifhp;;verkiezingen, toekomst, 1happykingdom;samiraraf, NinaDenheyer, ElvisTjin;5;16;Gezellig bijpraten met collega’s over regionale-, landelijke- en Europese politiek.;;Nice to catch up with peers on regional, national and European policies.;nice catch peers regional national european policies
2019-06-02 20:41:59;nl;geertjanhahn;Utrecht, Nederland;3 weken weg van de radioredactie. Een Balkan-reis, Europese Verkiezingen-watching, gepimpte tuin en een gebruinde bakkes in de tas. Nu weer in #030 en opgeladen voor het nieuws. https://t.co/53GKnJNkXx;;;;0;17;3 weken weg van de radioredactie. Een Balkan-reis, Europese Verkiezingen-watching, gepimpte tuin en een gebruinde bakkes in de tas. Nu weer in en opgeladen voor het nieuws.;;3 weeks away from the radioredactie. A Balkan journey, and a European Election-watching, re-skinned the garden, and a tanned face in the bag. Now, go back in and charged for the news.;weeks away radioredactie balkan journey european electionwatching reskinned garden tanned face bag go back charged news
2019-06-02 19:57:51;nl;wheelofchange;BUROKLOTARIJE;@liplezeres raar ... op dit moment vind ik geen resultaten voor de Europese verkiezingen ... 0.0 stemmen ... bron : Binnenlandse Zaken;;;liplezeres;0;1;raar ... op dit moment vind ik geen resultaten voor de Europese verkiezingen ... 0.0 stemmen ... bron : Binnenlandse Zaken;;funny ... at this point, I find no results for the elections to the European parliament ... 0.0 votes,...), source : Internal Affairs;funny point find results elections european parliament votes source internal affairs
2019-06-02 18:35:38;nl;pelsterhof;BERLIN /OLDENBURG/GRONINGEN ;Net een app gehad van een Nederlandse collega uit de NRC van gisteren geschreven door @JuurdEijsvoogel Ik von het een interessant artikel over de groei van Die Grünen die bij de Europese verkiezingen in Duitsland de 2e Partij werden op Bundesebene Groeten uit Berlijn Spandau https://t.co/piNu0Dylgy;;;JuurdEijsvoogel;1;1;Net een app gehad van een Nederlandse collega uit de NRC van gisteren geschreven door Ik von het een interessant artikel over de groei van Die Grünen die bij de Europese verkiezingen in Duitsland de 2e Partij werden op Bundesebene Groeten uit Berlijn Spandau;;The app had a Dutch colleague from the others from yesterday was written by Me this is a very interesting article about the growth of the Greens at the European elections in Germany, the 2nd Party has been Bundesebene Greetings from Berlin-Spandau;app dutch colleague others yesterday written interesting article growth greens european elections germany nd party bundesebene greetings berlinspandau
2019-06-02 18:24:05;nl;PvdaRijswijk;Rijswijk ;Het is maar een peiling maar er is een positieve tendens te zien voor de #PvdA. De fantastische uitslag bij de Europese verkiezingen was niet alleen toe te schrijven aan het Timmermans-effect. Onze partij heeft de weg omhoog gevonden en die moeten we zien vast te houden! 🌹💪🏻 #ev https://t.co/EvI7nddzN3;;PvdA, ev;;0;1;Het is maar een peiling maar er is een positieve tendens te zien voor de . De fantastische uitslag bij de Europese verkiezingen was niet alleen toe te schrijven aan het Timmermans-effect. Onze partij heeft de weg omhoog gevonden en die moeten we zien vast te houden! ;🌹💪🏻;It's just a poll, but there is a positive trend for the . The fantastic result at the European elections was not only due to the He effect. Our party has started to climb again and found that we need to hold on to it!;poll positive trend fantastic result european elections due effect party started climb found need hold
2019-06-02 18:14:34;nl;PVDA_Lier;Lier, België;De Europese verkiezingen: een eerste analyse https://t.co/gpjepJKwNP https://t.co/h2mt2tvUBH;http://dlvr.it/R5tplH;;;0;0;De Europese verkiezingen: een eerste analyse;;European parliament elections: a preliminary analysis;european parliament elections preliminary analysis
2019-06-02 17:24:32;nl;dbousou;Beveren, België;"Oh ja het waren ook Europese verkiezingen in Griekenland. Je weet wel het land met een werkloosheidsgraad van 19% en waar 1 op 5 geconfronteerd wordt met inkomensarmoede. 

De extreemrechtse Gouden Dagenraad haalde amper 5% ...";;;;16;75;Oh ja het waren ook Europese verkiezingen in Griekenland. Je weet wel het land met een werkloosheidsgraad van 19% en waar 1 op 5 geconfronteerd wordt met inkomensarmoede. De extreemrechtse Gouden Dagenraad haalde amper 5% ...;;I have to say it was a European election in Greece as well. You know, the one in the country, with an unemployment rate of 19%, which is 1 to 5 and are faced with income poverty. The far-right Golden Dagenraad got only 5% ...;say european election greece well know one country unemployment rate faced income poverty farright golden dagenraad got
2019-06-02 15:16:31;nl;vnmaijer;Amsterdam, the netherlands;Fijn om vanuit Griekenland #Betrouwbarebronnen te luisteren en duiding van de Europese verkiezingen mee te krijgen. Voelt alsof ik bij @PGKroeger op de kamer zit.;;Betrouwbarebronnen;PGKroeger;1;2;Fijn om vanuit Griekenland te luisteren en duiding van de Europese verkiezingen mee te krijgen. Voelt alsof ik bij op de kamer zit.;;Nice to have, from Greece, to listen to, and interpretations of the elections to the European parliament to get it. It feels like I'm in the room.;nice greece listen interpretations elections european parliament get feels like im room
2019-06-02 14:33:21;nl;___Christianne;;PvdA haalt de meeste stemmen in Rotterdam, terwijl PVV hard onderuit gaat https://t.co/4LS6y26gH1;https://www.nrc.nl/nieuws/2019/06/01/europese-verkiezingen-pvda-haalt-de-meeste-stemmen-in-rotterdam-terwijl-pvv-hard-onderuit-gaat-a3961916;;;0;1;PvdA haalt de meeste stemmen in Rotterdam, terwijl PVV hard onderuit gaat;;The labour party gets most of the votes in Rotterdam, while the ONLY hard and won;labour party gets votes rotterdam hard
2019-06-02 14:32:01;nl;EP_Belgium;Brussels;#EUverkiezingen2019 : wat gebeurt er na de Europese verkiezingen? Bekijk het in onze infografiek ➡️https://t.co/bA4nCUeWVJ https://t.co/6OjwwR5yMX;http://bit.ly/2YUTGfX;EUverkiezingen2019;;0;0;: wat gebeurt er na de Europese verkiezingen? Bekijk het in onze infografiek ;➡️;what happens after the election? Check out our infographic;happens election check infographic
2019-06-02 14:26:02;nl;FD_Nieuws;Netherlands;Overleeft centrum-rechts in Frankrijk de Europese verkiezingen? Rechts in Frankrijk verkeert in een terminale fase. https://t.co/pmgq3XMXtZ;https://fd.nl/economie-politiek/1303525/rechts-in-frankrijk-is-in-een-terminale-fase;;;0;0;Overleeft centrum-rechts in Frankrijk de Europese verkiezingen? Rechts in Frankrijk verkeert in een terminale fase.;;Surviving are the centre-right in France and in the European elections? The right in France, you are in a terminal stage.;surviving centreright france european elections right france terminal stage
2019-06-02 14:18:02;nl;migpolitiek;Nederland;PvdA haalt de meeste stemmen in Rotterdam, terwijl PVV hard onderuit gaat https://t.co/HggiWFV3Yb;https://www.nrc.nl/nieuws/2019/06/01/europese-verkiezingen-pvda-haalt-de-meeste-stemmen-in-rotterdam-terwijl-pvv-hard-onderuit-gaat-a3961916;;;0;0;PvdA haalt de meeste stemmen in Rotterdam, terwijl PVV hard onderuit gaat;;The labour party gets most of the votes in Rotterdam, while the ONLY hard and won;labour party gets votes rotterdam hard
2019-06-02 13:59:32;nl;AFABakker;Hilversum;Nog even de #Europese verkiezingen. Tories in de #UK pakken slechts 4 zetels;;Europese, UK;;0;0;Nog even de verkiezingen. Tories in de pakken slechts 4 zetels;;Had a look at the elections in the country. Tories in the pack only has 4 seats;look elections country tories pack seats
