created_at;lang;screen_name;location;full_text;urls;tags;mentions;retweet_count;favorite_count;parsed_text;emoji;english;clean
2019-06-02 23:16:22;pl;kaliber308win;Łódzkie, Polska;@InsurgentNow @tvp_info @KosiniakKamysz Nikt się nie pogryzł koalicja europejska jak nazwa wskazuje była na wybory europejskie. Choć z pewnością nasi koalicjanci popełnili błąd skręcając za bardzo w lewo.;;;InsurgentNow, tvp_info, KosiniakKamysz;0;0;Nikt się nie pogryzł koalicja europejska jak nazwa wskazuje była na wybory europejskie. Choć z pewnością nasi koalicjanci popełnili błąd skręcając za bardzo w lewo.;;No one bites the coalition Union as its name indicates, was on the European elections. Although, of course, our koalicjanci made the mistake of turning over the very left.;one bites coalition union name indicates european elections although course koalicjanci made mistake turning left
2019-06-02 21:31:26;pl;kaliber308win;Łódzkie, Polska;@waldemarkowal Koalicja Europejska jak sama nazwa wskazuje była na wybory europejskie.;;;waldemarkowal;0;0;Koalicja Europejska jak sama nazwa wskazuje była na wybory europejskie.;;A coalition of Union, as the name indicates, it was the European elections.;coalition union name indicates european elections
2019-06-02 20:21:31;pl;aaaby86;;@KLubnauer Każdy kto nie poszedł na wybory europejskie powinien za karę codziennie oglądać przez 1 godzinę TVP Info aż do kolejnych wyborów!;;;KLubnauer;0;0;Każdy kto nie poszedł na wybory europejskie powinien za karę codziennie oglądać przez 1 godzinę TVP Info aż do kolejnych wyborów!;;Everyone who went to the polls, the European, should be punished to watch every day for 1 hour TVP Info, until the next election!;everyone went polls european punished watch every day hour tvp info next election
2019-06-02 19:22:41;pl;polishwalker;Asia;@lis_tomasz @macdac Bardzo jestem ciekawy jaki będzie przebieg tych obchodów. Bo przegrane wybory europejskie osłabiły ich range i oczekiwania  co do przemówienia DT.;;;lis_tomasz, macdac;0;0;Bardzo jestem ciekawy jaki będzie przebieg tych obchodów. Bo przegrane wybory europejskie osłabiły ich range i oczekiwania co do przemówienia DT.;;Very interesting to me, what will be the mileage of these celebrations. Because the loser of the elections, the European weakened their range and expectations regarding the performance of the DT.;interesting mileage celebrations loser elections european weakened range expectations regarding performance dt
2019-06-02 17:16:43;pl;waldemarkowal;;"#Kosiniak w kampanii: Oni są silni w gębie, zwarci przy żłobie i gotowi do ucieczki! Zwyciężmy wybory europejskie, to będzie 1. tura wyborów parlamentarnych. Dziękuję KE, że możemy wspólnie w tej różnorodności być razem. 
#Kosiniak po wyborach: Wychodzimy z KE https://t.co/ZPn5vQCDn7";;Kosiniak, Kosiniak;;79;160;w kampanii: Oni są silni w gębie, zwarci przy żłobie i gotowi do ucieczki! Zwyciężmy wybory europejskie, to będzie 1. tura wyborów parlamentarnych. Dziękuję KE, że możemy wspólnie w tej różnorodności być razem. po wyborach: Wychodzimy z KE;;in the campaign: They are strong when dense at the nursery and ready to go! Zwyciężmy European elections, it will be 1. round of parliamentary elections. Thanks KE, that we are together in this variety to be together. after the election: we KE;campaign strong dense nursery ready go zwyciężmy european elections round parliamentary elections thanks ke together variety together election ke
2019-06-02 16:58:39;pl;Heavy000M;kikół;"No to PiS następne wybory wygrane Tak  trzymać  😂II miejsce w konkursie na plakat ""30 Lat Wolności"" II miejsce w konkursie na plakat ""30 Lat Wolności"" zorganizowanym przez Europejskie Centrum Solidarności https://t.co/0LiiytlqEG";;;;0;2;"No to PiS następne wybory wygrane Tak trzymać II miejsce w konkursie na plakat ""30 Lat Wolności"" II miejsce w konkursie na plakat ""30 Lat Wolności"" zorganizowanym przez Europejskie Centrum Solidarności";😂;"Well PiS wins the next election, So keep II place in the competition for the poster of ""30 years of Freedom"", II place in the competition for the poster of ""30 years of Freedom"" organized by the European Solidarity Centre";well pis wins next election keep ii place competition poster years freedom ii place competition poster years freedom organized european solidarity centre
2019-06-02 13:46:05;pl;Bocciarelli_W;;"@pkgrabowski @ricenola1 @PSzubartowicz Moment... moment: ""Co do Konfederacji to też chyba był tylko pomysł na wybory europejskie."" Byl w ogole taki pomysł? Kogo?";;;pkgrabowski, ricenola1, PSzubartowicz;0;0;"Moment... moment: ""Co do Konfederacji to też chyba był tylko pomysł na wybory europejskie."" Byl w ogole taki pomysł? Kogo?";;"Moment... the moment: ""as for the Confederation, too, probably, was only an idea in the European elections."" Was, in General, such an idea? Who?";moment moment confederation probably idea european elections general idea
2019-06-02 11:57:35;pl;OllaAllex;Śląskie, Polska;@lucekteam Jedynie co zostaje opozycji to zmobilizować tych którzy nie poszli na wybory a nie są PiS wyznawcami. Dużo nie poszło bo byli przekonani,że KE wygra, bo wyborcy PiS nie chodzą na wybory europejskie.;;;lucekteam;2;31;Jedynie co zostaje opozycji to zmobilizować tych którzy nie poszli na wybory a nie są PiS wyznawcami. Dużo nie poszło bo byli przekonani,że KE wygra, bo wyborcy PiS nie chodzą na wybory europejskie.;;The only thing that remains of opposition is to mobilize those who went to the polls, not the CHRI followers. A lot of it's not, because were convinced that the EC will win because the voters IPRs do not go to the polls, the European.;thing remains opposition mobilize went polls chri followers lot convinced ec win voters iprs go polls european
2019-06-02 09:59:03;pl;DziennikPL;Polska;Katastrofalny wynik SPD w wyborach europejskich. Szefowa partii podaje się do dymisji https://t.co/AICFfjAJjp;https://wiadomosci.dziennik.pl/swiat/artykuly/599260,spd-niemcy-wybory-europejskie.html?utm_source=dlvr.it&utm_medium=twitter;;;2;0;Katastrofalny wynik SPD w wyborach europejskich. Szefowa partii podaje się do dymisji;;The catastrophic result of the SPD in the European elections. The head of the party resigned;catastrophic result spd european elections head party resigned
2019-06-02 08:38:38;pl;kdwojakowski;;@chelseaqqqq @T_Stanislawski Na wybory europejskie to przechodziło, ale na jesieni to będzie kłopot. Duży kłopot.;;;chelseaqqqq, T_Stanislawski;0;1;Na wybory europejskie to przechodziło, ale na jesieni to będzie kłopot. Duży kłopot.;;The European election is held, but in the autumn-it will be a problem. - A big problem.;european election held autumnit problem big problem
2019-06-02 08:01:13;pl;matikurek013;Jasło, Polska;PSL według mnie się tak pogubił ze pierwsze przegrał wybory europejskie poprzez włączenie się do koalicji anty kościelnej a teraz przegra po raz drugi nie osiągając progu wyborczego do polskiego sejmu #woronicza17;;woronicza17;;0;1;PSL według mnie się tak pogubił ze pierwsze przegrał wybory europejskie poprzez włączenie się do koalicji anty kościelnej a teraz przegra po raz drugi nie osiągając progu wyborczego do polskiego sejmu;;PSL, in my opinion, so he was confused that the first European elections lost by the inclusion in the coalition of anti-Church and now loses a second time before reaching the threshold of the election of the Polish Sejm;psl opinion confused first european elections lost inclusion coalition antichurch loses second time reaching threshold election polish sejm
2019-06-01 23:05:56;pl;waldemarkowal;;"#Kosiniak 18 maja: To jest 1. tura wyborów. musimy wygrać wybory europejskie, żeby wygrać na jesieni. Zjednoczyliśmy opozycję, zwyciężymy!
#Kosiniak 1 czerwca: Wychodzimy z Koalicji Europejskiej. https://t.co/w3c4AzztY6";;Kosiniak, Kosiniak;;178;443;18 maja: To jest 1. tura wyborów. musimy wygrać wybory europejskie, żeby wygrać na jesieni. Zjednoczyliśmy opozycję, zwyciężymy! 1 czerwca: Wychodzimy z Koalicji Europejskiej.;;May 18: 1. round of elections. we must win the European elections to win in the fall. We, the opposition, we will win! June 1: we Leave from the Coalition of the Union.;may round elections must win european elections win fall opposition win june leave coalition union
2019-06-01 13:27:07;pl;politycznynotes;;"Widzicie głupi ludzie ""PISowski"" nie rozumiecie, że to były tylko wybory europejskie, wykształceni młodzi z wielkich miast to rozumieli...  :)) Ludzie PISowski wy głupcy jesteście!!! LOL 😂 https://t.co/WUJlcHu73z";https://twitter.com/WojSadurski/status/1134596898923270147;;;0;1;"Widzicie głupi ludzie ""PISowski"" nie rozumiecie, że to były tylko wybory europejskie, wykształceni młodzi z wielkich miast to rozumieli... :)) Ludzie PISowski wy głupcy jesteście!!! LOL ";😂;"You see stupid people ""PISowski"" don't you realize that it was only the European elections, the educated young from the big cities knew it... :)) People PISowski you fools you!!! LOL";see stupid people pisowski dont realize european elections educated young big cities knew people pisowski fools lol
2019-06-01 11:30:57;pl;alfred_kopaczel;;@Cyntia_Harasim Nawet się starają. Mają swoich piarowców. Speców od kampanii. Tyle, że mierzą wyborców swoją miarą. Im się w pałach inna miara nie mieści. Będą przegrywać kolejne wybory. Zostaną z ręką w nocniku, a w nim gówno nowoczesne i europejskie. PiS ich rozgrywa profesjonalnie. Oni o lgbt;;;Cyntia_Harasim;0;1;Nawet się starają. Mają swoich piarowców. Speców od kampanii. Tyle, że mierzą wyborców swoją miarą. Im się w pałach inna miara nie mieści. Będą przegrywać kolejne wybory. Zostaną z ręką w nocniku, a w nim gówno nowoczesne i europejskie. PiS ich rozgrywa profesjonalnie. Oni o lgbt;;Even try. Have their piarowców. Something from the campaign. So that the measure of voters for his measure. Them pałach other measure is not. Will lose the next elections. Will hand in the pot, and shit and modern European. PiS plays them professionally. They are about LGBT people;even try piarowców something campaign measure voters measure pałach measure lose next elections hand pot shit modern european pis plays professionally lgbt people
2019-06-01 09:41:41;pl;Miosz47634079;;@piszczel77 @Jakub_Stefaniak @KosiniakKamysz @nowePSL Dla PSL będzie lepiej jeżeli do KE nie dołączy , bo przecież już w niej nie jest bo to był projekt na wybory europejskie .;;;piszczel77, Jakub_Stefaniak, KosiniakKamysz, nowePSL;0;3;Dla PSL będzie lepiej jeżeli do KE nie dołączy , bo przecież już w niej nie jest bo to był projekt na wybory europejskie .;;For PSL would be best if the EC did not join because I'm already in it, not because it was a project on European elections .;psl would best ec join im already project european elections
2019-06-01 09:32:41;pl;AnitaSchelde;Ziemie Wyzyskane;"Panie Profesorze Sadurski...myślenie życzeniowe NIC nie pomoże 😃.
Primo : dla KE ważniejsze są wybory europejskie (patrz : synekury)
Secundo : w krajowych dostaniecie jeszcze większe bęcki.
Terzo : potrzeba Nam jeszcze dwóch kadencji...żeby zaorać Was na wieki,wieków,Amen 🙏. https://t.co/s3etRkbhnr";https://twitter.com/WojSadurski/status/1134596898923270147;;;98;295;Panie Profesorze Sadurski...myślenie życzeniowe NIC nie pomoże . Primo : dla KE ważniejsze są wybory europejskie (patrz : synekury) Secundo : w krajowych dostaniecie jeszcze większe bęcki. Terzo : potrzeba Nam jeszcze dwóch kadencji...żeby zaorać Was na wieki,wieków,Amen .;😃, 🙏;Professor Sadurski...wishful thinking NOTHING will help . Primo : for the EC is more important than the European elections (see : synekury) From : national will get more than you are. Tarja : We need two more time...to plow You for ever,Amen .;professor sadurskiwishful thinking nothing help primo ec important european elections see synekury national get tarja need two timeto plow everamen
