created_at;lang;screen_name;location;full_text;urls;tags;mentions;retweet_count;favorite_count;parsed_text;emoji;english;clean
2019-06-02 12:28:44;ro;2am_eu;;Germania: Demisia şefei Partidului Social Democrat după pierderile grele în alegerile europene...;;;;0;0;Germania: Demisia şefei Partidului Social Democrat după pierderile grele în alegerile europene...;;Germany: the Resignation of the head of the Social Democratic Party, after the heavy losses in the elections to the european...;germany resignation head social democratic party heavy losses elections european
2019-06-02 12:01:32;ro;DanAlexe007;;"O disuție cu Vasile Botnaru și ex-diplomata franceză Véronique North-Minca despre de ce rezultatul alegerilor europene este în mare foarte pozitiv.

După alegerile parlamentare: ce fel de Europă se vede acolo, la capătul tunelului? (VIDEO) https://t.co/fthHPBSnJD";https://moldova.europalibera.org/a/punct-si-de-la-capat/29976982.html;;;0;2;O disuție cu Vasile Botnaru și ex-diplomata franceză Véronique North-Minca despre de ce rezultatul alegerilor europene este în mare foarte pozitiv. După alegerile parlamentare: ce fel de Europă se vede acolo, la capătul tunelului? (VIDEO);;A disuție, according to a report, the u.s. and the former ambassador of the French Véronique North-Minca on the results of the european elections, it is in a very positive way. After the elections: which way for Europe to be seen at the end of the tunnel? (VIDEO);disuție according report us former ambassador french véronique northminca results european elections positive way elections way europe seen end tunnel video
2019-06-02 11:55:00;ro;agerpres;Bucharest, Romania;Germania: Demisia şefei Partidului Social Democrat după pierderile grele în alegerile europene https://t.co/GuH9kZ0VI6;https://www.agerpres.ro/politica-externa/2019/06/02/germania-demisia-sefei-partidului-social-democrat-dupa-pierderile-grele-in-alegerile-europene--319066;;;0;1;Germania: Demisia şefei Partidului Social Democrat după pierderile grele în alegerile europene;;Germany: the Resignation of the head of the Social Democratic Party, after the heavy losses in the european elections.;germany resignation head social democratic party heavy losses european elections
2019-06-01 11:21:21;ro;florincosmaro;;Alegerile Europene 2019 - primele impresii https://t.co/KygvBTlFxQ via @florincosmaro;http://florincosma.ro/alegerile-europene-2019-primele-impresii/;;florincosmaro;0;0;Alegerile Europene 2019 - primele impresii via;;The European elections of 2019 - the first impressions of life;european elections first impressions life
2019-05-31 11:54:03;ro;RFI_Romania;Bucureşti, România;Theodor Paleologu, fost ministru al Culturii, despre vizita Papei Francisc și alegerile europene https://t.co/7LWdSEckEe #InvitatulDiminetii #Politica #TheodorPaleologu;https://www.rfi.ro/invitatul-diminetii-111933-theodor-paleologu-fost-ministru-vizita-papa-francisc-alegeri#.XPEVszWp1iw.twitter;InvitatulDiminetii, Politica, TheodorPaleologu;;1;1;Theodor Paleologu, fost ministru al Culturii, despre vizita Papei Francisc și alegerile europene;;Theodor Paleologu, minister of Culture, on the visit of Pope Francis, and the european elections;theodor paleologu minister culture visit pope francis european elections
2019-05-31 11:11:20;ro;Newspad_Romania;Romania;New York Times: Papa Francisc efectuează o vizită în România pentru a avertiza cu privire la pericolul populismului, în ascensiune în Europa după alegerile europene. https://t.co/wWQadgFKi6;http://bit.ly/2XjxzPY;;;0;0;New York Times: Papa Francisc efectuează o vizită în România pentru a avertiza cu privire la pericolul populismului, în ascensiune în Europa după alegerile europene.;;The New York Times: Pope Francis, paying an official visit to Romania, in order to warn you of the dangers of populism, in the build-up in Europe after the european elections.;new york times pope francis paying official visit romania order warn dangers populism buildup europe european elections
2019-05-31 08:50:12;ro;GheorgheLatesc2;Moldova;BEC – Primele rezultate parțiale: PNL câștigă cu 29,43% alegerile europene în România după o prezență record la urne. Alianța USR PLUS obține 61% la votul în diaspora - https://t.co/tq0U1BY23B;https://www.caleaeuropeana.ro/bec-primele-rezultate-partiale-pnl-castiga-cu-2943-alegerile-europene-in-romania-dupa-o-prezenta-record-la-urne-alianta-usr-plus-obtine-61-la-votul-in-diaspora/;;;1;1;BEC – Primele rezultate parțiale: PNL câștigă cu 29,43% alegerile europene în România după o prezență record la urne. Alianța USR PLUS obține 61% la votul în diaspora -;;The light BULB – the First partial results: the NLP wins 29,43% the european elections in the country following a record turnout at the polls. The alliance of the U. PLUS, get 61% of the vote in the diaspora;light bulb – first partial results nlp wins european elections country following record turnout polls alliance u plus get vote diaspora
2019-05-31 08:35:14;ro;GheorgheLatesc2;Moldova;Joseph Daul, președintele PPE, califică victoria forțelor politice de centru-dreapta din România în alegerile europene drept o victorie pentru statul de drept și independența justiției - https://t.co/mIoRIaHn1t;https://www.caleaeuropeana.ro/joseph-daul-presedintele-ppe-califica-victoria-fortelor-politice-de-centru-dreapta-din-romania-in-alegerile-europene-drept-o-victorie-pentru-statul-de-drept-si-independenta-justitiei/;;;0;0;Joseph Daul, președintele PPE, califică victoria forțelor politice de centru-dreapta din România în alegerile europene drept o victorie pentru statul de drept și independența justiției -;;Joseph Daul chairman of the EPP group considers it a victory of the political forces of the centre-right in Romania, in the european elections as a victory for the rule of law and the independence of the judiciary system -;joseph daul chairman epp group considers victory political forces centreright romania european elections victory rule law independence judiciary system
2019-05-30 16:59:57;ro;AndreiCismaru;bucharest;"@piggiebrotha si s-a tinut de cuvant 

""La rândul său, Tăriceanu a i-a transmis lui Verhofstad, înainte de alegerile europene, că ALDE Ro nu-l va mai sprijini în Parlamentul European.""";;;piggiebrotha;0;2;"si s-a tinut de cuvant ""La rândul său, Tăriceanu a i-a transmis lui Verhofstad, înainte de alegerile europene, că ALDE Ro nu-l va mai sprijini în Parlamentul European.""";;"and he kept his word, ""In turn, he suggested he had sent his Verhofstad, ahead of the european elections, that I will continue to support it in Parliament.""";kept word turn suggested sent verhofstad ahead european elections continue support parliament
2019-05-30 07:44:45;ro;Radupress;Petrosani;Alegerile europene din 2019, desfășurate la 40 de ani distanță de la primele alegeri pentru Parlamentul European, s-au încheiat cu cea mai... https://t.co/4PNRbqvaDk;https://www.caleaeuropeana.ro/bec-rezultate-finale-cine-sunt-cei-32-de-eurodeputati-care-vor-reprezenta-romania-in-parlamentul-european/;;;0;0;Alegerile europene din 2019, desfășurate la 40 de ani distanță de la primele alegeri pentru Parlamentul European, s-au încheiat cu cea mai...;;The european elections of 2019, held in the 40 years since the first direct election to the European Parliament, came to an end with the...;european elections held years since first direct election european parliament came end
