created_at;lang;screen_name;location;full_text;urls;tags;mentions;retweet_count;favorite_count;parsed_text;emoji;english;clean
2019-06-02 16:00:35;sl;SpletnaMladina;Ljubljana, Slovenija;Evropske volitve so potrdile staro politično nakano, da v propadajočih politično-ekonomskih skupnostih spremembe pomenijo zgolj utrjevanje statusa quo. Novi obrazi so zgolj pokritje za premik EU iz votlega v prazno. Piše Bogomir Kovač. https://t.co/ZiLNY5NW2J #Mladina22 #kolumna;http://j.mp/2I5RHig;Mladina22, kolumna;;0;4;Evropske volitve so potrdile staro politično nakano, da v propadajočih politično-ekonomskih skupnostih spremembe pomenijo zgolj utrjevanje statusa quo. Novi obrazi so zgolj pokritje za premik EU iz votlega v prazno. Piše Bogomir Kovač.;;The european elections were confirmed by the old political nakano, in the run-down of the political and economic communities can change as a mere affirmation of the status quo. The new faces were a mere cover to move the EU out of the hollow in the blank. It Says Bogomir Kovač.;european elections confirmed old political nakano rundown political economic communities change mere affirmation status quo new faces mere cover move eu hollow blank says bogomir kovač
2019-06-02 14:30:00;sl;Dnevnik_si;Ljubljana;"V Sloveniji te evropske volitve niso pokazale, da je šlo za temeljne usmeritve Evrope, da se je tokrat zares odločalo o usodi Evrope. Za nas, ne pa tudi za preostali del Evrope, so bile volitve zgolj »business as usual« (normalno stanje stvari). 
https://t.co/M5l1pT3LFr";https://www.dnevnik.si/1042887913;;;0;0;V Sloveniji te evropske volitve niso pokazale, da je šlo za temeljne usmeritve Evrope, da se je tokrat zares odločalo o usodi Evrope. Za nas, ne pa tudi za preostali del Evrope, so bile volitve zgolj »business as usual« (normalno stanje stvari).;;"In Slovenia, these european elections have not shown that there has been a fundamental policy of Europe, that is the time to really decide the fate of Europe. For all of us, but not to the rest of Europe, the elections were merely a ""business as usual"" (normal stuff).";slovenia european elections shown fundamental policy europe time really decide fate europe us rest europe elections merely business usual normal stuff
2019-06-02 08:37:47;sl;dtadejd;;@miran_lipovec @Komar4442 @KLaznik Šlo je za evropske  volitve, na podlagi glasovanj v EU parlamentu so bili zavezniki Zver, Židan (EPP, PES). Jelinčič je podprl SLO proračun in je torej tudi zaveznik SD, levice, SAB, LMŠ, SAB. Kje vidiš razliko med njimi? Na podlagi dejstev je edini rival vseh naštetih je BB.;;;miran_lipovec, Komar4442, KLaznik;0;3;Šlo je za evropske volitve, na podlagi glasovanj v EU parlamentu so bili zavezniki Zver, Židan (EPP, PES). Jelinčič je podprl SLO proračun in je torej tudi zaveznik SD, levice, SAB, LMŠ, SAB. Kje vidiš razliko med njimi? Na podlagi dejstev je edini rival vseh naštetih je BB.;;It was for the european elections, on the basis of voting in the EU parliament, they were allies, the Beast, Židan (EPP, ESP). Jelinčič was supported by the DESIRE of the budget, and it is, therefore, also an ally of the SD card of the left, SAB, LMŠ, SAB. Where do you see the difference between them? On the basis of the facts, is the only rival of all of the above is BB.;european elections basis voting eu parliament allies beast židan epp esp jelinčič supported desire budget therefore also ally sd card left sab lmš sab see difference basis facts rival bb
2019-06-02 08:00:00;sl;EP_Slovenija;Dunajska 20, Ljubljana, SI;"#Napovednik
Evropske volitve so za nami. V tednu do 9. junija pripravljamo za vas: 
⏩Evropske volitve in kaj sledi 🗳
⏩Doživi Evropo na Čarobnem dnevu v Ljubljani, v nedeljo, 9.junija 🎊
#DoživiEvropo #lepovabljeni #epslo https://t.co/1snwr0NOgZ";;Napovednik, DoživiEvropo, lepovabljeni, epslo;;0;1;Evropske volitve so za nami. V tednu do 9. junija pripravljamo za vas: ⏩Evropske volitve in kaj sledi ⏩Doživi Evropo na Čarobnem dnevu v Ljubljani, v nedeljo, 9.junija ;🗳, 🎊;The european elections are behind us. In the week up to 9. in June, we are organizing for you: ⏩of the European elections and what's next ⏩Experience Europe at a Time a day in Ljubljana, on Sunday, 9th.in June;european elections behind us week june organizing ⏩of european elections whats next ⏩experience europe time day ljubljana sunday thin june
2019-06-02 07:04:28;sl;TaTrenutek;Slovenija;"Evropske volitve so v Evropski parlament prinesle celo vrsto zelo nenavadnih likov. Na Hrvaškem vzbuja pozornost evropska poslanka, ki se ne odreka ustaštvu.

https://t.co/EvbkdkldJO";http://ow.ly/DpSj50uuBUJ;;;1;1;Evropske volitve so v Evropski parlament prinesle celo vrsto zelo nenavadnih likov. Na Hrvaškem vzbuja pozornost evropska poslanka, ki se ne odreka ustaštvu.;;In the european elections for the European parliament to provide a whole series of very unusual characters. On the other attracts the attention of the european messenger, which is not denied ustaštvu.;european elections european parliament provide whole series unusual characters attracts attention european messenger denied ustaštvu
2019-05-31 17:30:08;sl;Val202;Ljubljana, Slovenia;"Iger še ni konec, evropske volitve pa so za nami. Veliko stolov se kislo drži, ko pomislijo na ekstremistične in nazadnjaške zadnjice, ki bodo sedle nanje. Opazovala sta jih špicentehnik Gašper Loborec in centrifugenžurnalistka Tatjana Pirc. 🔄⬇ 
https://t.co/mtKfn35fYm";http://j.mp/30Q7OsK;;;0;0;Iger še ni konec, evropske volitve pa so za nami. Veliko stolov se kislo drži, ko pomislijo na ekstremistične in nazadnjaške zadnjice, ki bodo sedle nanje. Opazovala sta jih špicentehnik Gašper Loborec in centrifugenžurnalistka Tatjana Pirc. ;🔄⬇;Game is not over yet, the election for the us. A lot of the chairs is an attitude, when you think about the extremist left and the nazadnjaške the buttocks, which will be a sedle of them. So, are you špicentehnik Gašper Loborec, and centrifugenžurnalistka Tatjana Pirc.;game yet election us lot chairs attitude think extremist left nazadnjaške buttocks sedle špicentehnik gašper loborec centrifugenžurnalistka tatjana pirc
2019-05-31 14:14:34;sl;Delo;;"Volitve so politični zemljevid Evropske unije na novo razmejile: na zeleni zahod in nezeleni vzhod.
Piše: @SandraHanzic
https://t.co/DyERqfaAHB";https://www.delo.si/novice/slovenija/brez-prave-in-trajne-zelene-ponudbe-ni-niti-povprasevanja-190408.html;;SandraHanzic;2;4;Volitve so politični zemljevid Evropske unije na novo razmejile: na zeleni zahod in nezeleni vzhod. Piše:;;An election was held, the political map of the European union in the new razmejile: on the green, in the west, and the nezeleni the east. It says:;election held political map european union new razmejile green west nezeleni east says
2019-05-31 06:54:21;sl;UrosEsih;Ljubljana;Državljani posameznih držav članic EU so prejeli dvojno vabilo na volitve. Še vedno ni rešeno vprašanje oseb z dvojnim državljanstvom https://t.co/HtrAE5aXoM;https://www.vecer.com/evropske-volitve-2019-nekateri-so-volili-dvakrat-10017057;;;0;0;Državljani posameznih držav članic EU so prejeli dvojno vabilo na volitve. Še vedno ni rešeno vprašanje oseb z dvojnim državljanstvom;;The citizens of the individual member states of the EU, they will receive a double invitation to the election. Still have not resolved the issue of persons with dual nationality;citizens individual member states eu receive double invitation election still resolved issue persons dual nationality
2019-05-31 06:46:00;sl;Vestnik_si;Republic of Slovenia;"Kot so nas opozorili bralci, ki delajo v evropskih institucijah v Bruslju, so številni njihovi sodelavci iz različnih držav EU, ki imajo tam prijavljeno začasno prebivališče, dobili dvojno vabilo na volitve. #vestnik
https://t.co/SKZ3vofVH0";https://www.vestnik.si/evropske-volitve-nekateri-so-volili-dvakrat-10017198;vestnik;;0;0;Kot so nas opozorili bralci, ki delajo v evropskih institucijah v Bruslju, so številni njihovi sodelavci iz različnih držav EU, ki imajo tam prijavljeno začasno prebivališče, dobili dvojno vabilo na volitve.;;As we warned readers that the work of the european institutions in Brussels, and a number of their colleagues from different EU member states, of which there is a registered temporary residence, will get a double invitation to the election.;warned readers work european institutions brussels number colleagues different eu member states registered temporary residence get double invitation election
2019-05-31 05:44:22;sl;MatijaStepisnik;Maribor;(EVROPSKE VOLITVE 2019) Nekateri so volili dvakrat. Državljani posameznih držav članic EU so prejeli dvojno vabilo na volitve. Še vedno ni rešeno vprašanje oseb z dvojnim državljanstvom. Piše Timotej Milanov. https://t.co/kOO6gyx1Md;https://www.vecer.com/evropske-volitve-2019-nekateri-so-volili-dvakrat-10017057;;;1;0;(EVROPSKE VOLITVE 2019) Nekateri so volili dvakrat. Državljani posameznih držav članic EU so prejeli dvojno vabilo na volitve. Še vedno ni rešeno vprašanje oseb z dvojnim državljanstvom. Piše Timotej Milanov.;;"(The EUROPEAN ELECTIONS of 2019) Some of them are volili twice. The citizens of the individual member states of the EU, they will receive a double invitation to the election. Still have not resolved the issue of persons with dual nationality. It Says; Timothy Milanov.";european elections volili twice citizens individual member states eu receive double invitation election still resolved issue persons dual nationality says timothy milanov
