created_at;lang;screen_name;location;full_text;urls;tags;mentions;retweet_count;favorite_count;parsed_text;emoji;english;clean
2019-06-02 23:43:05;sv;SR_Nyheter;Sverige;.@sr_ekot: Tunga avhopp efter EU-valet https://t.co/LplnGvXHui https://t.co/7l9HPGGULd;https://t.sr.se/2JSdFsi;;sr_ekot;0;0;.: Tunga avhopp efter EU-valet;;.: The heavy drop-out after the EUROPEAN parliament elections;heavy dropout european parliament elections
2019-06-02 23:35:32;sv;BrittLind2;;Bättre resultat för AfS i EU-valet än riksdagsvalet men långt under opinionsmätning https://t.co/cEHrZ8Tgjz;https://samnytt.se/battre-resultat-for-afs-i-eu-valet-an-riksdagsvalet-men-langt-under-opinionsmatning/;;;0;0;Bättre resultat för AfS i EU-valet än riksdagsvalet men långt under opinionsmätning;;Better for It in the EUROPEAN election than in the parliamentary elections, but in the public opinion poll;better european election parliamentary elections public opinion poll
2019-06-02 21:51:38;sv;Jefasth2;Sverige;@PompesSon @strandhall Klokskap och kunnande är inget signum för en minister  EU-valet gav nyligen skrämmande  bevis  Ex : Fritzon , Kuhnke etc...;;;PompesSon, strandhall;0;2;Klokskap och kunnande är inget signum för en minister EU-valet gav nyligen skrämmande bevis Ex : Fritzon , Kuhnke etc...;;Wisdom and knowledge are not the attributes of a minister for the EUROPEAN elections, the recent horrifying evidence, E.g. Fritzon , Kuhnke, etc.;wisdom knowledge attributes minister european elections recent horrifying evidence eg fritzon kuhnke etc
2019-06-02 21:36:49;sv;kommunisterna;Sverige;"Andreas Sörensen, SKPs partiordförande, skriver på https://t.co/MaLSHoqEAW apropå Kommunistiska Partiets kampanj mot EU-valet. https://t.co/pXwg6jfOLj
#euval2019 #svpol #eupol #kommunisterna #SKP";http://Riktpunkt.nu, https://riktpunkt.nu/2019/06/kommunistiska-partiets-anti-valkampanj/;euval2019, svpol, eupol, kommunisterna, SKP;;0;6;Andreas Sörensen, SKPs partiordförande, skriver på apropå Kommunistiska Partiets kampanj mot EU-valet.;;Andrew Sorensen, SKPs party chairman, is writing in the context of the Communist Party's campaign for the EUROPEAN elections.;andrew sorensen skps party chairman writing context communist partys campaign european elections
2019-06-02 21:29:38;sv;EricJernberg1;;@danielclaesson4 @TyloSun I riksdagsvalet var SD helt enkelt inte förberedda på sossarnas (och David Baas) påtagliga press och kampanjmaskineri. Kommunikationsmässigt bradf för SD precis innan valet. Märks att man var mer förberedd för de inför EU-valet och man lär vara desto mer förberedd i framtiden.;;;danielclaesson4, TyloSun;0;1;I riksdagsvalet var SD helt enkelt inte förberedda på sossarnas (och David Baas) påtagliga press och kampanjmaskineri. Kommunikationsmässigt bradf för SD precis innan valet. Märks att man var mer förberedd för de inför EU-valet och man lär vara desto mer förberedd i framtiden.;;In the parliamentary elections, was, SD, simply do not prepare them for her (and David Baas) significant pressure, and the kampanjmaskineri. A communicative point of view bradf memory just prior to the election. Noticed that I was more prepared for the forthcoming EUROPEAN elections, and it will be all the more prepared for the future.;parliamentary elections sd simply prepare david baas significant pressure kampanjmaskineri communicative point view bradf memory prior election noticed prepared forthcoming european elections prepared future
2019-06-02 21:26:38;sv;EricJernberg1;;@danielclaesson4 @TyloSun Kortsiktigt har den var någorlunda framgångsrik för dem. Kolla riksdagsvalet när sossarnas kampanjmaskineri riktat mot SD var på absolut högvarv tillexempel. SD sänktes ändå en del och saktades ner ganska bra. Funkade sisådär i EU-valet och lär funka ännu sämre tills nästa val.;;;danielclaesson4, TyloSun;0;0;Kortsiktigt har den var någorlunda framgångsrik för dem. Kolla riksdagsvalet när sossarnas kampanjmaskineri riktat mot SD var på absolut högvarv tillexempel. SD sänktes ändå en del och saktades ner ganska bra. Funkade sisådär i EU-valet och lär funka ännu sämre tills nästa val.;;In the short term has been, it was fairly successful for them. Check out the parliamentary elections, when her kampanjmaskineri addressed to the SD, was at the very high speed, for example. The SD was reduced, yet the one part and slowed it down pretty good. It worked so-so in the elections and get to feel even worse, until the next election.;short term fairly successful check parliamentary elections kampanjmaskineri addressed sd high speed example sd reduced yet one part slowed pretty good worked soso elections get feel even worse next election
2019-06-02 21:23:00;sv;simpan1;Någon annanstans i Sverige;@Ladaktusson @pwolodarski @SigridMelchior Och man måste även undra lite om timingen för publiceringen. Det kändes ju som att de väntade med publiceringen för att få maximal effekt, största möjliga påverkan på EU-valet. Det intrycket fickj ag åtminstone.;;;Ladaktusson, pwolodarski, SigridMelchior;0;3;Och man måste även undra lite om timingen för publiceringen. Det kändes ju som att de väntade med publiceringen för att få maximal effekt, största möjliga påverkan på EU-valet. Det intrycket fickj ag åtminstone.;;And you also have to wonder a little bit about the timing of the announcement. It seemed like they were waiting for the date of publication, in order to get the maximum benefit, the greatest possible impact on the election. The impression fickj ag, at least for now.;also wonder little bit timing announcement seemed like waiting date publication order get maximum benefit greatest possible impact election impression fickj ag least
2019-06-02 21:19:26;sv;ArgMenSnel;;"@Ladaktusson Tack Lars.
Tack för att du sänkte ditt populistiska parti i EU-valet.";;;Ladaktusson;1;15;Tack Lars. Tack för att du sänkte ditt populistiska parti i EU-valet.;;Thank You, Lars. Thank you, for you to cut your the populist party in the EUROPEAN elections.;thank lars thank cut populist party european elections
2019-06-02 21:10:35;sv;AnnaLindstr0m;;@rektorhamid @JonathanBessou Inför EU-valet fanns endast Vänsterpartiet och ibland Miljöpartiet i hallonbergen Stockholm som hade container och valinformation...inte konstigt att resultatet blev som det blev;;;rektorhamid, JonathanBessou;0;0;Inför EU-valet fanns endast Vänsterpartiet och ibland Miljöpartiet i hallonbergen Stockholm som hade container och valinformation...inte konstigt att resultatet blev som det blev;;Before the elections, there were only the Left and sometimes to the green Party in the hallonbergen area of Stockholm, which had a container and a valinformation...is not surprising that the results turned out the way it was;elections left sometimes green party hallonbergen area stockholm container valinformationis surprising results turned way
2019-06-02 20:26:57;sv;PerBlomberg1;Stockholm;Glädjeskutt i @svtnyheter #agenda över Dansk Folkepartis nedgång i EU-valet!;;agenda;svtnyheter;0;1;Glädjeskutt i över Dansk Folkepartis nedgång i EU-valet!;;Jump for joy over, Dansk Folkepartis, the decline in the EUROPEAN elections!;jump joy dansk folkepartis decline european elections
