emotion;hashtag;value
anticipation;crae;2,23748E+14
anticipation;#mycolour;2,23748E+14
anticipation;#vigilance;2,23748E+14
anticipation;#vigilant;2,23748E+14
anticipation;#hmmmmm;2,23748E+14
anticipation;aroused;2,23748E+14
anticipation;#than;2,23748E+14
anticipation;dmt;2,23748E+14
anticipation;#fines;2,23748E+14
anticipation;alphabethical;2,23748E+14
anticipation;#wasnt;2,23748E+14
anticipation;#inwood;2,23748E+14
anticipation;#expecting;2,23748E+14
anticipation;#mrmarvin;2,23748E+14
anticipation;25/1;2,23748E+14
anticipation;unveiled;2,23748E+14
anticipation;#anticipation;2,2372E+14
anticipation;#interesting;2,23649E+14
anticipation;#interested;2,23567E+14
anticipation;#expected;2,23209E+13
anticipation;#interest;2,23101E+14
anticipation;#anticipated;2,22911E+14
anticipation;indicud;2,16337E+14
anticipation;#pregnant;2,15047E+14
anticipation;#penalties;2,13212E+14
anticipation;#believing;2,12625E+14
anticipation;106;2,12556E+13
anticipation;revival;2,12415E+14
anticipation;#banks;2,1197E+13
anticipation;#dope;2,11231E+14
anticipation;#more;2,10555E+14
anticipation;duchess;2,10395E+14
anticipation;#comingsoon;2,10395E+14
anticipation;#rates;2,10395E+14
anticipation;1987;2,09438E+14
anticipation;#hmmmm;2,09087E+14
anticipation;#expectation;2,08333E+14
anticipation;unveiling;2,08333E+14
anticipation;#facts;2,06563E+14
anticipation;#hmmm;2,06312E+14
anticipation;#savings;2,03681E+14
anticipation;23rd;2,01433E+14
anticipation;#ambition;2,01433E+14
anticipation;#highly;2,01433E+14
anticipation;jaime;1,98616E+14
anticipation;intrigue;1,98616E+14
anticipation;#bank;1,98616E+14
anticipation;zodiac;1,97965E+14
anticipation;#pregnancy;1,96554E+14
anticipation;bioshock;1,9498E+14
anticipation;standoff;1,9498E+14
anticipation;#newmom;1,9498E+14
anticipation;bios;1,9498E+14
anticipation;#hmm;1,92604E+13
anticipation;documentaries;1,9251E+14
anticipation;#hm;1,91902E+14
anticipation;middleton;1,90101E+14
anticipation;#mommytobe;1,8808E+14
anticipation;#usual;1,8808E+14
anticipation;#hobby;1,8808E+14
anticipation;intrigued;1,87646E+14
anticipation;premiere;1,87137E+13
anticipation;#nothingnew;1,86975E+14
anticipation;mythology;1,86975E+14
anticipation;tingling;1,83201E+14
anticipation;#newmusic;1,83201E+14
anticipation;managerial;1,83201E+14
anticipation;astrology;1,83201E+14
anticipation;#trusting;1,83201E+14
anticipation;#documentary;1,83201E+14
anticipation;hmmmmmm;1,83201E+14
anticipation;pisces;1,83201E+14
anticipation;biography;1,83201E+14
anticipation;vertical;1,83201E+14
anticipation;vigilant;1,83201E+14
anticipation;cannabis;1,83201E+14
anticipation;generate;1,83201E+14
anticipation;prominent;1,83201E+14
anticipation;eagerly;1,83201E+14
anticipation;births;1,83201E+14
anticipation;mixtapes;1,83201E+14
